record_id,event_id,station_code,location_code,url,status,http_status,error_type,error_message,timestamp
IT-1980-0012__MRT__0,IT-1980-0012,MRT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1980-0012&station=MRT&data-type=ACC,downloaded,200,,,2026-03-17T07:31:47.044595+00:00
EMSC-20160824_0000006__ANB__0,EMSC-20160824_0000006,ANB,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=ANB&data-type=ACC,downloaded,200,,,2026-03-17T07:31:54.720620+00:00
IT-2012-0011__MLC__0,IT-2012-0011,MLC,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0011&station=MLC&data-type=ACC,downloaded,200,,,2026-03-17T07:31:55.016808+00:00
IT-2012-0008__BGR__0,IT-2012-0008,BGR,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0008&station=BGR&data-type=ACC,downloaded,200,,,2026-03-17T07:31:55.281491+00:00
IT-2002-0045__CMM__0,IT-2002-0045,CMM,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2002-0045&station=CMM&data-type=ACC,downloaded,200,,,2026-03-17T07:31:55.575153+00:00
IT-1977-0008__SMU__0,IT-1977-0008,SMU,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1977-0008&station=SMU&data-type=ACC,downloaded,200,,,2026-03-17T07:31:55.791993+00:00
EMSC-20161030_0000029__PCB__0,EMSC-20161030_0000029,PCB,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161030_0000029&station=PCB&data-type=ACC,downloaded,200,,,2026-03-17T07:31:56.081888+00:00
IT-1980-0012__BRN__0,IT-1980-0012,BRN,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1980-0012&station=BRN&data-type=ACC,downloaded,200,,,2026-03-17T07:32:12.296133+00:00
GR-1986-0011__KALA__0,GR-1986-0011,KALA,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=GR-1986-0011&station=KALA&data-type=ACC,downloaded,200,,,2026-03-17T07:32:12.306345+00:00
EMSC-20160824_0000013__PTI__0,EMSC-20160824_0000013,PTI,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000013&station=PTI&data-type=ACC,downloaded,200,,,2026-03-17T07:32:12.599213+00:00
EMSC-20160824_0000006__MSCT__0,EMSC-20160824_0000006,MSCT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=MSCT&data-type=ACC,downloaded,200,,,2026-03-17T07:32:12.884350+00:00
IT-2012-0011__TGG__0,IT-2012-0011,TGG,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0011&station=TGG&data-type=ACC,downloaded,200,,,2026-03-17T07:32:12.887871+00:00
IT-2013-0005__NEVI__0,IT-2013-0005,NEVI,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2013-0005&station=NEVI&data-type=ACC,downloaded,200,,,2026-03-17T07:32:13.195633+00:00
IT-2012-0061__LRS__0,IT-2012-0061,LRS,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0061&station=LRS&data-type=ACC,downloaded,200,,,2026-03-17T07:32:13.329726+00:00
