site,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
11,1000.0,-0.007290662028334838,0.15278007197646876,0.004831330085301042,0.004358346457189631,-0.011670875196567485,0.04771998032215712,1.5090382771643212,0.0,0.0,0.0
12,1000.0,0.01700188743531017,0.1159314793134441,0.0036660752714317685,0.024080884799121783,-0.006720053947901757,0.14665462336887933,4.637626392398147,0.0,0.0,0.0
13,1000.0,-0.006917867186278404,0.13782803904305593,0.00435850528810671,0.002618009827179758,-0.009498284173227074,0.050192016329256045,1.587210919568129,0.0,0.0,0.0
14,1000.0,-0.013624198952454813,0.14586628744604516,0.004612697021623279,-0.002925459388573316,-0.010638486906646134,0.09340197238854318,2.953629706999539,0.0,0.0,0.0
15,1000.0,0.009872278480152374,0.10842168618929668,0.003428594761141994,0.01586900234989746,-0.005877631018065163,0.09105446361455832,2.879394961469323,0.0,0.0,0.0
16,1000.0,-0.012625204986110194,0.1430280840411777,0.004522945149401017,-0.002376446010120976,-0.010228516412245094,0.08827081108403442,2.791368139359854,0.0,0.0,0.0
17,1000.0,0.01770677899318973,0.11647979885125409,0.0036834146576822727,0.02482200135711099,-0.0067837717702143065,0.1520158788718503,4.807164177473146,0.0,0.0,0.0
18,1000.0,-0.010203218033161043,0.18697129332149592,0.005912551439633559,0.007281570221741704,-0.017479132263156432,0.054571040569402686,1.7256878248476442,0.0,0.0,0.0
19,1000.0,0.010475651675008413,0.22675507472456768,0.007170625071313119,0.038303008666428405,-0.025708931956672135,0.04619809143293865,1.4609119248079807,0.0,0.0,0.0
20,1000.0,-0.011839194769643235,0.1461537777015748,0.004621788261749055,-0.00113506191916092,-0.010680463368220674,0.08100505478426417,2.5616047510499427,0.0,0.0,0.0
21,1000.0,-0.02484531002705226,0.1667680472872978,0.005273668703665258,-0.010884376655442627,-0.013905790798009196,0.14898123730051402,4.711200384996595,0.0,0.0,0.0
22,1000.0,-0.016208206168745853,0.15487450001777345,0.004897561715359522,-0.004247670603286207,-0.011993055377877654,0.10465380786950591,3.309443986772923,0.0,0.0,0.0
23,1000.0,0.02903594304342394,0.12169385796235115,0.0038482976841404688,0.037148036671476134,-0.007404697532880448,0.23859826230841405,7.545139546528928,0.0,0.0,0.0
24,1000.0,-0.005370702543258776,0.1945630191089426,0.006152622888231227,0.014158965597035243,-0.018927384202393385,0.027603922717973104,0.8729126814406076,0.0,0.0,0.0
25,1000.0,-0.006663517517962347,0.14553612058487359,0.004602256228731172,0.003941665277931156,-0.010590381197447433,0.04578600481573456,1.4478806017715922,0.0,0.0,0.0
