k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,0.44235731116988214,0.43251460218924176,0.4064860007367544,0.4419317120447004,0.425883088858617,0.379491645383305,0.39427482680503734,0.4630878936262359,0.43522611345465906,0.40017273060145686,0.48734891345841896,0.5209849269254654,0.33834569042194745,0.39966958947805115,0.3690968111286609,0.4187246790259726,0.4267742190779786,0.4285089874351291,0.4430436285669951,0.42820324106042956,0.35894078038016897,0.45998646900225815,0.3074815481126745,0.34734079641891374,0.4587068517866511,0.43334983319435644,0.41250413984608114,0.41115435116154175,0.3107716648380968,0.41932028242735303,0.47597451206959185,0.8925975271709051,0.4948370698072785,0.4625385868334735,0.951945823879208,0.4609461860803714,0.4615634964752949,0.4460625681033004,1.1511665161007612,0.4401919111368932,0.47561907745827386,0.668125332268767,0.6125252888852202,0.8539553615949204,0.6236274125731536,0.672900624071607,0.6377823591391214,0.6381139233720199,0.8709754547739657,0.6465816590410626,0.44614492534544914,0.8214098794856278,0.5644416749714933,0.847595496479219,0.6748393636878561,0.527954602694532,0.4902417167270781,0.5281481219277218,0.379526002801209,0.7672022628969055
11,0.44045354980518875,0.4230361209423262,0.4170028936946739,0.4476898963885599,0.4314117887169401,0.3831273309347102,0.37685912999291216,0.45931077211506866,0.4304925030562507,0.39182741728147785,0.48656335275704904,0.49754556910482906,0.36095988043022476,0.408409511244804,0.35019694791627476,0.40225933748830006,0.4330736250205063,0.42115047488259755,0.47093575918927694,0.3976817535047996,0.3627588567318607,0.45921525675450636,0.2978926521516559,0.3345844678251407,0.47542623896186986,0.4489975870391445,0.42965886888443816,0.4266043422825789,0.31766856400068494,0.41821316075155823,0.4809314651622519,0.9454271042809115,0.49515839591830474,0.46056456310833904,1.0050531770892064,0.4530395949160033,0.45187102889025577,0.4499385835543886,1.059305402885117,0.45782969275421287,0.47679092571872245,0.6242186011054118,0.6304810191995252,0.8050432663887258,0.6218478930464563,0.6151267760713361,0.6737689836022318,0.6547610624866504,0.9519418494429907,0.602431277721511,0.4526852465346091,0.8159448868976895,0.5877148460755767,0.8877911441973267,0.6779870824868526,0.5547901315246,0.48441216315070085,0.5206911149928896,0.364136557529869,0.7686758893890201
12,0.4168914146632635,0.42298100490904955,0.4200494735391334,0.43973944016968924,0.41935940641139596,0.3966477937028325,0.37387336954126005,0.4432954221964785,0.42907765727159075,0.37460950231575446,0.5130993045405884,0.4837355856410626,0.3393472152317381,0.41034941306868544,0.3604434828940277,0.40404519662218324,0.433243157170726,0.4139340542993115,0.4339070452893482,0.4228041865691946,0.35294788432607554,0.4540384423778939,0.2973433037574904,0.3367574153116767,0.4765603101556318,0.4259152572889012,0.43354428881060286,0.42163074058581884,0.3091824458845867,0.4045218901772274,0.4817633166501075,0.9350916929529183,0.5216009143390593,0.4583070623417265,0.9078727771371451,0.452075351156417,0.4627731787796941,0.45610674841210397,1.1044463795127568,0.46903200572992076,0.4767648896822665,0.6394887503378809,0.5851084009514511,0.8456831121503953,0.6395491927499499,0.6126565298141736,0.6285309721295822,0.6673925152900705,0.8272830134479965,0.6294060884219864,0.4541339834704059,0.7791226817434145,0.6035819026467097,0.8460823710207598,0.6950907368556387,0.5091957924936955,0.4660657791393636,0.5308771345890955,0.38530260258778476,0.786421428648283
13,0.4105143749282837,0.40117866548149533,0.41171654703710625,0.4541968748826868,0.42516492913922777,0.390123831779973,0.38692383957404775,0.49431408366505075,0.43117980693631497,0.40066862004505865,0.4769480142741233,0.5109750058167283,0.34546194636767263,0.3918856537280949,0.37469104079519516,0.4175002906040808,0.4237526944077021,0.4319871549674719,0.446675636851553,0.3917511411403842,0.35621377294813816,0.4638750350245231,0.29977886055748637,0.3395309304972344,0.4565004309625161,0.452201067707385,0.46878628288932084,0.42155751145603526,0.317307335380147,0.41556882923925126,0.47025837577425117,0.9391178652367838,0.5072891283921632,0.4567098541329752,0.8882205788014176,0.444342925101673,0.46988792428640913,0.4423509458145403,1.0670830252642356,0.4640138024267864,0.45538711413657684,0.6364469034064143,0.6171172244272558,0.8214337846521308,0.6651078028023529,0.6587579307485953,0.6454138734487661,0.6229075944284914,0.8714530557833812,0.6280491308800554,0.46231865439910946,0.8219190184277007,0.5663247513641607,0.8788677370928456,0.6572254661531232,0.507704880222151,0.48748705587610175,0.5176544039160186,0.3755353417264006,0.7558673573752797
14,0.4379267232609162,0.3972081911485739,0.4062811841945277,0.48869257311377323,0.4136945412526833,0.39103064720596054,0.38239739799802364,0.48987398122866416,0.41362344163129666,0.4021926282265995,0.4992083253732988,0.5265492336866027,0.36087946812453553,0.4323294227633132,0.36676958719140834,0.41539146551143075,0.42260410798340986,0.4164900113836724,0.4388256667228092,0.3894190818998354,0.35523740835167494,0.46876476891434904,0.30278395009321274,0.32903921328346714,0.48073181422206485,0.41850292371150866,0.44507561526886913,0.39842032514421144,0.30598649666155736,0.41955867088890886,0.4640964234854953,0.9790850629533893,0.494970320258708,0.4445785364359616,0.9874656161652635,0.4608138857886498,0.45001070338298793,0.46039782115845684,0.999179086226195,0.4532821434580069,0.4694260738931578,0.6654773771797027,0.590064404739695,0.8326805857139483,0.637653183534874,0.6081811305777169,0.6733077225642977,0.642165210734191,0.8639832192115701,0.6606060435762569,0.44057386782311375,0.8536704929329553,0.5859164983082581,0.8839277251980363,0.6836854577827539,0.537379093308806,0.4973715329407227,0.535932134621927,0.37310966881870167,0.7404759642985606
15,0.4422361051130782,0.4177345462938186,0.42106602081124134,0.4380752750300264,0.41593856408959007,0.4038891418478341,0.38675973888904275,0.44636525269048344,0.4311784406307959,0.3951694879691074,0.5219071043440293,0.5010699882841337,0.3633634835892397,0.412570993280333,0.37345546480525876,0.4021315192344593,0.42716421277275957,0.41350167587839265,0.45921249366223355,0.4203143009954521,0.3574512341343026,0.4618427859151137,0.2866812861095255,0.3300447073919632,0.45815670768205263,0.449888486328615,0.4344952213530092,0.4471419163943023,0.30239925186640454,0.4108004238125011,0.4696284121724327,0.8726580752022021,0.5239862302611006,0.45713545663096594,0.9802288322411078,0.4485677225443234,0.467050903658326,0.4500011609238943,1.1403606160474826,0.4669708543719336,0.48536197859104563,0.6339769740914462,0.6143984423103492,0.8382735323500344,0.6254387517232466,0.6088447096823247,0.6474153823175605,0.6478119166256501,0.9191699164585507,0.63315790279888,0.45673913148051226,0.8219190184277007,0.6384170139093991,0.8714329730949578,0.6680205249153449,0.5299995010639833,0.47872547001040566,0.5053957866154527,0.3685932401835003,0.7507356220085061
16,0.45189443769062987,0.4387471251726133,0.4203858724578263,0.45857367845978364,0.4529353685393723,0.4147782300216429,0.3859041360250481,0.4732109959890826,0.43750758614799573,0.3837444959631322,0.47939498487431514,0.5069323805717686,0.3520493541767992,0.40521755899729595,0.35278613461920755,0.3995617705319599,0.43276936120383874,0.4101296694292609,0.4524515782240354,0.43426887575308637,0.36036503538938625,0.46212568160278295,0.30344631110162784,0.338440800964755,0.454237796888833,0.4314918275171397,0.4395786410434997,0.42376319271975993,0.3113181233915595,0.42760361425249593,0.48727015160872655,0.927814761771621,0.517545718904337,0.4467159055762347,0.9675838444765965,0.4743099335592787,0.4490337102542553,0.4426764959742741,1.1342268052310345,0.4641079905081122,0.47657852525339733,0.630064520772224,0.6433502423377115,0.8492397881394109,0.6125942963957299,0.6645716573167597,0.6588568993755767,0.6648077215079741,0.9181783870905752,0.6315072747415806,0.44892171390671654,0.8439490871253281,0.5937782808181441,0.8294919115221635,0.6873413651476289,0.5087130709087546,0.4843418363568354,0.5267576627308702,0.3740077639453592,0.7576094316208941
17,0.40980984522553826,0.41430454428389946,0.4246787105581857,0.4338103848548472,0.4316549129969797,0.3966327596913212,0.402593490626242,0.48090217054445106,0.4397870325826673,0.36830778287989135,0.4915233619783343,0.48455529756062365,0.3473068871359205,0.40200801593571855,0.3601035541825639,0.41482854069618347,0.4303008246970135,0.42699247890969594,0.45242103100605263,0.40362998477829587,0.3574010634794968,0.4766010222051364,0.29934910003525744,0.3412604472289185,0.4767513265928238,0.45235341275580704,0.45811449365751145,0.3971966697877928,0.30394807076368896,0.43098942284038594,0.4715238533575407,0.9466742752038384,0.4901844453955724,0.4635284172339147,0.9214966375256037,0.456994868479309,0.47617100627594994,0.44686350807994935,1.0928703755540654,0.4788841745686862,0.472990124768376,0.6516757478899841,0.5830578012779589,0.8416512194862407,0.6399458585411724,0.6416474140946012,0.6439785421349206,0.6937528538751394,0.888186577983728,0.6212745953283585,0.4539390835597457,0.781174560682245,0.578719244205357,0.8517963191229669,0.666099511080035,0.5167254461778623,0.5155711854129376,0.5234072578579314,0.35079371371468776,0.7651032094674995
18,0.4275500973534173,0.42440826805646287,0.40934079560656916,0.4346521367356691,0.4260954747193949,0.40919818284333703,0.3915334969746158,0.46561501481392414,0.43800000145253676,0.39550532642567,0.4806170207948544,0.4902141619837007,0.3453451360284262,0.37060445619832527,0.35641887964758695,0.40702376924169786,0.42548633059644647,0.41320792998120537,0.4555863205243394,0.4094756057175227,0.36852363064236654,0.4624244360591809,0.3030726146632751,0.33847441089185343,0.4534088440098374,0.4462484377977804,0.4326169735274245,0.4167784372292869,0.2984647915133574,0.4057394472462774,0.4657225397893888,0.9918543098360619,0.4984754956058394,0.4687895088193746,0.9764702880989261,0.4694426747895873,0.45056421123226076,0.44906698322489375,1.0867042710505834,0.46291593519522006,0.458297379121226,0.6477320056291241,0.6106841371999421,0.8110524242099236,0.6408067474225487,0.6360589155105061,0.6076706969312061,0.623728343341814,0.8677964558922411,0.6334056834088977,0.4316118663865865,0.8131578094301962,0.5765387725231778,0.8885373004435351,0.6801251674243551,0.5084211310112142,0.5126053351153097,0.49558178562860317,0.3547885652883196,0.7614973812964514
19,0.44231857886673626,0.4150541933648425,0.41384198688740537,0.4511579708341368,0.438018153599636,0.4050049193550274,0.3646193278370877,0.46667368330795467,0.42691572427511926,0.3904806387976764,0.5110887076384462,0.535389982199936,0.3477293708768027,0.39372843369882593,0.37572121357394056,0.40737984412055983,0.4074974840921648,0.4139234173791284,0.4679323534771106,0.39967685454860435,0.38237665070708976,0.450239745029023,0.29154925856565855,0.3321568262751851,0.47332784904263797,0.430998405413738,0.45299453490132185,0.4252009989201039,0.31269197029543855,0.42471434496405325,0.4722782038952551,0.8523131427183773,0.5141649079824392,0.4554831448939001,0.921173628033842,0.4498995929302009,0.4507708322904799,0.457303868907333,1.1841849350366114,0.474242577950958,0.4689410580702991,0.6486328945224162,0.6378868145890404,0.7943872989209659,0.6207379050644245,0.6429514198406834,0.6381119013588089,0.6420473999682821,0.8282436772994114,0.6052080640872423,0.45685064302822964,0.8443474052834624,0.5719276139316883,0.8829113091584495,0.6684877350257064,0.5263822828649989,0.47572860322325383,0.552157713856161,0.3666737697364057,0.7913885423622576
