group,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
group_3s_19,3,5000.0,0.5289834205626347,0.7648400534471661,0.6340356552354669,0.6330835084695918,0.0008575488929044409,0.029286864581102554,0.5790625812077373,0.5874556037972485,0.6054699388514054,0.6628964993171749,0.6837600645635334,0.6936275438419344,0.1949759082519808,0.17514928714078337
group_3s_20,3,5000.0,0.5646132845234892,0.7937679421834434,0.6532959325398441,0.6519876246692893,0.0008158584320124787,0.028566092423356518,0.5992711845427875,0.6070648099857295,0.6252325550963695,0.6815144235359739,0.7012558668401155,0.7109305063243648,0.20870968587289485,0.24615587535577088
group_3s_21,3,5000.0,0.5719484073225456,0.7821469048245502,0.6531408323815665,0.6522892853694492,0.0007567419946910417,0.02751169521068658,0.6005780410454434,0.6091968201962429,0.6260845655275811,0.6807511207431018,0.6986182168865276,0.7090539189928533,0.21648793695673751,0.23127586806489786
group_3s_22,3,5000.0,0.6640189403361564,1.0136106513852314,0.8231737094823246,0.8219079795283206,0.0018712241093310935,0.04326197440035414,0.7402001990664798,0.753822246181812,0.7807045592599506,0.865667910602623,0.8956029038921127,0.9093787098091718,0.17727472649737486,0.22500749657067454
group_3s_23,3,5000.0,0.6810722321373146,1.0546436099715755,0.8387111112704515,0.8384326584074062,0.0020664640406276216,0.045462923532377936,0.7532119546758596,0.7656051629832099,0.794256516864035,0.8839622534324751,0.9130443043299875,0.9323784147882128,0.14680993185338606,0.2029655038044118
group_3s_24,3,5000.0,0.5237301500903077,0.7881017448091431,0.6264975817949322,0.6256607852608385,0.0009715469453736489,0.03117276525482421,0.5666243271472012,0.5767178716033007,0.5964184792596479,0.6574907364554436,0.6795735403463949,0.6885489100341027,0.15657964165250474,0.28403024356800666
group_5s_00,5,5000.0,0.31877090783992407,0.4135513416523946,0.36614379729196034,0.3661313378108607,0.00018818951696828625,0.01371959046038789,0.33956365114612863,0.343794489909866,0.35229809499718584,0.37987624890334465,0.3890978162806827,0.3928658808880502,0.0074088766187615255,-0.04607706859096439
group_5s_01,5,5000.0,0.4154589318598721,0.5533374057760966,0.48166452570364465,0.48147825624200935,0.0003892212597099678,0.019730664447348816,0.44306750408272655,0.44877590831068326,0.46181472612176416,0.5009760512718167,0.5144929241476849,0.5209258217043169,0.05315053364334164,-0.043431340801804996
group_5s_02,5,5000.0,0.40347198519276123,0.527318648944615,0.4598452197998475,0.4598377715008742,0.0003157882119919381,0.017772208142726433,0.42519045436852876,0.4309137458241912,0.44240702502714313,0.477247575561006,0.4894704841820823,0.49503380156648785,0.06367652275795929,0.027959820951129366
group_5s_03,5,5000.0,0.385660531373194,0.49575979680541954,0.4366764934660874,0.43628089011585947,0.00023859719928046342,0.015448136724735337,0.40859153215259125,0.41243920509070725,0.42125033282212343,0.4519578564773077,0.4628715036842376,0.4687902908238702,0.18599959325077092,0.11405040868017213
