group,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
group_3s_10,1000.0,0.39324236524473244,0.5300860456232853,0.45636871318713745,0.4569015406172773,0.0004332803071225968,0.02082580181274518,0.41603597326535846,0.42122163796645723,0.43486829571188856,0.47708448794471087,0.4898048105312491,0.4955588180384853,0.004345807816887601,0.07843560149600526
group_3s_11,1000.0,0.6479490384026784,0.9353356840813836,0.7903094838033746,0.7901173924779594,0.001713657435154531,0.04141705938333253,0.7094433487040249,0.7243820992898778,0.7496515874870633,0.8314489977950892,0.8581435671115655,0.8765480301832106,0.0926627818161027,0.2586373859440263
group_3s_12,1000.0,0.39412596960319957,0.5022494519119979,0.44712006608907007,0.447763823029688,0.0002576433942311768,0.016059305574236498,0.4148540933099787,0.4196823046822834,0.4306598254689735,0.4630520750818961,0.47266413296568305,0.4760628057736291,-0.07146073322338789,-0.021024349125558395
group_3s_13,1000.0,0.38606684178701023,0.48589211751322425,0.4335444132201288,0.43390356620806536,0.000254859220035065,0.01597229896944815,0.40274410290853924,0.4064959257415077,0.41756957916683146,0.44907268588434,0.4589868270773645,0.4652921657011547,-0.003916959906470355,-0.09741214284254607
group_3s_14,1000.0,0.3920012427704299,0.5300040090394711,0.4540913631707187,0.45439491369507806,0.0004336009052228934,0.02083350522987086,0.414930326318188,0.41933776849450216,0.4325579604455572,0.4739125700605603,0.48768426549194127,0.4927903075512694,0.056651782726637234,0.11874995431249413
group_3s_15,1000.0,0.6900488262274631,1.07455540625019,0.8782576034622984,0.879664639764338,0.0033563500334365137,0.057963003227746,0.7610153955303949,0.7835934440738793,0.8226891076006683,0.9354222923284355,0.9717067598866183,0.9873325722694327,-0.05351373529890203,0.14975905910309084
group_3s_16,1000.0,0.39082164863500085,0.5188510804096396,0.4497079251734312,0.4500824291783596,0.00040132083520432794,0.02004301768103022,0.41195987706189857,0.41767289989073875,0.42924407689503985,0.4690780658899516,0.4809648861806643,0.488670280752381,0.061582903424793514,0.0688398839386597
group_3s_17,1000.0,0.5059638305680164,0.6801405600174889,0.5880791922296825,0.5875157414869023,0.0007508244438689982,0.02741488682976618,0.5331247484466485,0.54348367763303,0.5611513642550597,0.6153755995330982,0.6321870750339573,0.6434294922303758,0.1469611468313405,0.17124679856498348
group_3s_18,1000.0,0.4696850255716874,0.6470705248724354,0.5544550957644155,0.5534807030226043,0.0007123318473638518,0.026702900446507825,0.5029848662089158,0.5104897658958926,0.5270724893660135,0.5805072725563027,0.5980973826396087,0.6084469747318428,0.11579996491560912,0.07474611684604948
group_3s_19,1000.0,0.4845893368610637,0.7046067673644429,0.58744544985491,0.5855222935823456,0.0008530683781299852,0.029221948949897502,0.5329940054913389,0.5427060586505652,0.5593071970120758,0.6165672500644058,0.6376778876340496,0.6482795890812536,0.2501729173192026,0.3317218758148006
group_3s_20,1000.0,0.5396664359051416,0.7072260578878578,0.6159967752072262,0.6155341633870062,0.0007294978283430227,0.027022732215662836,0.5626491596526083,0.5729804332602879,0.5901218223849298,0.6426219441257227,0.6595372970365193,0.6725552392940289,0.18535051548267698,0.1817614591233152
group_3s_21,1000.0,0.5387943317334893,0.7070014098470925,0.6160009897545868,0.6155295036866741,0.0007291815169787514,0.02701687303162893,0.5622953304350093,0.5733122270849277,0.590521476148223,0.6429487488202877,0.65969692253484,0.6723121119404096,0.1827120762062211,0.17757812209930757
group_3s_22,1000.0,0.6164900417766006,0.918663344536711,0.7679379669399357,0.7661457531184025,0.0017209112315536958,0.041504624626890856,0.6872345648221501,0.6996831371825154,0.7298752123071119,0.8082668879011472,0.8372147331054428,0.8532419554252357,0.14023557070772366,0.31647089578439713
group_3s_23,1000.0,0.6505162927860139,0.937050134121258,0.7887858137895528,0.7879730445145721,0.0016762872104637797,0.04096297322753097,0.7084977603129996,0.7243730158769115,0.7488961459470106,0.8287265936096674,0.8559552306491409,0.8752528118580635,0.09215909249367062,0.2926501662542682
group_3s_24,1000.0,0.4870625761371481,0.6861285971690411,0.581622043758806,0.5805654394568094,0.0008421565620009328,0.029034454731620075,0.5258664787512837,0.5356393653361406,0.5538901249951558,0.6108359687791554,0.6300094752406811,0.6370177760830795,0.13924413774291675,0.1956908945518836
