site,n_storeys,theta,beta,theta_bc,beta_bc
33,3,0.4823692140893084,0.1752093455054753,0.4823692140893084,0.17738497844015302
33,5,0.4891433836621228,0.1839898032201338,0.4891433836621228,0.18736221144005477
34,3,0.8389659501398823,0.2679497793031024,0.8389659501398823,0.27353796599547753
34,5,0.7277961257438662,0.190006282450616,0.7277961257438662,0.19335252465000718
35,3,0.4698060756037552,0.1729616600186289,0.4698060756037552,0.17461369925859965
35,5,0.4164648854843564,0.2031495067212791,0.4164648854843564,0.20597206891672065
36,3,0.4823692140893084,0.1752093455054753,0.4823692140893084,0.17738497844015302
36,5,0.4164648854843564,0.2031495067212791,0.4164648854843564,0.20597206891672065
37,3,0.4890750874354053,0.2174090312880719,0.4890750874354053,0.2202141050181439
37,5,0.629652208981485,0.2114941651675534,0.629652208981485,0.21578760958403984
38,3,0.9222711307647036,0.3328009270099949,0.9222711307647036,0.3484249785940657
38,5,0.7716660880218407,0.175774639951389,0.7716660880218407,0.17852158424316256
39,3,0.4698060756037552,0.1729616600186289,0.4698060756037552,0.17461369925859965
39,5,0.4507571573152053,0.224821295810544,0.4507571573152053,0.22807205205419756
40,3,0.4846711154562111,0.2071561212775694,0.4846711154562111,0.21034819989496728
40,5,0.4421283216433281,0.1923868064323906,0.4421283216433281,0.19582234503601906
41,3,0.6307472375404701,0.2247778644203252,0.6307472375404701,0.2295112710237203
41,5,0.5421075158888062,0.2277570260947305,0.5421075158888062,0.23053409913756065
42,3,0.5916169661093643,0.2359338467032245,0.5916169661093643,0.2383641772329832
42,5,0.5961531724026385,0.2024551343804902,0.5961531724026385,0.2052048851232134
43,3,0.8389659501398823,0.2679497793031024,0.8389659501398823,0.27353796599547753
43,5,0.6532043268616193,0.1916291454640707,0.6532043268616193,0.19799578113592858
44,3,0.6332415747519134,0.2258407449394278,0.6332415747519134,0.23113305877464485
44,5,0.7598698404707365,0.2020623807644389,0.7598698404707365,0.21117070611142444
45,3,0.6528075692443488,0.2118749473758945,0.6528075692443488,0.21529225376792563
45,5,0.6289411468387017,0.2052541093827137,0.6289411468387017,0.20813468044415273
46,3,0.6332415747519134,0.2258407449394278,0.6332415747519134,0.23113305877464485
46,5,0.7598698404707365,0.2020623807644389,0.7598698404707365,0.21117070611142444
47,3,0.6526570749024345,0.2044968253648322,0.6526570749024345,0.20831097225584455
47,5,0.5421075158888062,0.2277570260947305,0.5421075158888062,0.23053409913756065
48,3,0.8220519717165894,0.2573787050955908,0.8220519717165894,0.26452680704099424
48,5,0.6446161331615458,0.2008767870185369,0.6446161331615458,0.20576853982184704
49,3,0.6332415747519134,0.2258407449394278,0.6332415747519134,0.23113305877464485
49,5,0.6914935016536768,0.2159300884489685,0.6914935016536768,0.21892058211720014
50,3,0.4823692140893084,0.1752093455054753,0.4823692140893084,0.17738497844015302
50,5,0.4891132387717101,0.209830078847374,0.4891132387717101,0.21291945686737795
51,3,0.8220519717165894,0.2573787050955908,0.8220519717165894,0.26452680704099424
51,5,0.6543141425876261,0.2168706981247838,0.6543141425876261,0.22494155575144112
52,3,0.6528075692443488,0.2118749473758945,0.6528075692443488,0.21529225376792563
52,5,0.6289411468387017,0.2052541093827137,0.6289411468387017,0.20813468044415273
53,3,0.8375806622966716,0.2649318447431443,0.8375806622966716,0.27070451889274466
53,5,0.7277961257438662,0.190006282450616,0.7277961257438662,0.19335252465000718
54,3,0.6307472375404701,0.2247778644203252,0.6307472375404701,0.2295112710237203
54,5,0.5421075158888062,0.2277570260947305,0.5421075158888062,0.23053409913756065
55,3,0.6257529365861865,0.2406588668391817,0.6257529365861865,0.24574701032909388
55,5,0.5421075158888062,0.2277570260947305,0.5421075158888062,0.23053409913756065
56,3,0.5916169661093643,0.2359338467032245,0.5916169661093643,0.2383641772329832
56,5,0.5961531724026385,0.2024551343804902,0.5961531724026385,0.2052048851232134
57,3,0.6307472375404701,0.2247778644203252,0.6307472375404701,0.2295112710237203
57,5,0.5421075158888062,0.2277570260947305,0.5421075158888062,0.23053409913756065
58,3,0.4698060756037552,0.1729616600186289,0.4698060756037552,0.17461369925859965
58,5,0.4507558890022083,0.2250762762256059,0.4507558890022083,0.22832862377291563
59,3,0.8389659501398823,0.2679497793031024,0.8389659501398823,0.27353796599547753
59,5,0.6494625694070606,0.1694437565618717,0.6494625694070606,0.17296410806209697
