site,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
10,1000.0,0.46129139026145627,0.5323750033830715,0.497091888920442,0.4972632821473481,0.0001503973529146277,0.012269796282556738,0.47285416625045934,0.47678871286121927,0.4852914872031233,0.5088135943344992,0.5180535387795722,0.5214096926782322,0.03208551866190842,-0.12140760043610666
11,1000.0,0.4535600824255602,0.5616358003841313,0.5011137252737884,0.5005742833554563,0.00020923861241857957,0.014472320493931117,0.4734903095693337,0.4783210298940027,0.4867032454110692,0.5153695857024562,0.5254087122313579,0.5299651721102827,0.13855510580035518,0.22077124699005024
12,1000.0,0.315010512650545,0.3968863755460772,0.35157027594829426,0.35116382245628464,0.00012766811713708388,0.011304685446757641,0.33130010726750897,0.333401456061326,0.3407542960690336,0.3632871772858571,0.3701381205763455,0.3741738572433916,0.2406631222882236,0.2602542208117753
13,1000.0,0.36893004215482716,0.44106367429081483,0.4023948881492137,0.40210814803364286,0.00013499764123882786,0.01162466231822846,0.38065534783101185,0.38352733427239005,0.39123586334532073,0.41366129403913254,0.42167058129962265,0.4269680116096774,0.20520434626952658,0.15306260276300376
14,1000.0,0.3440139301925395,0.4086779680356063,0.3722719864148928,0.37199833434853297,9.624192951174192e-05,0.009815205946872508,0.353130692767537,0.35567958523158305,0.36259657724624955,0.3817376846673756,0.3890163726507467,0.3919119842006263,0.09556843719338326,0.04006346266437477
15,1000.0,0.37213589535544084,0.43542632474529497,0.40305344859299536,0.40298205418587535,8.70346594580459e-05,0.009333904929839664,0.3856679121430583,0.3878714798360423,0.39366493085922166,0.412062104540809,0.4185717251215446,0.42147489370364005,0.07227597002515433,0.15672890556555874
16,1000.0,0.4004179399253659,0.47795821671898087,0.43325691917488846,0.4327709191999541,0.000128885342500196,0.01135844869940667,0.4123011141144668,0.41564334888143095,0.4222594987088333,0.44489817691590755,0.45220066611734056,0.4569852773887096,0.24532450897185448,0.11636924921667191
17,1000.0,0.3887909948389854,0.4537516260932749,0.41669471662730545,0.4163072822193896,0.00011192398232575454,0.01058470681427212,0.3971018791801146,0.4002128676496154,0.40653355660090235,0.4277104363082094,0.4341085064820743,0.43748631826265316,0.17012003408180293,-0.10284466924128965
18,1000.0,0.4008544060842584,0.48465907150684684,0.4479052874526226,0.448214317256614,0.00016060750267804768,0.012679442848524404,0.4233496170606798,0.4270923281316955,0.4354096399830367,0.46058253013875217,0.4680160440467224,0.4711399129012395,-0.12950896377175122,-0.018506104351657893
19,1000.0,0.3603228339861006,0.4710173675110441,0.4054571845156549,0.40489884737013965,0.0002007038938733352,0.014174088989138144,0.3784137220851285,0.3840361401420196,0.3923581730533231,0.41882315424709643,0.429079513424233,0.4335809713403147,0.32201347214055553,0.938109683219778
20,1000.0,0.3346336479853828,0.3919831148970435,0.3644110666605753,0.3643639009108816,7.713720666496692e-05,0.008787173668822814,0.34730709498375667,0.34997108616803185,0.3561699691365208,0.37305591100659447,0.37940577518464447,0.3823769735062237,0.07414977671887557,0.10467602588511626
21,1000.0,0.42933866021147304,0.4970804247694086,0.4604675738695824,0.46042640716611816,0.0001079719088559685,0.010396152598188105,0.440231075947514,0.4437345621409324,0.4502645742564807,0.47088608953132227,0.47669986916039886,0.48067422384719694,0.03292880127310775,0.04362648308111261
22,1000.0,0.27358631737843314,0.32293222706018965,0.2973972822974559,0.29734713606898466,6.398493297650236e-05,0.008003060786877783,0.2820997650348169,0.2843152345234059,0.2893166587295397,0.305215279400975,0.3105738964084598,0.31397940201217206,0.11387864867695424,-0.06711497053344972
23,1000.0,0.30083388009192735,0.3699618076201933,0.3344248213640643,0.33412515787302166,8.494971078011649e-05,0.009221428605462503,0.3166255463719651,0.3194304247466142,0.32571181702459795,0.34350175811452804,0.35011422732093406,0.3530098691393049,0.14086031821225312,0.3470462200343163
24,1000.0,0.4255524313552719,0.5033441574170217,0.4636863377800554,0.4637215439567917,0.00015465713353522841,0.012442344854596707,0.4397019874541866,0.4432676746875195,0.4513026048317479,0.47621905330968084,0.4842548063866689,0.48880473573658906,0.047850717872709676,-0.1048078870791338
25,1000.0,0.39980887364620254,0.48103838528151804,0.44010808619423347,0.43951421417419,0.00016112730444409768,0.012699944607640413,0.416092027908106,0.4197093618163546,0.42783761581802693,0.45261001445157245,0.46169040910798526,0.4656727020600794,0.1498464760578698,0.017155403780070078
26,1000.0,0.4020878853570589,0.5004666462237195,0.4444824907026943,0.4441117489221041,0.0001855615273066899,0.013628913184156365,0.4177486566952149,0.4221941882679145,0.43148753558254993,0.45709505186371846,0.46752307266846427,0.47199277861382816,0.12098784245897094,0.4811521911197243
27,1000.0,0.3847075995147841,0.47765871119494124,0.4166600361410665,0.4153336654726866,0.00017691855697928418,0.013307729056150644,0.3948694524125075,0.3973487028986535,0.40332687802899775,0.42864553349371526,0.4400859797984181,0.4446603027507703,0.6700348513202792,1.055714716221332
28,1000.0,0.27888650837056755,0.3386066706322048,0.30884214474774396,0.3091288423416576,5.6791909439250604e-05,0.00753981154919989,0.2937216030851474,0.29682651426612366,0.30148904800022686,0.3162034706459294,0.32095170825386127,0.3236492931223772,-0.05283354782382885,0.38618316577223544
