site,n_storeys,theta,beta,theta_bc,beta_bc
27,5,0.3468682152301198,0.3970131880033296,0.3468682152301198,0.3984480693666791
28,3,0.308604831048799,0.1957421743162371,0.308604831048799,0.200382672702392
28,5,0.3018907800910867,0.252233300213324,0.3018907800910867,0.2553384598602615
29,3,0.41447146568001,0.2065036579585184,0.41447146568001,0.2088232448091775
29,5,0.369755682041412,0.262528495947549,0.369755682041412,0.26362110349895596
30,3,0.4739773587978,0.2182514871729285,0.4739773587978,0.21970434286458224
30,5,0.5870966230552074,0.1676317580744229,0.5870966230552074,0.17448176803304682
31,3,0.9455088055045702,0.3171633523702623,0.9455088055045702,0.32231179334896154
31,5,0.6454694063459329,0.2115678587451113,0.6454694063459329,0.21399614439635853
32,3,0.499193392883875,0.1809342501966208,0.499193392883875,0.18302947168977565
32,5,0.4152105798592975,0.211770183770622,0.4152105798592975,0.21388593615909815
33,3,0.4618285829328367,0.1656758944510835,0.4618285829328367,0.16740291712120947
33,5,0.4217041514291437,0.1714756354951539,0.4217041514291437,0.17343509835862028
34,3,0.9601301788512688,0.300117929012049,0.9601301788512688,0.3044245329078461
34,5,0.7318415798048752,0.1451096335758692,0.7318415798048752,0.14877289476661879
35,3,0.4566095897482706,0.1631061523525921,0.4566095897482706,0.16487185454546768
35,5,0.3750142308367274,0.1580069393547917,0.3750142308367274,0.16011158857184135
36,3,0.4627166180480504,0.1542010745654253,0.4627166180480504,0.1563377443436366
36,5,0.3961040979831954,0.1954394682992509,0.3961040979831954,0.19718903309645175
37,3,0.4535308521661024,0.2367976743770116,0.4535308521661024,0.23968098667123647
37,5,0.5720811163073835,0.1847132228140291,0.5720811163073835,0.19072466211405953
38,3,1.0866472532619995,0.4146788124117299,1.0866472532619995,0.41965328578461103
38,5,0.7943413215869668,0.2260680708289148,0.7943413215869668,0.22918327531823918
39,3,0.4654149004131573,0.1652199793665197,0.4654149004131573,0.16726791085944465
39,5,0.4403319911719857,0.2131567163515506,0.4403319911719857,0.2162043901628102
40,3,0.4715474687514223,0.2561537335762105,0.4715474687514223,0.2591967936408448
40,5,0.4450464348868106,0.2528452857734378,0.4450464348868106,0.25534612339058455
41,3,0.649636474955061,0.2248054510873045,0.649636474955061,0.22805694218730435
41,5,0.5215391818602996,0.2515288878418509,0.5215391818602996,0.2528921657810826
42,3,0.6092855142091019,0.2066535881948952,0.6092855142091019,0.20963303562981536
42,5,0.5751025195867109,0.1674393519945433,0.5751025195867109,0.16983410008836522
43,3,0.8295163457574998,0.2755887933781195,0.8295163457574998,0.27832025492926166
43,5,0.6518007740949033,0.2354974196467084,0.6518007740949033,0.23864562733511788
44,3,0.6308825016077055,0.2291220557338605,0.6308825016077055,0.23295854156968065
44,5,0.793484705359008,0.1529709172278674,0.793484705359008,0.15702739217777623
45,3,0.6382184592521083,0.2544720111432255,0.6382184592521083,0.25801641339866904
45,5,0.6534581495685506,0.181619784278205,0.6534581495685506,0.18528131779464027
46,3,0.6502308909287756,0.2672410173877146,0.6502308909287756,0.2703975268050954
46,5,0.7713331634750688,0.1956500417366627,0.7713331634750688,0.19975922513113128
47,3,0.6514945161919372,0.1958373784935408,0.6514945161919372,0.20044692336789827
47,5,0.5261632725693447,0.2073723675715261,0.5261632725693447,0.20947439562443085
48,3,0.8865599662083298,0.3350867779603122,0.8865599662083298,0.3364200217564294
48,5,0.6413685767178265,0.2393837840735801,0.6413685767178265,0.24092275718493383
49,3,0.6305383378889712,0.2533640686242144,0.6305383378889712,0.257010816540314
49,5,0.6663865183855555,0.1729575635164402,0.6663865183855555,0.17559219284154995
50,3,0.4437166255614571,0.2057459092898358,0.4437166255614571,0.20596397931283414
50,5,0.4370301703644384,0.2034147410032167,0.4370301703644384,0.20522991261768123
51,3,0.8412989633651573,0.2701838116208093,0.8412989633651573,0.27526982625618335
51,5,0.6496371665093333,0.194898112936644,0.6496371665093333,0.19775759600399387
52,3,0.5981166782800572,0.2996376847103233,0.5981166782800572,0.3019435518331682
52,5,0.5100384625380444,0.2242667905390217,0.5100384625380444,0.22635234549048702
53,3,0.8819248734975547,0.273005993654814,0.8819248734975547,0.2778225758010671
53,5,0.7168089798587028,0.1688551460897238,0.7168089798587028,0.17204719281985517
54,3,0.6846503779906562,0.2160201546848706,0.6846503779906562,0.21895380051557425
54,5,0.5332274924577138,0.1400786577534089,0.5332274924577138,0.1419564071028741
55,3,0.5235204191473893,0.1671425110925345,0.5235204191473893,0.17135384636348727
55,5,0.4234839258702084,0.1588905110001726,0.4234839258702084,0.16162766458396743
56,3,0.4900144329933616,0.1905304624603747,0.4900144329933616,0.19321333202059882
56,5,0.4698497056014235,0.1685247848760634,0.4698497056014235,0.17066115961645156
57,3,0.5228461764660605,0.2119872313039382,0.5228461764660605,0.21468315028720733
57,5,0.4174951419745211,0.1856948831404685,0.4174951419745211,0.18948523041098927
58,3,0.3685560311221668,0.1622682101536071,0.3685560311221668,0.16535910035272067
58,5,0.3296098324705796,0.1930924614406654,0.3296098324705796,0.1964211369893635
59,3,0.7687956956711319,0.2128643581946384,0.7687956956711319,0.21538404297762972
59,5,0.5483972446223021,0.2009969390427433,0.5483972446223021,0.2057712278825719
