site,n_storeys,theta,beta,theta_bc,beta_bc
12,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
13,3,0.3746444075628903,0.2150001194321333,0.3746444075628903,0.2200141887092093
13,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
14,3,0.3754285920415873,0.2035941266243569,0.3754285920415873,0.2086451299611757
14,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
15,3,0.3843347288509862,0.1751141831445634,0.3843347288509862,0.1802456152774238
15,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
16,3,0.3927314884260653,0.1597791072345707,0.3927314884260653,0.16502619283971323
16,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
17,3,0.445385298446924,0.187704193666922,0.445385298446924,0.19267692274651357
17,5,0.420248782551479,0.2017319582639893,0.420248782551479,0.20696883863823087
18,3,0.4942956691778448,0.1697986478752992,0.4942956691778448,0.17634523316894443
18,5,0.446853742976615,0.2056211847510715,0.446853742976615,0.21118983650170572
19,3,0.4116651547544273,0.2066018777656796,0.4116651547544273,0.21219649577320018
19,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
20,3,0.3861144912610446,0.1776826339406378,0.3861144912610446,0.18317205769504286
20,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
21,3,0.445385298446924,0.187704193666922,0.445385298446924,0.19267692274651357
21,5,0.4662284110174992,0.1667201808093673,0.4662284110174992,0.1723410883682694
22,3,0.3861144912610446,0.1776826339406378,0.3861144912610446,0.18317205769504286
22,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
23,3,0.3927314884260653,0.1597791072345707,0.3927314884260653,0.16502619283971323
23,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
24,3,0.4942956691778448,0.1697986478752992,0.4942956691778448,0.17634523316894443
24,5,0.446853742976615,0.2056211847510715,0.446853742976615,0.21118983650170572
25,3,0.4116651547544273,0.2066018777656796,0.4116651547544273,0.21219649577320018
25,5,0.3299174500691858,0.1528114929794523,0.3299174500691858,0.15802928864474167
26,3,0.4116651547544273,0.2066018777656796,0.4116651547544273,0.21219649577320018
26,5,0.3299174500691858,0.1528114929794523,0.3299174500691858,0.15802928864474167
27,3,0.4116651547544273,0.2066018777656796,0.4116651547544273,0.21219649577320018
27,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
28,3,0.3746444075628903,0.2150001194321333,0.3746444075628903,0.2200141887092093
28,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
29,3,0.4116651547544273,0.2066018777656796,0.4116651547544273,0.21219649577320018
29,5,0.3518918191330724,0.1828130050266503,0.3518918191330724,0.1878621450069961
30,3,0.4769679992940375,0.252858069363065,0.4769679992940375,0.26063745015434475
30,5,0.6120895168351165,0.1773647727893435,0.6120895168351165,0.18166709275645665
31,3,0.8429182366605329,0.1888328370604703,0.8429182366605329,0.198334601511936
31,5,0.640316370523345,0.1637289362168215,0.640316370523345,0.1687549124582805
32,3,0.4646663619822128,0.1805105893951261,0.4646663619822128,0.18581524774282301
32,5,0.3914371983985894,0.2633175037804177,0.3914371983985894,0.27000793853637495
33,3,0.4646663619822128,0.1805105893951261,0.4646663619822128,0.18581524774282301
33,5,0.4689771688322276,0.1940847924651464,0.4689771688322276,0.19874482203312366
34,3,0.8429182366605329,0.1888328370604703,0.8429182366605329,0.198334601511936
34,5,0.7170801860126726,0.1679360072531565,0.7170801860126726,0.17242189351234252
35,3,0.4549006444157165,0.1719771851684699,0.4549006444157165,0.17682025621242878
35,5,0.3914371983985894,0.2633175037804177,0.3914371983985894,0.27000793853637495
36,3,0.4646663619822128,0.1805105893951261,0.4646663619822128,0.18581524774282301
36,5,0.3914371983985894,0.2633175037804177,0.3914371983985894,0.27000793853637495
37,3,0.4732616203505408,0.2427033294591824,0.4732616203505408,0.24967286062752583
37,5,0.6224629866912625,0.2050247135297142,0.6224629866912625,0.209567842548835
38,3,0.910783382939112,0.2689550568022966,0.910783382939112,0.2808578904393166
38,5,0.7329776364799261,0.1751656750908286,0.7329776364799261,0.17874223719293184
39,3,0.4549006444157165,0.1719771851684699,0.4549006444157165,0.17682025621242878
39,5,0.4281821303101139,0.2158424998624461,0.4281821303101139,0.2220413242897251
40,3,0.4630807686233573,0.2247099727224853,0.4630807686233573,0.2312477427411877
40,5,0.4135485576548838,0.1940750523244605,0.4135485576548838,0.1993718865625572
41,3,0.6028148188155542,0.2429093411372746,0.6028148188155542,0.24951981376680596
41,5,0.5305415799963101,0.2529405417235104,0.5305415799963101,0.25923495760927323
42,3,0.5883838179619837,0.2671808300064006,0.5883838179619837,0.27408640052134037
42,5,0.576152537111371,0.205011970146225,0.576152537111371,0.21036497042385494
43,3,0.8429182366605329,0.1888328370604703,0.8429182366605329,0.198334601511936
43,5,0.640316370523345,0.1637289362168215,0.640316370523345,0.1687549124582805
44,3,0.6018818174555535,0.2297534864890626,0.6018818174555535,0.23773228759970022
44,5,0.7531483051471495,0.1957975878345316,0.7531483051471495,0.20033172322699452
45,3,0.6353152663593783,0.2167146419780334,0.6353152663593783,0.22310209730692115
45,5,0.626464200810662,0.2286171973479215,0.626464200810662,0.23502515943881003
46,3,0.6018818174555535,0.2297534864890626,0.6018818174555535,0.23773228759970022
46,5,0.7531483051471495,0.1957975878345316,0.7531483051471495,0.20033172322699452
47,3,0.6353152663593783,0.2167146419780334,0.6353152663593783,0.22310209730692115
47,5,0.5305415799963101,0.2529405417235104,0.5305415799963101,0.25923495760927323
48,3,0.8045538434696907,0.2815117449476385,0.8045538434696907,0.2896573810184556
48,5,0.6291672084608233,0.1594181378881242,0.6291672084608233,0.16417188566617233
49,3,0.6018818174555535,0.2297534864890626,0.6018818174555535,0.23773228759970022
49,5,0.6922725826406504,0.2150775982002962,0.6922725826406504,0.22049912322696547
50,3,0.4646663619822128,0.1805105893951261,0.4646663619822128,0.18581524774282301
50,5,0.4622810831534713,0.1802903252773106,0.4622810831534713,0.18644235484028374
51,3,0.8045538434696907,0.2815117449476385,0.8045538434696907,0.2896573810184556
51,5,0.6383336838337872,0.2057756721007178,0.6383336838337872,0.2110009431933611
52,3,0.6353152663593783,0.2167146419780334,0.6353152663593783,0.22310209730692115
52,5,0.626464200810662,0.2286171973479215,0.626464200810662,0.23502515943881003
53,3,0.8404473417197758,0.1865853963035853,0.8404473417197758,0.19596357375368792
53,5,0.7170801860126726,0.1679360072531565,0.7170801860126726,0.17242189351234252
54,3,0.6028148188155542,0.2429093411372746,0.6028148188155542,0.24951981376680596
54,5,0.5305415799963101,0.2529405417235104,0.5305415799963101,0.25923495760927323
55,3,0.600426105117175,0.2335705807490742,0.600426105117175,0.24159949948289766
55,5,0.5305415799963101,0.2529405417235104,0.5305415799963101,0.25923495760927323
56,3,0.5883838179619837,0.2671808300064006,0.5883838179619837,0.27408640052134037
56,5,0.576152537111371,0.205011970146225,0.576152537111371,0.21036497042385494
57,3,0.6028148188155542,0.2429093411372746,0.6028148188155542,0.24951981376680596
57,5,0.5305415799963101,0.2529405417235104,0.5305415799963101,0.25923495760927323
58,3,0.4549006444157165,0.1719771851684699,0.4549006444157165,0.17682025621242878
