group,group_3s_00,group_3s_01,group_3s_02,group_3s_03,group_3s_04,group_3s_05,group_3s_06,group_3s_07,group_3s_08,group_3s_09,group_3s_10,group_3s_11,group_3s_12,group_3s_13,group_3s_14,group_3s_15,group_3s_16,group_3s_17,group_3s_18,group_3s_19,group_3s_20,group_3s_21,group_3s_22,group_3s_23,group_3s_24,group_5s_00,group_5s_01,group_5s_02,group_5s_03,group_5s_04,group_5s_05,group_5s_06,group_5s_07,group_5s_08,group_5s_09,group_5s_10,group_5s_11,group_5s_12,group_5s_13,group_5s_14,group_5s_15,group_5s_16,group_5s_17,group_5s_18,group_5s_19,group_5s_20,group_5s_21,group_5s_22,group_5s_23,group_5s_24,group_5s_25
n_storeys,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.1885402618975647,0.1714283072660647,0.1600796949045284,0.200572636923613,0.1536875967226731,0.1421495609632786,0.1438343199805357,0.1431226083709758,0.1616570345396036,0.1699448746205184,0.1952361704720523,0.2168160797210659,0.1732746737960959,0.1832398099906918,0.1907206123429647,0.3612844151899343,0.1911738509300227,0.2174091706189464,0.2384226526723414,0.203344498923167,0.1919432906059166,0.1879753161964036,0.2009244991685575,0.2091357063713131,0.2347737956852398,0.1464905513160445,0.1595390006487131,0.1454962950929306,0.1304932288014835,0.1384488069800468,0.1504509670916334,0.1256509921316118,0.2209484256023827,0.1905024103799756,0.1797674952271376,0.1591212376941295,0.1630202508528022,0.2377492121667104,0.1697703014001413,0.2036823253103372,0.1847933209120812,0.2070518465019029,0.190627674518418,0.2238838782701697,0.1899937597124021,0.1713319595953256,0.2335692079101586,0.2137071293756262,0.2252301506720843,0.2036376705116109,0.1691557803632596
9,0.1959364732846171,0.178950649430336,0.1655458144813481,0.175678941198982,0.1699224748149415,0.1731461140192362,0.1726461981416246,0.1729744596502823,0.1722246667412261,0.1679137154631177,0.2467866202762777,0.2815659897645858,0.193512040035575,0.2031965131392771,0.2499823855434398,0.34118025588506,0.2433928780438916,0.2579150481815974,0.2604441507285994,0.2447061804628795,0.2378563959233462,0.2346442073037376,0.2881946466888768,0.2776274217449906,0.2638033325322123,0.1316224089252352,0.1785267333880302,0.1726983522427868,0.1765710229919635,0.1562566013886149,0.1476948978332628,0.1470991529746356,0.1964818524273543,0.2337411314668017,0.2131098811653859,0.1975160099803301,0.2189202672303214,0.213267637035654,0.1767435198174075,0.2108111595670894,0.1770545954455268,0.2315674753126557,0.2339699851567632,0.2062397407343886,0.2283676922048112,0.2335422487976885,0.2448931557196789,0.2108323020487018,0.2661607634691056,0.2112030698246262,0.2017927662254183
10,0.1969969339591196,0.1702870286070376,0.1660481216493491,0.1798925714489827,0.1742629662489418,0.1645773752228312,0.1633814529670925,0.1675987363392082,0.1734803904400526,0.1615287801847847,0.1813443700985428,0.2097533179136417,0.1692348104882655,0.169858052354012,0.1869492541348517,0.2305865581275578,0.1803121143817466,0.1626789475535128,0.1878481354392104,0.1805128002241697,0.1544699574151833,0.1486621793080194,0.2054361948727331,0.2079930436637085,0.181543939844067,0.1673310535923349,0.214157525684198,0.1946069362511059,0.1665969981701985,0.1804520033785897,0.1945002513480451,0.1849490667069595,0.2243550620673472,0.1975142470509416,0.2132178648949642,0.1959085620373949,0.1906552085904135,0.242680481770119,0.1856133742199488,0.2374303503675469,0.202973777245918,0.2179509564030273,0.2033825444527421,0.1617160829498206,0.2108650431762293,0.1860474240184945,0.2076891680477906,0.2180120745016184,0.2398115043459432,0.237445494691525,0.1713339619096522
11,0.2335440548759831,0.1826384380592911,0.1847551188375323,0.1206828700296389,0.149487074904878,0.1151520716748138,0.1155158386780294,0.1153914267901943,0.1484531106961602,0.1353412165847783,0.1556548222417973,0.2466688048360733,0.1511039380749677,0.1412216721045924,0.176750653868304,0.2213932260520675,0.1577229427327318,0.1813664550430533,0.2133300096556988,0.221273330439449,0.1792237481444908,0.1600926799244997,0.2140991018676541,0.2404977851163629,0.2573011908032273,0.1352100806487786,0.1478630998642708,0.1584844174008175,0.1194972520114448,0.1213651817797683,0.1400512549993577,0.16363521558976,0.1679266605374614,0.1295198844104777,0.1618372995040243,0.1466815471894839,0.1014444846385259,0.2138717246644821,0.1548396203809106,0.1849850204238614,0.1656957353218535,0.149942603296085,0.1640112147355636,0.2459939668462256,0.1489090211237636,0.1138481308701798,0.1677287075762706,0.2054179517032983,0.1135100128969828,0.1851172229215385,0.1048212357697264
12,0.2237513180176614,0.1672399846663528,0.2085165791606068,0.1639556182142934,0.1519485434435957,0.1884361257995078,0.1818338957430367,0.1861627541032127,0.1547245003908472,0.1558574317591565,0.208863481390117,0.2341958372734231,0.1507271882859248,0.1655946599476593,0.2072290753415131,0.3025456544717931,0.2042434326131797,0.2149950988353866,0.2234804347328432,0.2069836003790109,0.2040844073074584,0.1987062737057729,0.240800390326262,0.2342343214407106,0.2300885321413486,0.1988172677138969,0.226761483295828,0.2056897726999504,0.1904921409458695,0.1753767558118832,0.1831079882532022,0.1974472869706225,0.2003604890159022,0.1508467651014733,0.1921547239877237,0.1791174172426992,0.1580396024263001,0.2026125075786685,0.1186868354829676,0.2090459744719703,0.1660990635944566,0.1964626423506261,0.1793100272310762,0.1325876921595407,0.1832135097145294,0.1422406853295761,0.1871106303728967,0.2141114636642376,0.1723181237419396,0.2093923462150697,0.1596089489761166
13,0.2383592364818079,0.1986413677812628,0.1851949782642587,0.1887746247186829,0.1781604006798229,0.2059447255457998,0.201117670077773,0.205176416533475,0.1774970901418294,0.1720234687593344,0.1919696923507114,0.2922202934147052,0.1632713243208063,0.1827678815619017,0.1997027423332804,0.3017594003507652,0.1831091575668315,0.2541122713107061,0.2570066124491895,0.2518786302644079,0.235225209996306,0.2292435958021118,0.2729026121065392,0.2899574520143478,0.2920296250039741,0.2006108951853964,0.207618528093969,0.2257333292244187,0.1948205322092339,0.1953877355122266,0.1963759350194204,0.2246704328990923,0.2131175959174284,0.185313015140309,0.2110913019357476,0.2148014960760685,0.2239378478676666,0.2385188194261041,0.1705821307733536,0.2380059453030881,0.2003582820956237,0.2314534713248696,0.2246028478706354,0.2560977903922635,0.210812285264617,0.2137192250204767,0.2278691246554911,0.2138641899909782,0.2402027163684248,0.2380876475636978,0.1926286057697305
14,0.2475289031876751,0.1726790257202358,0.2265900223281898,0.1847614200077121,0.1661343321745903,0.2012023320205558,0.1983271317525251,0.1990043496156096,0.1709139321140664,0.1725692002473104,0.2195608186343755,0.2493031578455266,0.1692282409887569,0.1782960154222766,0.2142982317015282,0.3498765156384925,0.2180296760620813,0.2516020987467373,0.2488879467031344,0.2325782975893251,0.2337469080777047,0.2319240824766919,0.2523246517779095,0.2468041824994335,0.2703686956946062,0.2126747126309246,0.1939373001909879,0.2038949617086126,0.1873592765846077,0.1666746800134438,0.1674651396350553,0.2192804501013741,0.1499547200155961,0.1972601274599278,0.1474243365366811,0.1260147947826272,0.1932040030519846,0.1619282428402245,0.1653309906847828,0.1632555559053553,0.1529929253066863,0.2150799576487702,0.1945823778285694,0.1754007780123696,0.1838606732248167,0.1934795302520167,0.2129787669529347,0.1592615031895393,0.2126009963347484,0.1632247139969353,0.171018660804779
15,0.2252478452379597,0.1896564504522995,0.1812788895698412,0.1901279520065869,0.2150132748380045,0.2060796533360666,0.2043660735956538,0.2076423630626329,0.2150561075353339,0.169412123499959,0.2068054398477762,0.2214245788506058,0.1667388096112031,0.178583763685447,0.2099123827677526,0.2388425878775139,0.2009948992118775,0.2271029605062399,0.238802329095305,0.2055557996150648,0.2113004947974271,0.2057622180765135,0.2173876652102707,0.2175930148442932,0.2395275849362289,0.1962550920643239,0.2000954040386199,0.2088557113021553,0.1913339727381713,0.175887862020214,0.1717445288812148,0.1966249002234028,0.1984943851822232,0.1610143962480913,0.2361547743414649,0.2120538404861918,0.2308698264011004,0.24053535226052,0.1450691075951042,0.2429014720064519,0.2240520688266436,0.2626476671649844,0.1984678549861512,0.2382398088705179,0.2178303163813056,0.2122573939263136,0.2448269984974693,0.2193928753662671,0.1772951219343067,0.2435276974018865,0.1585177853857106
16,0.2406123768030417,0.1959536174283643,0.2108567553246346,0.2027999195644229,0.1715107073753188,0.1822086422616373,0.1785270574462126,0.1806291383677273,0.1736660716437138,0.1831677007938564,0.2224917455600158,0.2885555226749612,0.2016743675922916,0.1778340438527126,0.2369803423308215,0.3407231603952758,0.2144158680355125,0.2372443483516081,0.2542303169577865,0.2477092976551701,0.2296598001255524,0.2238765424591182,0.2816975083331416,0.2796835609246498,0.2621423168974902,0.1708996429923292,0.206227873090857,0.1794605660052013,0.197200416278172,0.1625335911764497,0.1335496699548054,0.1601094502074783,0.144390438521442,0.2188875476908927,0.1933341174177226,0.1503487375029621,0.168353174372174,0.1683087538149607,0.1644640480163683,0.1950031114413602,0.1630559564846072,0.2185335938560618,0.2019836186650278,0.2054715423481075,0.1900688706313324,0.1916125978452732,0.2080309027947408,0.1811447162072491,0.1980410321909003,0.1950377951881776,0.1889662672070707
17,0.1861891870085665,0.1608637856456409,0.1842400718659472,0.1913602098831533,0.1527682413924845,0.1585223101909452,0.1591190405288695,0.1579863984754288,0.1590654870305693,0.163558789950542,0.2227473795986852,0.2263990931130883,0.1844065733237259,0.1725165733241642,0.2180248949295641,0.3491583213829127,0.2231897189937305,0.2033922304492072,0.2144488985471069,0.2104872201846988,0.1866297180774587,0.1857848581090715,0.2256038903379388,0.2244881937339216,0.2155315765648646,0.199931455604641,0.18009615067408,0.1644092862399425,0.1603914512418672,0.1498927420075594,0.1513943847349963,0.1775682679985116,0.1435732371555841,0.2266517731945218,0.1509878227811136,0.111906281301727,0.1759228993134494,0.155883136983403,0.1991625638332936,0.1793615712144343,0.1693026652957244,0.2253444084218175,0.2266874932901116,0.1516299523100227,0.2247801861367294,0.1989936804468658,0.2246092726005957,0.1185458677880506,0.2393048396646293,0.1795244865876059,0.1657765530922298
