group,n_storeys,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
group_3s_18,3,5000.0,0.1310133295996096,0.3060749203778045,0.22924716577812543,0.22965674885616555,0.0004879025026634149,0.022090724358516445,0.1843754489943195,0.1920130149141761,0.20714530112859073,0.25121844336183435,0.2644845782836425,0.2709358972934027,-0.14576024756860528,0.1145296446942714
group_3s_19,3,5000.0,0.1002668223500989,0.3268200516968733,0.21797833764432886,0.21835604033845196,0.0010104482685229896,0.031790728186103415,0.1566291700651274,0.1655537207035834,0.18573129334915806,0.2503593164792341,0.26929936684415484,0.278862895112468,-0.015779366000384782,-0.2055934833964561
group_3s_20,3,5000.0,0.096701658762275,0.2990027091458078,0.205305491718118,0.20582773741525157,0.0006351062397976679,0.02520383475693647,0.15572356917221178,0.16348617779259986,0.1796680142613889,0.23034387666090753,0.24610264114789682,0.25331165250355037,-0.07829188573006088,-0.05425234742912721
group_3s_21,3,5000.0,0.097668453394384,0.2950808583164872,0.1979522947124619,0.19835342343925216,0.0006975196275022718,0.026413238334860395,0.14441340236963635,0.15315482764658445,0.17164657591989477,0.22421683334221784,0.24070244207416813,0.24830470343991606,-0.07716292367059822,-0.07129524183286451
group_3s_22,3,5000.0,0.0898058171683243,0.3944606818544923,0.24785242184508607,0.24895200500465647,0.0015081780620796559,0.03883915238559233,0.16957267065541684,0.18274965853966083,0.20913441839558275,0.28612643437828283,0.3107680323511667,0.3203011463009506,-0.12075884236038628,-0.06388096293146361
group_3s_23,3,5000.0,0.1178553259497335,0.3798933774034653,0.2559651691305946,0.2573557425298819,0.001298881099850506,0.0360435976011845,0.1835964197589044,0.1952255444818721,0.21918874606170685,0.2916733176109396,0.3123499195566468,0.32316728189175414,-0.15277243986635047,-0.037782593461982206
group_3s_24,3,5000.0,0.1166046071105398,0.3550692840648995,0.23265821575997933,0.2332752975624455,0.0010709946484499832,0.032729327677604815,0.16777198901254592,0.17733285344027214,0.20033368968493045,0.26569982241901113,0.28479262601473965,0.2932117604326155,-0.1588039424290378,-0.03401864792132514
group_5s_00,5,5000.0,0.095565034783532,0.2499881625626678,0.17278194768915697,0.1733386063938662,0.0005144433569814227,0.022683612283643663,0.12792624489293822,0.1342135605835056,0.15020097394935022,0.1954177393400053,0.2099352271727495,0.21601395984550498,-0.08653468810047299,-0.07542919060277375
group_5s_01,5,5000.0,0.1017944836278213,0.2752107299690023,0.18971825756764937,0.1909782650534474,0.0005566722953200491,0.0235962635188383,0.14092093909939432,0.14818241076728514,0.16617259819585098,0.2131053107768496,0.22656215932563206,0.23244768179307354,-0.26140253003084235,-0.006959282881876305
group_5s_02,5,5000.0,0.0951009578899265,0.2652996986932314,0.18140499027449045,0.1818246063129467,0.0006222533278910777,0.024947500946021987,0.13045008526539456,0.13890219686735092,0.15668986885069314,0.20611575107470548,0.22182043459109446,0.22854982289747952,-0.0712660724458963,-0.11229716460258432
group_5s_03,5,5000.0,0.081517677654004,0.2314368873430045,0.1647744161301346,0.16559534111488325,0.0004950085820293649,0.022251013539838473,0.12008171482250163,0.126709484554898,0.1422701666987257,0.18716277065966075,0.19987546499692999,0.20599706409202312,-0.16117886466991044,-0.10695280410865626
group_5s_04,5,5000.0,0.0872837905430421,0.2256038887090496,0.16018521629584997,0.16043309213836834,0.00041387788039973553,0.020346023506676737,0.11917724094580691,0.1261617877937237,0.1401337530290486,0.18052850664735978,0.1930061116942342,0.19842984100843966,-0.11992825509486528,-0.08483581505276527
group_5s_05,5,5000.0,0.0659062128229411,0.2453145506380727,0.16405779628606584,0.1644087771891246,0.0006416643731822688,0.025333628475380596,0.11348195273884636,0.12184800854509409,0.13838050823886666,0.18951989979049758,0.20479542519613755,0.21182360242214324,-0.13594226357068698,-0.10688728072899156
group_5s_06,5,5000.0,0.0953219749785792,0.2787000237695658,0.17907361849020753,0.17890284025841258,0.0009267079218400432,0.030444922409166086,0.12599275244705221,0.13240364258085718,0.14610611006563448,0.21112296598094368,0.23074277018774228,0.24079354374996256,0.21435838519503633,-0.4259878663525596
group_5s_07,5,5000.0,0.0875776026924128,0.284154731661335,0.17903251280577262,0.1791670418108862,0.0007644249468517771,0.027651001110705953,0.12638930268732318,0.13406211826683392,0.1505974386803285,0.20616927546923602,0.22506588229287153,0.23269257168903745,0.06860951446926587,-0.19467928817338986
group_5s_08,5,5000.0,0.0646632059387133,0.2868750666970542,0.18435326790972978,0.18487007030271174,0.0010939500959247933,0.033078224403839084,0.1185581816585098,0.12925567174154193,0.15114732588988083,0.21764269805371295,0.23763397313899579,0.24640232069144816,-0.12794743564861022,-0.10810013378429995
group_5s_09,5,5000.0,0.1136383824996696,0.2841925406998306,0.1972116518710565,0.1973697605263353,0.0005625445438772966,0.023720393658039386,0.15078850944073494,0.1571190223582714,0.17325780688519093,0.22072868814990806,0.236190907673147,0.2430725607979415,-0.0011789205829359783,-0.044908451978578956
group_5s_10,5,5000.0,0.0860155435078049,0.2567237588774469,0.17835223319955912,0.17882747493649045,0.0006229247175834158,0.024960956060393714,0.12760563160119148,0.1361253234906132,0.15350634810550462,0.20335295209117493,0.21755846321453332,0.2242349208448187,-0.19163321233666367,0.028737313068652348
group_5s_11,5,5000.0,0.0888020686069609,0.276364964243643,0.18424393005144116,0.18476871425368585,0.0006444507669028595,0.025388573863835428,0.1328481795321331,0.14166916690785358,0.1589538614690669,0.20912649515490098,0.22463440053081216,0.23294096258222186,-0.1363683720558005,0.06659832413083366
group_5s_12,5,5000.0,0.1031079724223341,0.3062960224876773,0.2046687223323182,0.20480575793457795,0.0008593559887676864,0.02931770615765421,0.14718268653727182,0.15609838676454968,0.1747623409970191,0.23393757022620112,0.25286782317791023,0.26168751772033216,0.025089964611000413,-0.10754486582960343
group_5s_13,5,5000.0,0.0753524157181664,0.232418815281035,0.17040901913636192,0.17093844642291495,0.0004323489488170672,0.020795082012443424,0.1269776262943432,0.13577733474218667,0.14973451792461656,0.1910966052644872,0.20400348145257632,0.2095891853221569,-0.2037783639625885,0.10551382015292088
group_5s_14,5,5000.0,0.1228041192823144,0.3076029992320565,0.21812993160650648,0.2189988815535461,0.0006822661463114398,0.026122837266208416,0.1654624232643665,0.17284031681115816,0.1919624818991794,0.24411961909298324,0.2600212678187237,0.2667410192753949,-0.12338185308074122,-0.1051709678603534
group_5s_15,5,5000.0,0.1072417906032959,0.2747816610512322,0.1863952346386242,0.18682903666440034,0.0006319113784951934,0.025140361692951117,0.137713975226453,0.1447600144125475,0.16054529640858756,0.21141816862217103,0.2276047478969596,0.23528489182466586,0.016657957260644164,-0.20319976858585642
group_5s_16,5,5000.0,0.1224611032010676,0.3120079887225883,0.2212222575225405,0.22170425018532935,0.000593028645748351,0.024354615069908034,0.17189156955844825,0.1800642816249527,0.19723593575407483,0.2451561439115352,0.2601467365274149,0.2664687542441887,-0.1757272214644105,0.21987265128401656
group_5s_17,5,5000.0,0.115969823887869,0.2787335047886797,0.1964304415989013,0.19616633536070624,0.000493113288340105,0.022208375238325074,0.1522537871446742,0.15949487122521466,0.17430560793850378,0.21877153173614403,0.23225536882812667,0.23943009264456538,-0.042662039866815805,0.01070303668786421
group_5s_18,5,5000.0,0.07016530673138,0.3309369652727857,0.19368216012096384,0.19619145238334673,0.0016799334784466555,0.0409910908900108,0.10551290347788607,0.11838873739239449,0.15304224702484884,0.23504714399793586,0.2568243280826435,0.26562718966936844,-0.26076461384626687,-0.23223225232278377
group_5s_19,5,5000.0,0.1167512535841361,0.2766530104420709,0.19903987684260596,0.1999295443335625,0.000495504979743051,0.022262167472264772,0.15351168844326482,0.16114939424956168,0.1766680145749188,0.2211107896415844,0.23384232292109486,0.24113108111782894,-0.15738693036842735,-0.03857719983601937
group_5s_20,5,5000.0,0.0791842317224781,0.2916421286378228,0.1941560112314452,0.19492802017483668,0.0009424778088078956,0.03070287188645894,0.13095610955513523,0.14193234077176112,0.1637629840985307,0.22418901050726922,0.24360597677016918,0.25232389048067283,-0.16634110893656376,0.09975100413524096
group_5s_21,5,5000.0,0.1252593913740406,0.3017737722212432,0.2095451335524476,0.2099596486494233,0.0005967923594367769,0.024431777294849712,0.1606644843053583,0.16911878632899444,0.1849370247642904,0.2334176587794398,0.24904619865250607,0.2562041919985105,-0.1031544344800126,-0.018670199605383964
group_5s_22,5,5000.0,0.1003092693195209,0.277864674216791,0.20360487757977466,0.20485259365567135,0.0006095238695093876,0.024691006432892147,0.15130788314558583,0.16110224052956426,0.17959449313737513,0.22821454754834658,0.2414549986519166,0.24768595066951654,-0.34056783896432785,0.213004104873729
group_5s_23,5,5000.0,0.0735549102263994,0.3359785892547187,0.20822174747574368,0.20915287190719506,0.001551681783872657,0.039395331986278766,0.13090284651929296,0.14232699092204018,0.16809109468831362,0.24790397714266213,0.27143639235339595,0.2822165405529812,-0.07713041654295814,-0.21623703972767716
group_5s_24,5,5000.0,0.1228055867467279,0.3079130950313136,0.21837650049310373,0.21924723789090989,0.000682684910922258,0.02613085293704171,0.16586474562688341,0.17308837445042066,0.1922065853683944,0.244317926623478,0.2603586487636978,0.2667140555389984,-0.1226407496940766,-0.10506872276160895
group_5s_25,5,5000.0,0.0647972799145861,0.2414782846576536,0.1640105647413109,0.16523848960371812,0.0005660556701998827,0.02379430402387678,0.11549337357389837,0.1231911765026529,0.14034201594403442,0.1871827016915935,0.20100919143688895,0.20772798680112556,-0.2744012394676747,0.1806366675026787
