,GM_IA_None_Delta,GM_RSD595_None_Delta,"rotD50_AvgSA([0, 3])_3.0_Delta","rotD50_AvgSA([0, 6])_6.0_Delta",rotD50_PGA_None_Delta,rotD50_SA_0.025_Delta,rotD50_SA_0.04_Delta,rotD50_SA_0.05_Delta,rotD50_SA_0.07_Delta,rotD50_SA_0.1_Delta,rotD50_SA_0.15_Delta,rotD50_SA_0.2_Delta,rotD50_SA_0.25_Delta,rotD50_SA_0.3_Delta,rotD50_SA_0.35_Delta,rotD50_SA_0.4_Delta,rotD50_SA_0.45_Delta,rotD50_SA_0.5_Delta,rotD50_SA_0.6_Delta,rotD50_SA_0.7_Delta,rotD50_SA_0.75_Delta,rotD50_SA_0.8_Delta,rotD50_SA_0.9_Delta,rotD50_SA_1.0_Delta,rotD50_SA_1.2_Delta,rotD50_SA_1.4_Delta,rotD50_SA_1.6_Delta,rotD50_SA_1.8_Delta,rotD50_SA_2.0_Delta,rotD50_SA_2.5_Delta,rotD50_SA_3.0_Delta,rotD50_SA_3.5_Delta,rotD50_SA_4.0_Delta,rotD50_SA_4.5_Delta,rotD50_SA_5.0_Delta,rotD50_SA_6.0_Delta,rotD50_SA_7.0_Delta,rotD50_SA_8.0_Delta,event_id,station_code,max_usable_T
17,-1.819088066004321,2.0640114380638788,0.5991561450887186,0.5880041169215975,0.17517092965486825,0.18271424847883821,0.42086090202404414,0.6542542831307472,0.09830060762493709,-0.24045752958984323,-0.3149794860177497,0.1361143754290346,0.3193986738763295,0.3654866746608034,0.356121520155134,0.31839365280817056,0.365000313046302,0.595201722398988,0.8406798617285443,0.8602682985495047,0.7715459493330368,0.8116636160001143,0.8579956024868824,0.9481806534211739,1.099184737023295,1.2078539129276784,0.9026614401025022,0.7054313049768854,0.5039203649057828,0.3471095268079516,0.38814640924671906,0.4064193325962613,0.5676871518047921,0.5649282548361061,0.6248447463814752,0.6311668612389187,0.682038687652911,0.6518665214362791,EMSC-20100101_0000004,IACM,5.3333
19,-1.1690655826033893,0.7536785929449827,0.502605386827371,0.4032279339759235,0.006918860422868711,-0.024061399647024473,-0.06873641099730232,-0.09207276736603198,-0.3074729075969156,-0.5677732094235646,-0.47993762415631647,-0.2554255949415394,0.03556216379543642,0.37805577367550214,0.2966429004579201,0.5704356875221324,0.5347798083991488,0.3867410346078728,0.4809296401520049,0.5166888363912978,0.5995099643981785,0.633128275332214,0.7449730432853467,0.8036476280436133,0.9494300701568719,0.7603316545495291,0.7613749933564762,0.559255253088395,0.582804552237584,0.4365590835851849,0.39193999266141155,0.6466207207187082,0.43526413134154396,0.18883302610073294,0.15488793418538016,0.30863971606451024,0.5029491370380459,0.47642258877436916,EMSC-20100211_0000053,IACM,13.3333
20,1.255603627387389,0.21926154145523302,1.2921624125579392,1.1689614766088656,2.783153335544368,2.7716324212434316,2.763203146853691,2.793301286096611,2.8512344969870194,2.7177940322770393,3.038922046083915,3.1914096946472155,3.0054121628941495,2.874028708490787,2.6864936027384996,2.492240692017684,2.378592315159114,2.5487961807916006,2.067467596722822,1.6472273985065131,1.5718733332829187,1.6036927905499585,1.6730726249305832,1.609892113706593,1.6000877415825032,0.9962170495822935,0.5921614703525346,0.5626013547780957,0.5308580380734487,0.5224357653569793,0.6209642783271914,0.7669622524385034,0.8849937706645932,1.0041016168596855,1.0472250366596292,1.1448347201140763,1.2625075043524383,1.331484303635028,EMSC-20100312_0000003,IACM,5.3333
21,-1.6018667659068946,-0.5678770250478085,-0.2592726398082217,-0.09031583539381316,0.7460357180180628,0.7839260262136669,1.050178402005641,1.4429850530858364,1.417353172558812,1.1145923611305761,0.45493350873002747,0.114958061260233,0.08426049775684419,0.05881584331267398,0.24921231876987182,-0.19559946128960526,-0.5628659143990014,-0.5092646563830554,-0.17448925548791117,0.005415011851552798,0.031371675632164475,-0.03814234939755945,-0.1765920003350283,-0.30511717982513176,-0.4242600820744027,-0.5427981594397373,-0.5627724299818997,-0.5947766158094066,-0.622698594834457,-0.5728596548335023,-0.37586110749039037,-0.24602214871394423,-0.05085575285881028,0.10615983477486424,0.08599256113016551,0.15981205196861126,0.249233035385652,0.31843729757789063,EMSC-20100312_0000039,KARP,3.2
23,-3.996619270888596,0.8732414119748473,-0.7703505525960761,-0.38256269501341933,-1.207053219652555,-1.2125895354106717,-1.191244955741876,-1.1632501955453094,-1.302818834457912,-1.1349888846445602,-1.2641642931024766,-1.4145057801820657,-1.3610696467087342,-1.1124490637944833,-1.0492521133190582,-1.0490098513924808,-0.9086407544404258,-0.8716666423871011,-0.8164730136125975,-0.6576825135435165,-0.8354075285594567,-0.7921500820573222,-0.8143188973357667,-0.9821047245541372,-0.7545588408544868,-0.8656234875693762,-0.7204317657886072,-0.6846423126170311,-0.8051948600550372,-0.31539201871159506,-0.5325041636472818,-0.34369632978865816,-0.2502040283313569,0.2109736929275403,0.36113404986273956,0.20272392759927982,0.2749766366647499,0.4890724913873967,EMSC-20100424_0000037,KARP,26.6667
24,-0.6491810459052818,0.8998537398397612,0.6521730783379001,0.5576313591328255,0.14542582771710055,0.12624818540194838,0.10921198550333777,0.12582130681617532,-0.1451989657322761,-0.42460647402407403,-0.5254654450726628,-0.3426950752901652,-0.032187505789283755,0.034189510010818935,0.26017714322287144,0.2023937359108352,0.4714572477845689,0.58137077569332,0.6615328146635759,0.7796822712765339,0.885909691957667,0.8060215742299786,0.8791317093117579,1.0148587672767126,1.2924760243654099,1.1814413697539692,0.9640881635293308,0.7554214308600455,0.6096782044048963,0.6390860389196193,0.49688009059145344,0.6278871532131483,0.6490614172720814,0.4679833193220002,0.3506400560797438,0.2836294346400834,0.30460239027532765,0.38551854389212714,EMSC-20100424_0000037,IACM,8.0
26,-2.258392554178286,0.2745674492521446,-0.7116648357744957,-0.9986942613266532,0.7905804822491085,0.8015676660770694,0.9711531309189176,1.1597610848249555,1.370376929292834,1.3807413642260915,1.0144244540055878,1.075117690950811,0.5952826909235869,0.48517424633188355,0.7557155928669657,0.5971302447735027,0.21070071791442224,0.12097108875366303,0.06731643796010367,0.07600825486194474,-0.28935000317588333,-0.354673610877958,-0.4703088777190363,-0.552151529097543,-0.8549323171163756,-1.0285813520665315,-1.4287332294425088,-1.3779148123728628,-1.3132712328311307,-1.3277660546911019,-1.6366639637160372,-1.5655341441730268,-1.5343155665661374,-1.3921140944433468,-1.353349532360049,-1.2934092423875097,-1.233086964534614,-1.2250484030753537,EMSC-20100606_0000027,KARP,8.0
27,1.560385759044844,-0.07526375998655821,1.0837087267874548,1.0106105568918817,2.0464703522970096,2.0118898975209296,1.955606945503975,1.981956254973201,1.8255139210101952,1.5913745613298769,1.949410385609839,2.4916120114601514,2.29803809247505,2.3815619443227702,2.4078214791963695,2.2192243114771633,2.136309535861769,2.0249416529947775,1.698406166658387,1.5390742167448899,1.4334153935936103,1.2643482680786438,1.1319223600587653,1.0663756643411375,0.8921989417009621,0.8215147089441466,0.6442303665997553,0.6263107408635546,0.5753900858201231,0.49405760016964617,0.6216300247465796,0.7252464952298379,0.8174587986509607,0.9360456489033773,0.9776494700195713,1.049141332193276,1.1325127774375598,1.1866314037752996,EMSC-20100606_0000027,IACM,8.0
29,-3.9335553811598345,1.7401754183267895,-1.7650872294452427,-1.9963391970637279,-1.0258755541368947,-1.018927866548303,-0.9158372697657775,-0.8212490422899235,-1.0099712926617048,-1.1358381694910662,-0.9475887411578343,-0.6656906706198038,-0.3647956566741559,-0.629644367323122,-0.862928246827277,-0.9138324080810696,-0.8309290999212005,-0.6945309673870286,-1.1249410672755946,-1.4471405284749093,-1.6259655177958061,-1.6546539347430356,-1.564975084902911,-1.4948940542723808,-1.3054874842083217,-1.7390985158623398,-1.9248853454948858,-2.089822227314052,-2.2479531554241987,-2.45033514400237,-2.3579492375243323,-2.450418951220385,-2.3341071259419905,-2.3197857705932883,-2.230174139219006,-2.0971854205645357,-2.0996172413127567,-2.0602954127798423,EMSC-20100626_0000059,IACM,5.3333
30,-5.101640245234812,0.5781480401985797,-1.5676379458452647,-1.4333365157891862,-1.5014573982760293,-1.484771706004226,-1.419882827582522,-1.2546486921244346,-1.3659444364567168,-1.3304398646498266,-1.3592294114439563,-1.6382171551721276,-1.7524713316558502,-1.831081758979372,-1.6673026962168285,-1.6087671932035086,-1.4576052983914742,-1.4981836697092517,-1.0381692077667815,-0.9672247249085331,-1.0809419242856233,-0.9876047255035711,-1.0235302269882975,-1.1890516539283702,-0.9878188236342513,-1.3472561038296647,-1.8460839399318818,-1.8218144126378206,-2.0451714443219995,-1.7459062557358163,-1.6191881811244233,-1.5540684846459776,-1.3924993321571364,-1.3147871706883514,-1.3016672999118768,-1.2886114740134165,-1.3313218358770929,-1.5172902659076453,EMSC-20101205_0000062,KARP,8.0
