IM,info,info,info,info,AvgSA_03_ub,AvgSA_03_ub,AvgSA_03_avg,AvgSA_03_avg
parameter,storeys,site,group,Vb_coeff,median,dispersion,median,dispersion
structure,,,,,,,,
3s_cbf_dc2_site7,3,7,group_3s_03,0.0739126394193531,0.5026681103483441,0.18220222446244047,0.4841065565059645,0.18588063959591183
3s_cbf_dc2_site11,3,11,group_3s_03,0.0764343387901755,0.5026681103483441,0.18220222446244047,0.4841065565059645,0.18588063959591183
3s_cbf_dc2_site18,3,18,group_3s_03,0.082821067780361,0.5026681103483441,0.18220222446244047,0.4841065565059645,0.18588063959591183
3s_cbf_dc2_site24,3,24,group_3s_03,0.0846862341254467,0.5026681103483441,0.18220222446244047,0.4841065565059645,0.18588063959591183
3s_cbf_dc2_site10,3,10,group_3s_03,0.0848468681087339,0.5026681103483441,0.18220222446244047,0.4841065565059645,0.18588063959591183
3s_cbf_dc2_site17,3,17,group_3s_09,0.0902780738888287,0.4627608557968049,0.16277691153527246,0.44656416857317044,0.16659650046498703
3s_cbf_dc2_site21,3,21,group_3s_09,0.0958805634454682,0.4627608557968049,0.16277691153527246,0.44656416857317044,0.16659650046498703
3s_cbf_dc2_site33,3,33,group_3s_12,0.1202160450891463,0.4823692140893084,0.1752093455054753,0.4643856706258773,0.1726233608163767
3s_cbf_dc2_site50,3,50,group_3s_12,0.121915886705782,0.4823692140893084,0.1752093455054753,0.4643856706258773,0.1726233608163767
3s_cbf_dc2_site32,3,32,group_3s_12,0.1235063345477543,0.4823692140893084,0.1752093455054753,0.4643856706258773,0.1726233608163767
3s_cbf_dc2_site36,3,36,group_3s_12,0.1243767504062939,0.4823692140893084,0.1752093455054753,0.4643856706258773,0.1726233608163767
3s_cbf_dc2_site35,3,35,group_3s_13,0.1289341422429275,0.46980607560375526,0.17296166001862895,0.45115362678382076,0.17499961425288035
3s_cbf_dc2_site39,3,39,group_3s_13,0.1304671248719981,0.46980607560375526,0.17296166001862895,0.45115362678382076,0.17499961425288035
3s_cbf_dc2_site58,3,58,group_3s_13,0.1363115013155072,0.46980607560375526,0.17296166001862895,0.45115362678382076,0.17499961425288035
3s_cbf_dc2_site40,3,40,group_3s_16,0.1481958589586131,0.4846711154562111,0.20715612127756947,0.4667754812330345,0.2092235262510548
3s_cbf_dc2_site30,3,30,group_3s_10,0.1573036456030802,0.49238828916340643,0.2120635550154843,0.47393650773424456,0.2136555062261143
3s_cbf_dc2_site37,3,37,group_3s_14,0.1594897198887691,0.4890750874354053,0.21740903128807193,0.47128419669813887,0.21686667199398854
3s_cbf_dc2_site42,3,42,group_3s_18,0.2092025559999718,0.5916169661093643,0.23593384670322454,0.572280340002846,0.23327155869707306
