IM,SA,SA,AvgSA_03,AvgSA_03,AvgSA_06,AvgSA_06
parameter,median,dispersion,median,dispersion,median,dispersion
structure,,,,,,
3s_cbf_dc2_site40,1.4432038416275301,0.4786764026717169,0.4495406120400757,0.21211342287524904,0.2032827491487666,0.3626642914399209
3s_cbf_dc2_site30,1.4638325026742538,0.4891910510926612,0.4561761892123102,0.21599126253908685,0.2062833642959478,0.3563093435507518
3s_cbf_dc2_site37,1.4572775864239886,0.5074441207916005,0.4541404781464055,0.21709452700399567,0.20536281355844838,0.3501178403758271
3s_cbf_dc2_site42,1.8200290457434622,0.450155798555565,0.5535757192825853,0.23168695451378402,0.25032753674263847,0.40556921889026465
3s_cbf_dc2_site56,1.8200290457434622,0.4501557985555649,0.5535757192825863,0.23168695451378402,0.25032753674263847,0.40556921889026465
3s_cbf_dc2_site57,1.9440798590881847,0.39627264374585197,0.5873798462652648,0.22587692761871148,0.265613799388471,0.38899419382343525
3s_cbf_dc2_site41,1.9440798590881847,0.396272643745852,0.5873798462652648,0.22587692761871145,0.2656137993884708,0.3889941938234353
3s_cbf_dc2_site54,1.9440798590881847,0.396272643745852,0.5873798462652648,0.22587692761871145,0.2656137993884708,0.38899419382343525
3s_cbf_dc2_site55,1.9234542696568953,0.39452380295658396,0.5805885522719618,0.2451354153067926,0.2625427689270161,0.41503563561404366
3s_cbf_dc2_site47,2.0397662440638644,0.40459105063318995,0.6155441485356526,0.21040620173993896,0.2783497272224414,0.3808404420387212
3s_cbf_dc2_site52,2.0390645304917934,0.40470224372206004,0.6155209658188051,0.21061684581525303,0.2783392439729038,0.38133938138012186
3s_cbf_dc2_site45,2.03906453049179,0.4047022437220601,0.6155209658188051,0.21061684581525303,0.2783392439729036,0.3813393813801219
3s_cbf_dc2_site49,1.9524761280854803,0.3865029154854427,0.5871225593363819,0.24534250150125775,0.26549745396200036,0.41844789017672424
3s_cbf_dc2_site44,1.9524761280854837,0.3865029154854427,0.5871225593363819,0.24534250150125772,0.2654974539620006,0.41844789017672424
3s_cbf_dc2_site46,1.9524761280854803,0.3865029154854427,0.5871225593363808,0.2453425015012578,0.2654974539620006,0.41844789017672424
3s_cbf_dc2_site53,2.709393763669614,0.3652816150376472,0.7876307266661476,0.2558931634297706,0.3561674632779608,0.4027640744985699
3s_cbf_dc2_site34,2.714519847070964,0.35838697043045403,0.7891803770358587,0.25911542757184575,0.3568682168449064,0.40137579204061435
3s_cbf_dc2_site43,2.714519847070969,0.35838697043045403,0.7891803770358587,0.25911542757184575,0.3568682168449064,0.4013757920406143
3s_cbf_dc2_site31,2.714519847070964,0.35838697043045403,0.7891803770358587,0.25911542757184575,0.3568682168449064,0.4013757920406143
3s_cbf_dc2_site59,2.714519847070964,0.35838697043045403,0.7891803770358573,0.25911542757184575,0.3568682168449064,0.40137579204061435
3s_cbf_dc2_site51,2.6252504459226715,0.332585417740724,0.7670476423986333,0.2639359122585532,0.34685977039372357,0.41702717519751026
3s_cbf_dc2_site48,2.6252504459226715,0.33258541774072403,0.7670476423986348,0.2639359122585532,0.346859770393723,0.41702717519751026
3s_cbf_dc2_site38,2.986981813142132,0.34812501425972103,0.8758756045036313,0.32525932974334715,0.3960718921207575,0.45534818706634256
