structure,storeys,site,group,median,dispersion,pc_min,pc_max,n_zero,n_full,well_defined
5s_cbf_dc2_site46,5,46,group_5s_18,0.7531483051471495,0.19579758783453163,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site47,5,47,group_5s_16,0.5305415799963101,0.2529405417235104,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site48,5,48,group_5s_20,0.6291672084608233,0.15941813788812423,0.045454545454545456,0.8181818181818182,0,0,True
5s_cbf_dc2_site49,5,49,group_5s_21,0.6922725826406504,0.21507759820029626,0.045454545454545456,0.8181818181818182,0,0,True
5s_cbf_dc2_site50,5,50,group_5s_22,0.46228108315347133,0.18029032527731062,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site51,5,51,group_5s_23,0.6383336838337872,0.2057756721007178,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site52,5,52,group_5s_19,0.626464200810662,0.22861719734792155,0.09090909090909091,0.8636363636363636,0,0,True
5s_cbf_dc2_site53,5,53,group_5s_11,0.7170801860126726,0.16793600725315655,0.045454545454545456,0.8636363636363636,0,0,True
5s_cbf_dc2_site54,5,54,group_5s_16,0.5305415799963101,0.2529405417235104,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site55,5,55,group_5s_16,0.5305415799963101,0.2529405417235104,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site56,5,56,group_5s_17,0.576152537111371,0.20501197014622502,0.09090909090909091,0.9545454545454546,0,0,True
5s_cbf_dc2_site57,5,57,group_5s_16,0.5305415799963101,0.2529405417235104,0.13636363636363635,0.9090909090909091,0,0,True
5s_cbf_dc2_site58,5,58,group_5s_24,0.42818213031011393,0.21584249986244616,0.09090909090909091,0.8181818181818182,0,0,True
5s_cbf_dc2_site59,5,59,group_5s_25,0.6324556635286405,0.1481551704620666,0.09090909090909091,0.8181818181818182,0,0,True
