,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,ims,metadata,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled,ims_scaled
,index,event_id,event_time,station_code,location_code,trt,mag,rjb,vs30,max_usable_T,component,RSD595,PGA,"AvgSA([0, 3])",SA(0.025),SA(0.034),SA(0.046),SA(0.062),SA(0.084),SA(0.114),SA(0.155),SA(0.209),SA(0.284),SA(0.384),SA(0.521),SA(0.705),SA(0.955),SA(1.294),SA(1.753),SA(2.375),SA(3.218),SA(4.359),SA(5.905),SA(8.0),alpha,RSD595,PGA,"AvgSA([0, 3])",SA(0.025),SA(0.034),SA(0.046),SA(0.062),SA(0.084),SA(0.114),SA(0.155),SA(0.209),SA(0.284),SA(0.384),SA(0.521),SA(0.705),SA(0.955),SA(1.294),SA(1.753),SA(2.375),SA(3.218),SA(4.359),SA(5.905),SA(8.0)
21169,22891,IR-2004-0043,2004-05-28 12:38:43,ABY,00,Shallow Default,6.34,79.58,453.372276,8.0,U,24.785,0.0162733618756371,0.0151965418321283,0.016601529051987703,0.01654973577380578,0.016800678107913424,0.019196673912741782,0.02646679093600439,0.0331486320678313,0.03366737237212811,0.048678287629455794,0.03276794013724487,0.03497900510996234,0.03079306311670047,0.035797355218059324,0.025691328599100793,0.020437890507951556,0.013643137497677291,0.008533092594224741,0.005830143331766126,0.0028012306731787233,0.0012873965332198612,0.0007491467889907998,2.555643598215914,24.785,0.041588913098922875,0.038836944848299026,0.042427591442307885,0.04229522628249164,0.0429365454521752,0.04905985679213698,0.0676396848209186,0.08471608933376781,0.08604180467158053,0.12440435415233161,0.08374317643847215,0.089393870481237,0.07869609462365414,0.09148528169609435,0.06565787946395336,0.05223196403768419,0.03486699700551846,0.021807543461414086,0.0148997684825093,0.007158947237035259,0.0032901267084886996,0.0019145521954083457
42531,22962,IR-2004-0043,2004-05-28 12:38:43,SHY,00,Shallow Default,6.34,73.29,437.117585,8.0,V,22.515,0.0175959704383282,0.0200331629435272,0.01764770642201831,0.018003403422816273,0.018660017680643237,0.019031326108477267,0.02123764078268398,0.02686777439252579,0.03497753089800694,0.03408792638972413,0.04080649308330537,0.03331532057590142,0.041248951849081526,0.0358484965373567,0.027044329904547665,0.028459762295583266,0.024544591972064506,0.014444983229481718,0.006947183072199008,0.0039153642215941815,0.0019559704017941323,0.0007402436289500003,1.9386327040706972,22.515,0.034112123751604245,0.038836944848299026,0.034212420821563165,0.034901986660049955,0.03617492053423242,0.03689475119572854,0.04117198497861676,0.05208674612294371,0.06780858530651955,0.06608396891307378,0.07910880202973049,0.06458617001504191,0.07996656706326691,0.06949706777908485,0.05242902241263326,0.05517302593629586,0.04758294870511534,0.028003516898426017,0.013468036304931336,0.007590453128330788,0.003791908189112407,0.001435060508062445
13964,15619,IT-2009-0009,2009-04-06 01:32:40,PTF,00,Shallow Default,6.33,115.16,574.234087,16.0,U,51.445,0.0067150948012232,0.0115517363968039,0.006724464831804202,0.006742304936766297,0.00676839219452031,0.006939951143814804,0.007231523751859451,0.008020811353281638,0.009835905633790264,0.013909236278433873,0.016089910321774665,0.018747717244246617,0.023166000431703866,0.023671341297939394,0.015112932542263731,0.01915891481270011,0.011141588447277936,0.008050178902566665,0.00510042253500374,0.0025567591131723565,0.0015954402781800023,0.0011103771661569002,3.3620006130891555,51.445,0.0225761528386642,0.038836944848299026,0.022607654887222193,0.02266763333104233,0.022755338707605138,0.023332120000314156,0.024312387287320263,0.026965972687205325,0.03306832077108995,0.046762860895696604,0.05409428836635596,0.06302983686917926,0.07788410765421204,0.07958306395631488,0.05080968847266572,0.06441228334642067,0.037458027190535474,0.027064706405906514,0.01714762368969632,0.008595825706006748,0.0053638711933883,0.0037330887133796976
9566,10607,EMSC-20161026_0000095,2016-10-26 19:18:06,CTD,00,Shallow Default,5.9,52.29,407.0,20.0,U,23.59,0.0125405035677879,0.0097604925843843,0.012767482161060101,0.013037732512193255,0.013199659814552041,0.016154373034429223,0.01856181213348524,0.02291802228823595,0.03354885653563159,0.03210151091151456,0.03296753225558633,0.03462669383292448,0.026061516227691796,0.017334846087304828,0.011685367072255058,0.010492243161512519,0.006876932527205857,0.006122076771774632,0.00591262643317838,0.004090899907491878,0.0012066500500222267,0.0006237889908256001,3.9789943501861584,23.59,0.04989859284471741,0.038836944848299026,0.05080173938496071,0.05187706400525535,0.052521371826481845,0.0642781590347935,0.07385734560835466,0.0911906812023313,0.13349071061048406,0.12773173054935574,0.13117762458455795,0.1377794191268324,0.10369862582727055,0.06897525464273255,0.04649600956035425,0.04174857626043767,0.027363275672363525,0.024359708886297175,0.02352630717237811,0.01627766761908726,0.004801253731690286,0.0024820528702033883
12790,14438,IT-1980-0012,1980-11-23 18:34:53,RNR,00,Shallow Default,6.87,29.22,539.0,8.0,U,47.895,0.096048122324159,0.0718417044710609,0.10391437308868497,0.10877697956333932,0.11796580666357004,0.1679617246183262,0.22112772077914158,0.24699766323418107,0.2655981280872526,0.3337252861944202,0.24406244937693441,0.20448825286742064,0.2068144050178389,0.15284946686115256,0.14078238966898288,0.10945902817639347,0.07037257853769695,0.03280418843805189,0.02158943829543768,0.01406380257454177,0.008112257705598796,0.007252701325178301,0.540590526550539,47.895,0.051922705021407695,0.038836944848299026,0.05617512566418136,0.058803804658722814,0.06377119753921841,0.09079851715175759,0.1195395510109167,0.13352459682451864,0.14357983191352536,0.18040872818707093,0.13193784801989122,0.11054441229099869,0.11180190810682997,0.08262897377343961,0.07610562616019861,0.05917251367758682,0.03804274928641275,0.017733633500789575,0.011671045816061026,0.007602758439074361,0.0043854096645833205,0.00392074162829193
24927,3865,EMSC-20140524_0000026,2014-05-24 09:25:01,LIA,00,Shallow Default,6.8,39.54,473.902178,20.0,V,30.395,0.0728737043832823,0.0240412163216152,0.07738970438328228,0.09219014717736818,0.13358238170610104,0.1285488987850347,0.13774291318324916,0.15540381982295318,0.14021430793560194,0.16038530384815322,0.14424919967842892,0.10128105905558438,0.11570101043887726,0.09491604894435161,0.0623206948773395,0.031740663826349096,0.0146759099232103,0.007701049076330487,0.005016964354335164,0.0030671649006900094,0.002923931772342093,0.001885769622833799,1.6154317788564276,30.395,0.11772249790374319,0.038836944848299026,0.12501778781705877,0.14892689344777174,0.2157932245033651,0.20766197623434346,0.22251427926848266,0.251044269097677,0.22650664888953237,0.2590915166978508,0.23302474123514047,0.16361264139462556,0.1869070891087616,0.15333040178819768,0.1006748309852692,0.051274877027082985,0.023707931273588313,0.012440519408437207,0.008104563651382943,0.00495479565156766,0.0047234123042494145,0.003046332176327819
10292,11338,EMSC-20161030_0000029,2016-10-30 06:40:18,CSC,00,Shallow Default,6.5,12.84,698.0,20.0,U,9.14,0.1685142089704383,0.079128492438295,0.18050968399592252,0.18129038571801306,0.22665249095889603,0.3263277259722133,0.33551869942632023,0.34188417745042593,0.427466757903196,0.35829074177745474,0.34425659324677854,0.3657455620890399,0.26211677716150283,0.14775351784052002,0.11550946455852006,0.07379228439784019,0.051234765721213715,0.04349935737212898,0.03622744948384597,0.031029428361811922,0.01622172199246243,0.008860693170234404,0.49080860321690534,9.14,0.08270822352698252,0.038836944848299026,0.0885957058691637,0.088978880990912,0.11124299250316802,0.16016445537537105,0.16467546421858492,0.16779969559640415,0.20980436236812666,0.17585217851734147,0.1689640976796617,0.17951106846170362,0.12864916927835404,0.07251869771168973,0.05669303895829986,0.036217888033488584,0.025146463799774286,0.02134985883264762,0.01778074387927744,0.015229510392879937,0.00796176071289344,0.00434890443841632
10320,11366,EMSC-20161030_0000029,2016-10-30 06:40:18,MCR,00,Shallow Default,6.5,110.33,611.096989,8.0,U,34.4,0.0149670081549439,0.0098896776209349,0.015184097859327205,0.015421002595895152,0.016066049990551022,0.016944802930615885,0.02039894933481985,0.033956722569202076,0.06642833731826939,0.04016296167301028,0.043609792876914126,0.028643823785553673,0.0249541353826434,0.018987042071479623,0.014237338005636266,0.009373341891558438,0.006629284091258544,0.006394809618637078,0.0030392748191323433,0.002389690075713578,0.001636003144985012,0.0006415474006115999,3.927018284811154,34.4,0.05877571469338235,0.038836944848299026,0.05962822993193984,0.06055855916420053,0.06309167207758393,0.06654255094105022,0.08010704702877387,0.13334867042151613,0.26086529527844704,0.15772068486208096,0.17125645402446898,0.11248481975277792,0.09799534592929361,0.07456246138917913,0.05591028667517039,0.036809284997936356,0.02603331984158,0.025112534300274048,0.011935287787298826,0.009384356622358972,0.006424614264364696,0.0025193683727748194
35242,15605,IT-2009-0009,2009-04-06 01:32:40,FMG,00,Shallow Default,6.33,19.26,790.0,8.0,V,22.95,0.0268336065239551,0.0166191120606973,0.027091845056065204,0.028764317466445238,0.031284949986230506,0.03872960678500402,0.04328630987312123,0.04500132860122367,0.04922084637600933,0.05786887480623372,0.054974204155434976,0.05683743552697686,0.04772686920362743,0.04338401084596165,0.0284209822217163,0.020465714942555665,0.01361802494461556,0.007594160791316385,0.0042549663735413626,0.0027843950055698365,0.0014862379122051708,0.0007430224260958002,2.3368844681025345,22.95,0.06270703830900551,0.038836944848299026,0.06331051192375921,0.06721888672290632,0.07310931370818667,0.09050661655159443,0.10115510522397039,0.10516290585217794,0.11502343140295714,0.13523287472125764,0.1284683638371338,0.1328225202897714,0.11153217935311813,0.10138342110991967,0.06641655192214709,0.047826011377872284,0.03182375097930498,0.017746676401500513,0.009943364830627377,0.006506809441578421,0.003473166292937402,0.0017363575669951388
21158,22880,IR-2004-0043,2004-05-28 12:38:43,A6250,00,Shallow Default,6.34,54.91,460.859479,8.0,U,26.8,0.0226975096839959,0.0115781562754357,0.0231941896024464,0.023991650191421885,0.02612328588010144,0.03424341718983687,0.041333799890605157,0.04807481991323517,0.05792374631737302,0.04905580475085921,0.04297981796772479,0.03203748844019081,0.029577125588937585,0.02792692942904531,0.01808510098519689,0.015569654463613946,0.010000347883847903,0.00481035650492213,0.0031954998974512527,0.002780825282369325,0.001571222773656083,0.0006475586136594999,3.3543289556987386,26.8,0.07613491395527996,0.038836944848299026,0.07780094178745257,0.08047588693208162,0.08762609424562026,0.11486368582194173,0.13864716182211423,0.16125876047496707,0.1942952994949125,0.1645493063209108,0.14416844791980019,0.10746427514279565,0.09921140878931145,0.09367610802760193,0.06066337790138171,0.05222574279752437,0.033544456473851625,0.016135518111694083,0.010718757833953086,0.00932780276539055,0.005270398045527884,0.002172124608310193
