lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
34.9,24.28213,1,800,TRUE,150,31.07,0.57
34.9,24.38213,1,800,TRUE,150,31.07,0.57
34.9,24.48213,1,800,TRUE,150,31.07,0.57
34.9,25.78213,1,800,TRUE,150,31.07,0.57
34.9,25.88213,1,800,TRUE,150,31.07,0.57
34.9,25.98213,1,800,TRUE,150,31.07,0.57
34.9,26.08213,1,800,TRUE,150,31.07,0.57
34.9,26.18213,1,800,TRUE,150,31.07,0.57
34.9,26.28213,1,800,TRUE,150,31.07,0.57
34.9,26.38213,1,800,TRUE,150,31.07,0.57
34.9,24.58213,3,800,TRUE,150,31.07,0.57
34.9,24.68213,3,800,TRUE,150,31.07,0.57
34.9,24.78213,3,800,TRUE,150,31.07,0.57
34.9,24.88213,3,800,TRUE,150,31.07,0.57
34.9,24.98213,3,800,TRUE,150,31.07,0.57
34.9,25.08213,3,800,TRUE,150,31.07,0.57
34.9,25.18213,3,800,TRUE,150,31.07,0.57
34.9,25.28213,3,800,TRUE,150,31.07,0.57
34.9,25.38213,3,800,TRUE,150,31.07,0.57
34.9,25.48213,3,800,TRUE,150,31.07,0.57
34.9,25.58213,3,800,TRUE,150,31.07,0.57
34.9,25.68213,3,800,TRUE,150,31.07,0.57
34.9,32.18213,0,800,TRUE,150,31.07,0.57
34.9,32.28213,0,800,TRUE,149.59,31.07,0.57
34.9,32.38213,0,800,TRUE,147.01,31.07,0.57
34.9,32.48213,0,800,TRUE,144.94,31.07,0.57
34.9,32.58213,2,800,TRUE,143.41,31.07,0.57
34.9,32.68213,2,800,TRUE,142.45,31.07,0.57
34.9,32.78213,2,800,TRUE,141.93,31.07,0.57
34.9,32.88213,2,800,TRUE,141.43,31.07,0.57
34.9,32.98213,2,800,TRUE,140.93,31.07,0.57
34.9,33.08213,2,800,TRUE,140.42,31.07,0.57
34.9,33.18213,2,800,TRUE,139.9,31.07,0.57
34.9,33.28213,2,800,TRUE,139.37,31.07,0.57
34.9,33.38213,2,800,TRUE,138.83,31.07,0.57
34.9,33.48213,2,800,TRUE,138.28,31.07,0.57
34.9,33.58213,2,800,TRUE,137.72,31.07,0.57
34.9,33.68213,2,800,TRUE,137.16,31.07,0.57
34.9,33.78213,2,800,TRUE,136.87,31.07,0.57
34.9,33.88213,2,800,TRUE,137.19,31.07,0.57
34.9,33.98213,2,800,TRUE,138.1,31.07,0.57
34.9,34.08213,2,800,TRUE,139.59,31.07,0.57
34.9,34.18213,2,800,TRUE,141.64,31.07,0.57
34.9,34.28213,2,800,TRUE,144.24,31.07,0.57
34.9,34.38213,2,800,TRUE,147.34,31.07,0.57
34.9,32.08213,4,800,TRUE,150,31.07,0.57
35,26.48213,0,800,TRUE,150,31.07,0.57
35,23.48213,1,800,TRUE,150,31.07,0.57
35,23.58213,1,800,TRUE,150,31.07,0.57
35,23.68213,1,800,TRUE,150,31.07,0.57
35,23.78213,1,800,TRUE,150,31.07,0.57
35,23.88213,1,800,TRUE,150,31.07,0.57
35,23.98213,1,800,TRUE,150,31.07,0.57
35,24.08213,1,800,TRUE,150,31.07,0.57
35,24.18213,1,800,TRUE,150,31.07,0.57
35,24.28213,3,800,TRUE,150,31.07,0.57
35,24.38213,3,800,TRUE,150,31.07,0.57
35,24.48213,3,800,TRUE,150,31.07,0.57
35,24.58213,3,800,TRUE,150,31.07,0.57
35,24.68213,3,800,TRUE,150,31.07,0.57
35,24.78213,3,800,TRUE,150,31.07,0.57
35,24.88213,3,800,TRUE,150,31.07,0.57
35,24.98213,3,800,TRUE,150,31.07,0.57
35,25.08213,3,800,TRUE,150,31.07,0.57
35,25.18213,3,800,TRUE,150,31.07,0.57
35,25.28213,3,800,TRUE,150,31.07,0.57
35,25.38213,3,800,TRUE,150,31.07,0.57
35,25.48213,3,800,TRUE,150,31.07,0.57
35,25.58213,3,800,TRUE,150,31.07,0.57
35,25.68213,3,800,TRUE,150,31.07,0.57
35,25.78213,3,800,TRUE,150,31.07,0.57
35,25.88213,3,800,TRUE,150,31.07,0.57
35,25.98213,3,800,TRUE,150,31.07,0.57
35,26.08213,3,800,TRUE,150,31.07,0.57
35,26.18213,3,800,TRUE,150,31.07,0.57
