storeys,group_id,folder,ida_tag,representative_site,representative_tag,n_sites,sites,results_migrated,needs_run
3,18,D:/08_wp1_fixed_record_sets/group_3s_18/3s/mdof,ida_femap695,42,3s_cbf_dc2_site42,2,42 56,False,False
3,19,D:/08_wp1_fixed_record_sets/group_3s_19/3s/mdof,ida_femap695,44,3s_cbf_dc2_site44,3,44 46 49,False,False
3,20,D:/08_wp1_fixed_record_sets/group_3s_20/3s/mdof,ida_femap695,45,3s_cbf_dc2_site45,2,45 52,False,False
3,21,D:/08_wp1_fixed_record_sets/group_3s_21/3s/mdof,ida_femap695,47,3s_cbf_dc2_site47,1,47,False,False
3,22,D:/08_wp1_fixed_record_sets/group_3s_22/3s/mdof,ida_femap695,48,3s_cbf_dc2_site48,2,48 51,False,False
3,23,D:/08_wp1_fixed_record_sets/group_3s_23/3s/mdof,ida_femap695,53,3s_cbf_dc2_site53,1,53,False,False
3,24,D:/08_wp1_fixed_record_sets/group_3s_24/3s/mdof,ida_femap695,55,3s_cbf_dc2_site55,1,55,False,False
5,0,D:/08_wp1_fixed_record_sets/group_5s_00/5s/mdof,ida_femap695,0,5s_cbf_dc2_site0,21,0 1 2 3 4 5 6 8 9 12 13 14 15 16 19 20 22 23 27 28 29,False,False
5,1,D:/08_wp1_fixed_record_sets/group_5s_01/5s/mdof,ida_femap695,7,5s_cbf_dc2_site7,1,7,False,False
5,2,D:/08_wp1_fixed_record_sets/group_5s_02/5s/mdof,ida_femap695,10,5s_cbf_dc2_site10,3,10 18 24,False,False
5,3,D:/08_wp1_fixed_record_sets/group_5s_03/5s/mdof,ida_femap695,11,5s_cbf_dc2_site11,1,11,False,False
5,4,D:/08_wp1_fixed_record_sets/group_5s_04/5s/mdof,ida_femap695,17,5s_cbf_dc2_site17,1,17,False,False
5,5,D:/08_wp1_fixed_record_sets/group_5s_05/5s/mdof,ida_femap695,21,5s_cbf_dc2_site21,1,21,False,True
5,6,D:/08_wp1_fixed_record_sets/group_5s_06/5s/mdof,ida_femap695,25,5s_cbf_dc2_site25,2,25 26,False,True
5,7,D:/08_wp1_fixed_record_sets/group_5s_07/5s/mdof,ida_femap695,30,5s_cbf_dc2_site30,1,30,False,True
5,8,D:/08_wp1_fixed_record_sets/group_5s_08/5s/mdof,ida_femap695,31,5s_cbf_dc2_site31,2,31 43,False,True
5,9,D:/08_wp1_fixed_record_sets/group_5s_09/5s/mdof,ida_femap695,32,5s_cbf_dc2_site32,3,32 35 36,False,True
5,10,D:/08_wp1_fixed_record_sets/group_5s_10/5s/mdof,ida_femap695,33,5s_cbf_dc2_site33,1,33,False,True
5,11,D:/08_wp1_fixed_record_sets/group_5s_11/5s/mdof,ida_femap695,34,5s_cbf_dc2_site34,2,34 53,False,True
5,12,D:/08_wp1_fixed_record_sets/group_5s_12/5s/mdof,ida_femap695,37,5s_cbf_dc2_site37,1,37,False,True
5,13,D:/08_wp1_fixed_record_sets/group_5s_13/5s/mdof,ida_femap695,38,5s_cbf_dc2_site38,1,38,False,True
5,14,D:/08_wp1_fixed_record_sets/group_5s_14/5s/mdof,ida_femap695,39,5s_cbf_dc2_site39,1,39,False,True
5,15,D:/08_wp1_fixed_record_sets/group_5s_15/5s/mdof,ida_femap695,40,5s_cbf_dc2_site40,1,40,False,True
5,16,D:/08_wp1_fixed_record_sets/group_5s_16/5s/mdof,ida_femap695,41,5s_cbf_dc2_site41,5,41 47 54 55 57,False,True
5,17,D:/08_wp1_fixed_record_sets/group_5s_17/5s/mdof,ida_femap695,42,5s_cbf_dc2_site42,2,42 56,False,True
5,18,D:/08_wp1_fixed_record_sets/group_5s_18/5s/mdof,ida_femap695,44,5s_cbf_dc2_site44,2,44 46,False,True
5,19,D:/08_wp1_fixed_record_sets/group_5s_19/5s/mdof,ida_femap695,45,5s_cbf_dc2_site45,2,45 52,False,True
5,20,D:/08_wp1_fixed_record_sets/group_5s_20/5s/mdof,ida_femap695,48,5s_cbf_dc2_site48,1,48,False,True
5,21,D:/08_wp1_fixed_record_sets/group_5s_21/5s/mdof,ida_femap695,49,5s_cbf_dc2_site49,1,49,False,True
5,22,D:/08_wp1_fixed_record_sets/group_5s_22/5s/mdof,ida_femap695,50,5s_cbf_dc2_site50,1,50,False,True
5,23,D:/08_wp1_fixed_record_sets/group_5s_23/5s/mdof,ida_femap695,51,5s_cbf_dc2_site51,1,51,False,True
5,24,D:/08_wp1_fixed_record_sets/group_5s_24/5s/mdof,ida_femap695,58,5s_cbf_dc2_site58,1,58,False,True
5,25,D:/08_wp1_fixed_record_sets/group_5s_25/5s/mdof,ida_femap695,59,5s_cbf_dc2_site59,1,59,False,True
