site_id,seismicity,region,k0,k1,k2,r2,n_points,rtp_low,rtp_high
47,high,3,1.1399212440922942e-05,2.7157747364303297,0.18759530198304314,0.9994390290436307,12,10.0,10000.0
48,high,3,1.3243423190609288e-06,4.135203583898739,0.35167621774220575,0.9998276617701843,8,10.0,10000.0
49,high,3,6.267348800115751e-06,3.0659686354339604,0.20987691432213365,0.999190292420717,9,10.0,10000.0
50,high,4,1.0884885521413349e-06,3.4945885246152324,0.24809129178104966,0.9999940787189092,10,10.0,10000.0
51,high,4,4.809032673905407e-06,3.2658374254141034,0.2355939838796515,0.9993435585471592,10,10.0,10000.0
52,high,4,7.618983223561255e-06,3.9330612502912077,0.40745631165988383,0.9989200323243478,9,10.0,10000.0
53,high,4,4.786595813930201e-06,3.511717903358862,0.28539748356791916,0.999914658331986,10,10.0,10000.0
54,high,4,2.9912664185395257e-06,3.6519961442143303,0.2992212229489666,0.999562697553193,9,10.0,10000.0
55,high,5,2.5051840406798467e-06,4.037354287730788,0.3807135035905968,0.9989977113189012,9,10.0,10000.0
56,high,5,1.7440908693893859e-06,4.354320420892786,0.4356143428881695,0.9986435900065513,10,10.0,10000.0
57,high,5,1.775346349362157e-06,4.212589133938722,0.4035455423913419,0.9989720019059555,9,10.0,10000.0
58,high,5,1.1982831504865972e-06,4.162572476273947,0.37942419196618715,0.9986055390720355,10,10.0,10000.0
59,high,5,5.84731294777353e-06,4.040874386419727,0.4206226182457289,0.9989633741810365,9,10.0,10000.0
