group,stripe_iml,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,3,4,5,6,7,8,9
group_3s_08,0.456,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
group_3s_09,0.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_3s_09,0.347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_3s_09,0.361,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_3s_09,0.413,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
group_3s_09,0.45,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0
group_3s_09,0.515,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0
group_3s_09,0.575,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_10,0.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_3s_10,0.365,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
group_3s_10,0.432,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
group_3s_10,0.482,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
group_3s_10,0.571,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0
group_3s_10,0.681,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
group_3s_11,0.603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_3s_11,0.739,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
group_3s_11,0.843,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0
group_3s_11,1.032,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
group_3s_12,0.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
group_3s_12,0.428,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0
group_3s_12,0.467,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0
group_3s_12,0.534,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0
group_3s_12,0.563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
group_3s_13,0.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_3s_13,0.414,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
group_3s_13,0.453,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0
group_3s_13,0.521,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0
group_3s_13,0.538,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0
group_3s_14,0.363,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
group_3s_14,0.43,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
group_3s_14,0.48,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0
group_3s_14,0.569,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0
group_3s_14,0.649,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
group_3s_15,0.625,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
group_3s_15,0.807,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
group_3s_15,0.951,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1
group_3s_15,1.227,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
group_3s_16,0.337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_3s_16,0.361,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
group_3s_16,0.426,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
group_3s_16,0.474,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
group_3s_16,0.56,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0
group_3s_16,0.611,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
group_3s_16,0.666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_3s_17,0.465,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
group_3s_17,0.555,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
group_3s_17,0.622,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
group_3s_17,0.742,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0
group_3s_18,0.435,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
group_3s_18,0.522,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
group_3s_18,0.587,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0
group_3s_18,0.704,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0
group_3s_18,0.763,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
