Group ID,RSN ID,Status
13,4007291,downloaded
13,4018428,downloaded
13,4019978,downloaded
13,4022895,downloaded
13,4024611,downloaded
13,4025866,downloaded
13,4025907,downloaded
13,4040832,downloaded
13,6000337,downloaded
13,6001533,downloaded
13,6002789,downloaded
13,7001766,downloaded
13,7001823,downloaded
13,7004704,downloaded
13,7004887,downloaded
13,7004993,downloaded
13,7006176,downloaded
13,7006207,downloaded
13,7006388,downloaded
13,7006428,downloaded
13,7006508,downloaded
13,7006556,downloaded
13,7006650,downloaded
13,7006692,downloaded
13,7006707,downloaded
13,7006725,downloaded
13,7008187,downloaded
14,1002811,downloaded
14,3001293,downloaded
14,3001425,downloaded
14,4007226,downloaded
14,4007346,downloaded
14,4016832,downloaded
14,4017093,downloaded
14,4017124,downloaded
14,4021941,downloaded
14,4022475,downloaded
14,4026050,downloaded
14,4028619,downloaded
14,4031842,downloaded
14,4032889,downloaded
14,4039181,downloaded
14,6001357,downloaded
14,6002252,downloaded
14,7001204,downloaded
14,7001214,downloaded
14,7001969,downloaded
14,7004859,downloaded
14,7006067,downloaded
14,7006116,downloaded
14,7006220,downloaded
14,7006235,downloaded
14,7006414,downloaded
14,7006415,downloaded
14,7006649,downloaded
14,7007980,downloaded
14,7010257,downloaded
15,2000077,downloaded
15,3000105,downloaded
15,3001440,downloaded
15,3001571,downloaded
15,4002293,downloaded
15,4002647,downloaded
15,4003168,downloaded
15,4010300,downloaded
15,4016522,downloaded
15,4016784,downloaded
15,4021887,downloaded
15,4021926,downloaded
15,4022446,downloaded
15,4022944,downloaded
15,4028700,downloaded
15,4031806,downloaded
15,4031873,downloaded
15,4033722,downloaded
15,4038484,downloaded
15,6001683,downloaded
15,6004271,downloaded
15,6005778,downloaded
15,7001821,downloaded
15,7004685,downloaded
15,7004723,downloaded
15,7004848,downloaded
15,7004855,downloaded
15,7004988,downloaded
15,7006372,downloaded
15,7006696,downloaded
16,2000013,downloaded
16,2000897,downloaded
16,3000383,downloaded
16,3000402,downloaded
16,4001996,downloaded
16,4003218,downloaded
16,4007264,downloaded
16,4009590,downloaded
16,4016138,downloaded
16,4016816,downloaded
16,4018344,downloaded
16,4028515,downloaded
16,4031296,downloaded
16,4035231,downloaded
16,4039197,downloaded
16,6002907,downloaded
16,7000400,downloaded
16,7001185,downloaded
16,7001206,downloaded
16,7004711,downloaded
16,7004942,downloaded
16,7005106,downloaded
16,7005247,downloaded
16,7006240,downloaded
16,7006408,downloaded
16,7006416,downloaded
16,7006643,downloaded
16,7006703,downloaded
16,7006736,downloaded
16,7008177,downloaded
17,2000049,downloaded
17,3000185,downloaded
17,3001301,downloaded
17,3001577,downloaded
17,4007547,downloaded
17,4016778,downloaded
17,4016788,downloaded
17,4016826,downloaded
17,4021854,downloaded
17,4022649,downloaded
17,4025965,downloaded
17,4027469,downloaded
17,5000221,downloaded
17,6000991,downloaded
17,6001143,downloaded
17,6001713,downloaded
17,6001718,downloaded
17,6001726,downloaded
17,6003303,downloaded
17,7001032,downloaded
17,7005978,downloaded
17,7006264,downloaded
17,7006404,downloaded
17,7006604,downloaded
17,7006710,downloaded
17,7007090,downloaded
17,7010062,downloaded
17,7010130,downloaded
17,7010181,downloaded
17,7011548,downloaded
18,1002975,downloaded
18,2000079,downloaded
18,2000091,downloaded
18,2001635,downloaded
18,3000101,downloaded
18,3001006,downloaded
18,3001303,downloaded
18,3001304,downloaded
18,4016792,downloaded
18,4021855,downloaded
18,4022450,downloaded
18,4026049,downloaded
18,4026936,downloaded
18,4028061,downloaded
18,4028079,downloaded
18,4028417,downloaded
18,4031757,downloaded
18,4031949,downloaded
18,4032477,downloaded
18,5001511,downloaded
18,6001146,downloaded
18,6001684,downloaded
18,6001715,downloaded
18,6001717,downloaded
18,7001223,downloaded
18,7005939,downloaded
18,7005966,downloaded
18,7006085,downloaded
18,7006261,downloaded
18,7006384,downloaded
19,1002853,downloaded
19,1002911,downloaded
19,2000007,downloaded
19,2000008,downloaded
19,2000009,downloaded
19,2000902,downloaded
19,2000903,downloaded
19,2001631,downloaded
19,2002142,downloaded
19,3001289,downloaded
19,3001308,downloaded
19,3001493,downloaded
19,4017129,downloaded
19,4017176,downloaded
19,4028050,downloaded
19,4028053,downloaded
19,4028087,downloaded
19,4033501,downloaded
19,6001527,downloaded
19,6001541,downloaded
19,6001571,downloaded
19,6001714,downloaded
19,7001145,downloaded
19,7001265,downloaded
19,7006029,downloaded
19,7006055,downloaded
19,7006265,downloaded
19,7006712,downloaded
19,7010122,downloaded
19,7010254,downloaded
20,1002495,downloaded
20,1002962,downloaded
20,3000098,downloaded
20,3001576,downloaded
20,4008135,downloaded
20,4009582,downloaded
20,4016893,downloaded
20,4017125,downloaded
20,4019898,downloaded
20,4022717,downloaded
20,4022750,downloaded
20,4025853,downloaded
20,4028139,downloaded
20,4028259,downloaded
20,4031675,downloaded
20,4034571,downloaded
20,4036713,downloaded
20,5001492,downloaded
20,5003374,downloaded
20,5003378,downloaded
20,6001452,downloaded
20,7001248,downloaded
20,7005088,downloaded
20,7006160,downloaded
20,7006411,downloaded
20,7006607,downloaded
20,7006610,downloaded
20,7006828,downloaded
20,7006845,downloaded
20,7007153,downloaded
21,1002801,downloaded
21,1002947,downloaded
21,1002973,downloaded
21,3001041,downloaded
21,4016998,downloaded
21,4022483,downloaded
21,4022553,downloaded
21,4027497,downloaded
21,4027598,downloaded
21,4028406,downloaded
21,4031958,downloaded
21,5001498,downloaded
21,5001503,downloaded
21,5003317,downloaded
21,6001138,downloaded
21,6001151,downloaded
21,6001570,downloaded
21,7001149,downloaded
21,7001163,downloaded
21,7005081,downloaded
21,7005087,downloaded
21,7005378,downloaded
21,7006044,downloaded
21,7006588,downloaded
21,7006637,downloaded
21,7006724,downloaded
21,7006894,downloaded
21,7006977,downloaded
21,7010125,downloaded
21,7010144,downloaded
22,1001764,downloaded
22,2000036,downloaded
22,3000106,downloaded
22,4007215,downloaded
22,4007553,downloaded
22,4016793,downloaded
22,4017130,downloaded
22,4019344,downloaded
22,4019892,downloaded
22,4026009,downloaded
22,4027434,downloaded
22,4027572,downloaded
22,4028076,downloaded
22,4028257,downloaded
22,4031962,downloaded
22,5001487,downloaded
22,6001150,downloaded
22,6001513,downloaded
22,7001018,downloaded
22,7001240,downloaded
22,7005101,downloaded
22,7005849,downloaded
22,7005867,downloaded
22,7005930,downloaded
22,7006246,downloaded
22,7006695,downloaded
22,7006738,downloaded
22,7007026,downloaded
22,7007100,downloaded
22,7010982,downloaded
23,1002199,downloaded
23,2000065,downloaded
23,2000074,downloaded
23,4007252,downloaded
23,4007430,downloaded
23,4021845,downloaded
23,4025966,downloaded
23,4028366,downloaded
23,4031678,downloaded
23,4031813,downloaded
23,4031889,downloaded
23,4031989,downloaded
23,6001550,downloaded
23,6001699,downloaded
23,6003500,downloaded
23,7001143,downloaded
23,7005343,downloaded
23,7006196,downloaded
23,7006271,downloaded
23,7006357,downloaded
23,7006597,downloaded
23,7006746,downloaded
23,7006994,downloaded
23,7010143,downloaded
23,7010281,downloaded
23,7010432,downloaded
23,7011021,downloaded
23,7011247,downloaded
23,7011575,downloaded
23,7011600,downloaded
24,1002829,downloaded
24,1002920,downloaded
24,2000060,downloaded
24,2000071,downloaded
24,2000082,downloaded
24,4016794,downloaded
24,4019338,downloaded
24,4022437,downloaded
24,4022453,downloaded
24,4027326,downloaded
24,4027494,downloaded
24,4027607,downloaded
24,4033503,downloaded
24,5003375,downloaded
24,6001003,downloaded
24,6001561,downloaded
24,6001723,downloaded
24,7001191,downloaded
24,7001196,downloaded
24,7001205,downloaded
24,7005894,downloaded
24,7006254,downloaded
24,7006255,downloaded
24,7006266,downloaded
24,7006293,downloaded
24,7006870,downloaded
24,7006897,downloaded
24,7007008,downloaded
24,7010197,downloaded
24,7010488,downloaded
25,1002197,downloaded
25,2000025,downloaded
25,3000001,downloaded
25,4007255,downloaded
25,4009619,downloaded
25,4016796,downloaded
25,4016827,downloaded
25,4017073,downloaded
25,4019453,downloaded
25,4034479,downloaded
25,4036733,downloaded
25,5001499,downloaded
25,5003342,downloaded
25,6001509,downloaded
25,7000078,downloaded
25,7001186,downloaded
25,7005075,downloaded
25,7005387,downloaded
25,7006215,downloaded
25,7006221,downloaded
25,7006224,downloaded
25,7006542,downloaded
25,7006860,downloaded
25,7007063,downloaded
25,7007132,downloaded
25,7010167,downloaded
25,7010340,downloaded
25,7010448,downloaded
25,7011016,downloaded
25,7011559,downloaded
26,2000014,downloaded
26,2000018,downloaded
26,3001294,downloaded
26,3001435,downloaded
26,4007473,downloaded
26,4017013,downloaded
26,4017058,downloaded
26,4017137,downloaded
26,4031932,downloaded
26,4032458,downloaded
26,4033574,downloaded
26,4038619,downloaded
26,4040456,downloaded
26,5003349,downloaded
26,5003389,downloaded
26,5004001,downloaded
26,6001716,downloaded
26,7001150,downloaded
26,7001158,downloaded
26,7005123,downloaded
26,7006143,downloaded
26,7006245,downloaded
26,7006310,downloaded
26,7006735,downloaded
26,7007034,downloaded
26,7010141,downloaded
26,7010262,downloaded
26,7011015,downloaded
26,7011558,downloaded
26,7011570,downloaded
27,1002817,downloaded
27,3000100,downloaded
27,4007205,downloaded
27,4016813,downloaded
27,4016883,downloaded
27,4017100,downloaded
27,4017169,downloaded
27,4019736,downloaded
27,4025870,downloaded
27,4031881,downloaded
27,4032032,downloaded
27,4033472,downloaded
27,6001152,downloaded
27,6001562,downloaded
27,6001703,downloaded
27,6002956,downloaded
27,7004084,downloaded
27,7005288,downloaded
27,7005877,downloaded
27,7005980,downloaded
27,7006045,downloaded
27,7006161,downloaded
27,7006297,downloaded
27,7006312,downloaded
27,7006341,downloaded
27,7006951,downloaded
27,7010137,downloaded
27,7010174,downloaded
27,7010278,downloaded
27,7010495,downloaded
28,1002822,downloaded
28,2000043,downloaded
28,2000904,downloaded
28,4007350,downloaded
28,4010102,downloaded
28,4019805,downloaded
28,4027316,downloaded
28,4027443,downloaded
28,4028290,downloaded
28,4031755,downloaded
28,4031815,downloaded
28,4036714,downloaded
28,5003993,downloaded
28,5003994,downloaded
28,5003996,downloaded
28,6001546,downloaded
28,7001203,downloaded
28,7005903,downloaded
28,7006042,downloaded
28,7006231,downloaded
28,7006250,downloaded
28,7006276,downloaded
28,7006412,downloaded
28,7006417,downloaded
28,7006685,downloaded
28,7006693,downloaded
28,7006706,downloaded
28,7007049,downloaded
28,7010072,downloaded
28,7010383,downloaded
29,2000032,downloaded
29,3001309,downloaded
29,4016867,downloaded
29,4020014,downloaded
29,4024598,downloaded
29,4025211,downloaded
29,4025959,downloaded
29,4025962,downloaded
29,4028058,downloaded
29,4028255,downloaded
29,6001156,downloaded
29,6001440,downloaded
29,6001526,downloaded
29,6003673,downloaded
29,6006431,downloaded
29,7001147,downloaded
29,7001172,downloaded
29,7001971,downloaded
29,7005105,downloaded
29,7006379,downloaded
29,7006398,downloaded
29,7006713,downloaded
29,7006715,downloaded
29,7008076,downloaded
29,7008439,downloaded
29,7008443,downloaded
29,7010165,downloaded
29,7010397,downloaded
29,7010447,downloaded
29,7010473,downloaded
30,2001567,downloaded
30,4002269,downloaded
30,4007087,downloaded
30,4008080,downloaded
30,4008559,downloaded
30,4010238,downloaded
30,4017021,downloaded
30,4021849,downloaded
30,4021946,downloaded
30,4023189,downloaded
30,4024775,downloaded
30,4025446,downloaded
30,4025980,downloaded
30,4025986,downloaded
30,4028335,downloaded
30,4028580,downloaded
30,4028835,downloaded
30,4029212,downloaded
30,4030675,downloaded
30,4031874,downloaded
30,4032381,downloaded
30,4040035,downloaded
30,4040066,downloaded
30,4040652,downloaded
30,6002239,downloaded
30,6004041,downloaded
30,6004534,downloaded
30,7006258,downloaded
30,7006546,downloaded
30,7008069,downloaded
31,1002907,downloaded
31,2001637,downloaded
31,3000416,downloaded
31,3001295,downloaded
31,3001305,downloaded
31,3001757,downloaded
31,4001986,downloaded
31,4007231,downloaded
31,4007429,downloaded
31,4017771,downloaded
31,4021942,downloaded
31,4022454,downloaded
31,4026908,downloaded
31,4027488,downloaded
31,4027499,downloaded
31,4028247,downloaded
31,4028338,downloaded
31,4028510,downloaded
