metadata,metadata,metadata
event_id,station_code,location_code
IT-2012-0011,BGN,0
EMSC-20161101_0000060,ATLO,0
EMSC-20161030_0000029,SSM1,0
IT-2003-0019,LARI,0
IT-2009-0121,RM07,0
EMSC-20130109_0000093,PRK,0
EMSC-20160824_0000013,MCT,0
GR-1995-0028,CHR1,0
GR-2016-0006,KASA,0
EMSC-20160826_0000013,AQU,0
EMSC-20161026_0000095,MMUR,0
IT-2013-0009,AUL,0
GR-1995-0033,KRR1,0
IT-2009-0121,RM04,0
EMSC-20161026_0000077,SPD,0
TK-2003-0003,1201,0
IT-1997-0137,AQV,0
IT-2009-0121,RM13,0
EMSC-20161026_0000095,APEC,0
IT-2012-0061,ORS,0
EMSC-20161026_0000095,PIEI,0
TK-2001-0164,4604,0
IT-1997-0208,SELW,0
EMSC-20160824_0000006,LSS,0
EMSC-20161030_0000029,GNU,0
IT-2009-0140,AQV,0
IT-2012-0004,SEL,0
IT-2013-0019,TLS,0
EMSC-20161030_0000029,SNI,0
IT-2012-0061,LRS,0
IT-2009-0140,RM03,0
IT-2009-0102,FMG,0
EMSC-20161026_0000095,CMI,0
EMSC-20161030_0000029,SNO,0
TK-2004-0089,2301,0
IT-2009-0174,LSS,0
IT-2012-0061,0LAI,0
AM-1990-0013,SBGD,0
IT-2012-0061,PRA,0
EMSC-20161030_0000029,NRC,0
IT-2009-0102,ANT,0
EMSC-20160824_0000006,PVF,0
IT-2012-0011,LSP,0
IT-2012-0010,BRM,0
IT-2009-0009,VIE,0
TK-1999-0077,ZYT,0
EMSC-20161026_0000095,MNF,0
IT-2012-0011,RST,0
TK-2000-0449,1604,0
EMSC-20160824_0000013,CERA,0
TK-2005-0032,2406,0
EMSC-20140126_0000046,JAN,0
SI-1998-0010,PRAD,0
EMSC-20160824_0000006,BDI,0
EMSC-20161030_0000029,NRN,0
IT-2012-0010,LEC,0
IT-2012-0008,PRAD,0
EMSC-20160824_0000013,GBC,0
IT-2012-0011,LEC,0
EMSC-20161030_0000029,CLN,0
IT-2012-0008,PRM,0
EMSC-20160824_0000006,CIMA,0
EMSC-20160824_0000006,MNTP,0
TK-1996-0032,0502,0
IT-2013-0019,SGMA,0
EMSC-20160824_0000013,IMOL,0
EMSC-20160824_0000006,APEC,0
EMSC-20161026_0000095,AQA,0
EMSC-20160824_0000006,TRV,0
EMSC-20161026_0000095,PRG,0
TK-1998-0063,4603,0
EMSC-20161030_0000029,CERA,0
IT-2012-0011,BBN,0
IT-2013-0010,RNI2,0
EMSC-20130108_0000044,KVLA,0
IT-2002-0047,SCV,0
EMSC-20161026_0000095,TRN1,0
EMSC-20161030_0000029,ATPC,0
EMSC-20161026_0000095,TRE1,0
EMSC-20161026_0000077,CLO,0
EMSC-20160824_0000013,CSS,0
EMSC-20160824_0000006,GRN,0
IT-2009-0009,PDM,0
IT-2013-0019,CMB,0
IT-2012-0008,FGV,0
TK-2003-0179,5902,0
IT-2012-0011,RNC,0
IT-2013-0019,SCV,0
EMSC-20161030_0000029,MCS,0
EMSC-20161030_0000029,TER,0
IT-2012-0008,CSP,0
EMSC-20160824_0000006,BSSO,0
IT-2009-0009,VRP,0
EMSC-20160824_0000006,GRD,0
EMSC-20161026_0000095,CLN,0
IT-2012-0008,VLC,0
EMSC-20161030_0000029,GRN,0
IT-1980-0012,BGI,0
EMSC-20160824_0000006,MOCO,0
IT-2012-0008,MRR,0
GR-2016-0001,TPE,0
EMSC-20160824_0000006,POFI,0
EMSC-20160824_0000006,SDM,0
IT-1997-0006,AQG,0
IT-2009-0102,AQU,0
EMSC-20160824_0000013,RNI2,0
TK-1999-0294,5902,0
EMSC-20161026_0000077,CMB,0
EMSC-20161030_0000029,GBC,0
EMSC-20140524_0000026,EFSA,0
EMSC-20160824_0000006,CPS,0
EMSC-20161026_0000095,NRN,0
IT-2009-0009,SNM,0
EMSC-20160824_0000006,CSS,0
TK-1998-0063,3102,0
TK-2007-0018,1201,0
IT-1976-0030,CRD,0
EMSC-20141122_0000066,ODBI,0
IT-2012-0008,SNM,0
EMSC-20160824_0000006,FIE,0
EMSC-20161030_0000029,POFI,0
EMSC-20160824_0000006,BGR,0
EMSC-20161030_0000029,0REN,0
IT-2009-0121,CHT,0
IT-2009-0105,RM03,0
IT-2012-0011,ZOVE,0
EMSC-20160824_0000013,CSD,0
GR-2016-0006,JAN,0
IT-2012-0006,ZEN8,0
IT-2011-0110,LPR,0
EMSC-20161103_0000003,FOPC,0
IT-2009-0174,AQM,0
IT-2012-0055,CSG,0
EMSC-20161030_0000135,NRN,0
EMSC-20161030_0000135,MMO1,0
IT-2003-0048,PST,0
EMSC-20121114_0000067,DEMR,0
IT-2013-0019,DUR,0
EMSC-20161103_0000003,CTD,0
EMSC-20161026_0000095,RM33,0
EMSC-20140212_0000023,AC01,0
IT-2013-0005,PNM,0
IT-2009-0095,CSO1,0
EMSC-20161026_0000077,RM33,0
IT-2012-0061,ACR,0
EMSC-20120727_0000052,BLY,0
EMSC-20161101_0000060,RM33,0
EMSC-20161103_0000003,TRN1,0
IT-2009-0121,AQG,0
IT-2009-0174,AQK,0
EMSC-20161026_0000077,TRE1,0
ME-1979-0012,PET,0
EMSC-20160824_0000006,TRE1,0
TK-1992-0002,2403,0
EMSC-20160824_0000006,SNO,0
IT-2009-0121,MI05,0
IT-2009-0121,AQM,0
EMSC-20161026_0000095,AMT,0
IT-1997-0091,NCR2,0
TK-2005-0054,1208,0
IT-2009-0121,FMG,0
EMSC-20161030_0000029,PZI1,0
IT-1976-0030,FRC,0
IT-1997-0137,CESM,0
EMSC-20161026_0000095,MDAR,0
EMSC-20161026_0000095,RNI2,0
EMSC-20161026_0000077,MCT,0
EMSC-20140711_0000028,KYMI,0
IT-2009-0009,SPC,0
EMSC-20140904_0000066,KVLA,0
EMSC-20130108_0000044,SMTH,0
EMSC-20161026_0000095,0CAN,0
IT-2012-0011,PVF,0
EMSC-20110511_0000054,CART,0
TK-2007-0018,4401,0
EMSC-20161103_0000003,T1244,0
EMSC-20160824_0000013,PRG,0
EMSC-20161030_0000029,AQA,0
EMSC-20130125_0000039,CRMI,0
IT-2013-0019,ISR,0
IT-2013-0019,PDM,0
EMSC-20160826_0000013,AQG,0
EMSC-20160824_0000006,PCB,0
IT-2013-0019,VSE,0
IT-2009-0140,MMP,0
EMSC-20160824_0000006,FOSV,0
EMSC-20161026_0000077,TLN,0
TK-2005-0030,2406,0
TK-2006-0107,1603,0
IT-2009-0102,ORC,0
IT-2009-0102,RM02,0
IT-2009-0102,RM05,0
IT-2009-0174,FMG,0
IT-2013-0019,GSN,0
EMSC-20161026_0000095,GBB,0
EMSC-20160824_0000006,GSA,0
TK-2005-0036,1208,0
IT-2013-0019,MCN,0
IT-1976-0027,SRC0,0
