record_identifier,component,database
EMSC-20161030_0000029_NRC_0,U,ESM
EMSC-20161030_0000029_SPD_0,V,ESM
GR-1999-0001_ATH3_0,V,ESM
7004709,H1,NGASub
7001981,H1,NGASub
7007993,H2,NGASub
AM-1988-0001_GUK_0,U,ESM
IT-1976-0025_GMN_0,U,ESM
EMSC-20161026_0000095_TLN_0,U,ESM
EMSC-20161030_0000029_CIT_0,U,ESM
EMSC-20160824_0000006_SPD_0,V,ESM
EMSC-20161030_0000029_NRC_0,V,ESM
IT-2013-0005_NEVI_0,V,ESM
EMSC-20161026_0000095_MDAR_0,U,ESM
IT-2009-0102_GSA_0,V,ESM
IT-2012-0061_0MOR_0,V,ESM
IT-2012-0061_LTR_0,U,ESM
EMSC-20161030_0000029_MSCT_0,U,ESM
TK-2005-0030_1208_0,U,ESM
EMSC-20161030_0000029_T1201_0,V,ESM
EMSC-20160824_0000013_NRC_0,U,ESM
EMSC-20161030_0000029_AQU_0,V,ESM
IT-1976-0002_TLM1_0,V,ESM
IT-2013-0005_VLM_0,V,ESM
EMSC-20160824_0000006_RM33_0,V,ESM
5001020,H1,NGASub
7007997,H1,NGASub
4029003,H1,NGASub
7001738,H2,NGASub
7004722,H2,NGASub
6002700,H1,NGASub
EMSC-20120610_0000062_KSL_0,U,ESM
IT-2009-0102_CLN_0,U,ESM
IT-1976-0030_CRD_0,V,ESM
IT-2009-0102_AQU_0,U,ESM
GR-1995-0047_PYR1_0,V,ESM
IT-1976-0030_SRC0_0,U,ESM
EMSC-20161026_0000095_T1201_0,U,ESM
GR-1990-0014_ABS1_0,U,ESM
ME-1979-0012_PET_0,V,ESM
EMSC-20161030_0000029_LSS_0,V,ESM
EMSC-20141122_0000066_ODBI_0,U,ESM
TK-1983-0001_1012_0,V,ESM
IT-1976-0002_CST_0,V,ESM
GR-1986-0011_KALA_0,U,ESM
GR-1999-0001_ATH3_0,U,ESM
6001395,H2,NGASub
4018055,H1,NGASub
7004699,H1,NGASub
7001738,H1,NGASub
7008018,H2,NGASub
4022854,H1,NGASub
EMSC-20160824_0000006_BZZ_0,V,ESM
GE-1991-0003_SAMB_0,V,ESM
7008019,H1,NGASub
EMSC-20160824_0000013_SPD_0,U,ESM
EMSC-20161030_0000029_BZZ_0,V,ESM
TK-2004-0071_4802_0,U,ESM
3000052,H2,NGASub
EMSC-20161030_0000029_T1201_0,U,ESM
GR-1995-0047_AIGA_0,V,ESM
IT-1978-0004_PTT1_0,U,ESM
GR-1995-0017_VER1_0,U,ESM
IT-2012-0008_STS_0,V,ESM
IT-1976-0027_SRC0_0,V,ESM
IT-1976-0030_CRD_0,U,ESM
EMSC-20160824_0000006_ANT_0,V,ESM
IT-1979-0009_CSC_0,U,ESM
TK-2003-0003_1201_0,V,ESM
IT-1976-0030_TRC_0,U,ESM
7006490,H2,NGASub
7007973,H2,NGASub
IT-2009-0121_AQG_0,U,ESM
EMSC-20141122_0000066_BISRR_0,V,ESM
TK-2005-0032_2406_0,V,ESM
TK-1998-0063_3102_0,U,ESM
IT-1976-0025_SMT_0,V,ESM
IT-2009-0121_AQA_0,V,ESM
EMSC-20161026_0000095_TRE1_0,U,ESM
7001732,H2,NGASub
7008004,H1,NGASub
EMSC-20161026_0000077_T1214_0,V,ESM
IT-1997-0137_CLC_0,U,ESM
EMSC-20160824_0000006_MTR_0,U,ESM
IT-1980-0012_BGI_0,V,ESM
IT-1997-0137_CESM_0,U,ESM
IT-1980-0012_CLT_0,V,ESM
IT-2012-0011_MIR06_0,V,ESM
EMSC-20161026_0000095_PRE_0,V,ESM
EMSC-20161026_0000095_NOR_0,V,ESM
EMSC-20161026_0000095_CLO_0,U,ESM
IT-2009-0121_AQU_0,V,ESM
EMSC-20160824_0000006_MSC_0,U,ESM
EMSC-20161026_0000095_SLO_0,U,ESM
TK-2003-0038_1201_0,V,ESM
IT-1997-0137_NRC_0,V,ESM
IT-1980-0012_CLT_0,U,ESM
EMSC-20161026_0000095_PRE_0,U,ESM
IT-2009-0121_PCB_0,U,ESM
IT-2009-0121_AQM_0,V,ESM
IT-2009-0121_AQK_0,V,ESM
IT-2009-0102_AQU_0,V,ESM
IT-2009-0121_AQP_0,U,ESM
EMSC-20161030_0000029_CSC_0,U,ESM
EMSC-20160824_0000006_FEMA_0,U,ESM
EMSC-20161030_0000029_T1299_0,V,ESM
IT-2009-0121_MTR_0,U,ESM
