record_identifier,component,database
EMSC-20160824_0000006_PTL_0,V,ESM
EMSC-20160824_0000006_FMG_0,V,ESM
IT-2012-0010_VLM_0,U,ESM
EMSC-20161030_0000029_AQG_0,V,ESM
EMSC-20161030_0000029_PSC_0,U,ESM
IT-2009-0009_STN_0,V,ESM
IT-2012-0008_CERA_0,U,ESM
IT-2012-0008_SCOU_0,V,ESM
EMSC-20151117_0000025_KYMI_0,U,ESM
IT-2012-0011_BBN_0,V,ESM
IT-2009-0009_CHT_0,U,ESM
TK-1999-0415_ARC_0,U,ESM
EMSC-20161030_0000029_AQU_0,U,ESM
IT-2009-0009_BBN_0,U,ESM
TK-1999-0294_5902_0,V,ESM
TK-2005-0036_2406_0,U,ESM
IT-1997-0137_AQP_0,U,ESM
EMSC-20160824_0000006_MCEL_0,V,ESM
EMSC-20151117_0000025_CELI_0,U,ESM
IT-1976-0025_SMT_0,U,ESM
EMSC-20161026_0000095_BSSO_0,V,ESM
TK-2002-0008_5401_0,U,ESM
EMSC-20161026_0000095_AQU_0,V,ESM
EMSC-20160824_0000006_VLL_0,U,ESM
EMSC-20161030_0000029_POFI_0,V,ESM
TK-2004-0089_2301_0,V,ESM
EMSC-20160824_0000006_SSC_0,U,ESM
IT-2009-0009_AQU_0,U,ESM
6001718,H2,NGASub
7001542,H1,NGASub
7006170,H2,NGASub
7006542,H2,NGASub
5003323,H2,NGASub
7001046,H2,NGASub
2000004,H1,NGASub
7006413,H1,NGASub
4025961,H1,NGASub
7001032,H2,NGASub
7007119,H1,NGASub
7006351,H1,NGASub
7004720,H1,NGASub
7010673,H2,NGASub
7004957,H1,NGASub
7008189,H2,NGASub
EMSC-20161026_0000077_SLO_0,V,ESM
IT-2009-0102_RM02_0,V,ESM
7006256,H1,NGASub
EMSC-20161227_0000104_VOIR_0,U,ESM
4031821,H2,NGASub
2001635,H2,NGASub
7010492,H1,NGASub
4037245,H2,NGASub
7006231,H2,NGASub
7002763,H2,NGASub
7001204,H2,NGASub
4022757,H1,NGASub
4025882,H1,NGASub
4022837,H1,NGASub
4039219,H2,NGASub
4040725,H1,NGASub
4040096,H1,NGASub
3000436,H1,NGASub
4023122,H1,NGASub
5001487,H2,NGASub
6001549,H2,NGASub
6001144,H1,NGASub
7003468,H2,NGASub
4031842,H1,NGASub
7002771,H2,NGASub
7006245,H1,NGASub
2000055,H1,NGASub
4017875,H2,NGASub
7002931,H2,NGASub
6004592,H1,NGASub
7004716,H1,NGASub
7008070,H1,NGASub
3000408,H2,NGASub
7010340,H1,NGASub
7006713,H1,NGASub
2001630,H2,NGASub
7006703,H2,NGASub
7006530,H2,NGASub
7007019,H1,NGASub
EMSC-20141122_0000066_TLCR_0,V,ESM
IT-1984-0004_CSN0_0,V,ESM
EMSC-20161026_0000095_T1212_0,U,ESM
7005904,H1,NGASub
4032032,H2,NGASub
4027499,H2,NGASub
7007075,H2,NGASub
7006256,H2,NGASub
7001223,H2,NGASub
7002316,H2,NGASub
7010140,H1,NGASub
6004599,H1,NGASub
7010248,H2,NGASub
5003993,H2,NGASub
5001499,H1,NGASub
7005115,H2,NGASub
6001518,H2,NGASub
7001174,H1,NGASub
7010375,H1,NGASub
7000070,H1,NGASub
IT-2006-0272_CTV_0,U,ESM
6001150,H2,NGASub
IT-2012-0008_CNF_0,U,ESM
7011021,H2,NGASub
3001299,H2,NGASub
7007901,H1,NGASub
7010373,H1,NGASub
4027146,H2,NGASub
2001637,H1,NGASub
IT-2012-0061_ACR_0,V,ESM
EMSC-20160824_0000013_AQK_0,V,ESM
EMSC-20160824_0000006_AQK_0,U,ESM
EMSC-20161030_0000029_PCB_0,V,ESM
EMSC-20161026_0000077_RQT_0,U,ESM
EMSC-20161026_0000077_T1214_0,U,ESM
GR-1999-0001_RFNA_0,V,ESM
EMSC-20160824_0000013_AQU_0,V,ESM
TK-2005-0032_1208_0,U,ESM
GR-1986-0011_KALA_0,V,ESM
EMSC-20161026_0000077_CLO_0,U,ESM
ME-1979-0012_HRZ_0,U,ESM
ME-1979-0012_PET_0,U,ESM
IT-1997-0137_NCR2_0,U,ESM
IT-2012-0061_0MOR_0,U,ESM
GR-1986-0011_KAL2_0,U,ESM
4034754,H1,NGASub
5003393,H2,NGASub
4028399,H1,NGASub
7010162,H1,NGASub
4026677,H1,NGASub
7007067,H1,NGASub
4022538,H1,NGASub
4008104,H1,NGASub
4019352,H1,NGASub
IT-1984-0002_GBB_0,U,ESM
AM-1990-0013_SBKR_0,U,ESM
PT-1969-0001_LIS_0,U,ESM
IT-2012-0010_PZS_0,U,ESM
4021919,H1,NGASub
EMSC-20090425_0000080_BUR01_0,V,ESM
4031853,H2,NGASub
GE-1991-0003_SIRI_0,V,ESM
4034753,H1,NGASub
4009729,H1,NGASub
4021854,H1,NGASub
4022632,H2,NGASub
1001275,H1,NGASub
6000065,H1,NGASub
4019164,H2,NGASub
TK-2007-0018_1201_0,U,ESM
4008221,H1,NGASub
4009529,H2,NGASub
7005321,H2,NGASub
1001763,H2,NGASub
EMSC-20160923_0000135_BMR_0,U,ESM
TK-1997-0126_5902_0,V,ESM
4028304,H2,NGASub
7011643,H2,NGASub
1001754,H1,NGASub
4021919,H2,NGASub
4017129,H2,NGASub
EMSC-20161030_0000029_SSO_0,V,ESM
SI-1998-0010_ILBA_0,V,ESM
EMSC-20161026_0000095_AMT_0,V,ESM
4025927,H1,NGASub
4009694,H2,NGASub
2000064,H1,NGASub
EMSC-20161030_0000029_AQA_0,U,ESM
4009619,H2,NGASub
EMSC-20110401_0000033_GVD_0,U,ESM
4022593,H2,NGASub
1001772,H2,NGASub
4031853,H1,NGASub
4008182,H2,NGASub
4021941,H2,NGASub
4028205,H1,NGASub
4010411,H1,NGASub
1002484,H1,NGASub
1001780,H1,NGASub
1001770,H2,NGASub
4021854,H2,NGASub
7010406,H2,NGASub
4025888,H1,NGASub
1002491,H1,NGASub
1001742,H2,NGASub
4031970,H1,NGASub
4033566,H1,NGASub
4009726,H1,NGASub
7001203,H1,NGASub
5004040,H2,NGASub
4031958,H1,NGASub
4019385,H2,NGASub
5001510,H2,NGASub
4026031,H2,NGASub
7001143,H2,NGASub
1002267,H1,NGASub
4025895,H2,NGASub
4019453,H2,NGASub
4007256,H2,NGASub
1002487,H2,NGASub
4008199,H2,NGASub
1001739,H2,NGASub
5004057,H2,NGASub
IT-2012-0008_RIM_0,U,ESM
4008213,H1,NGASub
4009635,H1,NGASub
7011520,H1,NGASub
7011008,H2,NGASub
7011261,H2,NGASub
4017865,H2,NGASub
1002578,H2,NGASub
4019353,H2,NGASub
1002440,H2,NGASub
2000814,H2,NGASub
6001529,H2,NGASub
4021959,H2,NGASub
EMSC-20160923_0000135_DEV_0,V,ESM
4010137,H2,NGASub
PT-1969-0001_LIS_0,V,ESM
EMSC-20160824_0000006_MMUR_0,U,ESM
IT-2012-0011_BDT_0,V,ESM
EMSC-20160824_0000006_STF_0,U,ESM
TK-1996-0032_0502_0,V,ESM
3001493,H1,NGASub
6000542,H1,NGASub
7005772,H2,NGASub
7006634,H2,NGASub
7011225,H2,NGASub
4009509,H2,NGASub
7001205,H2,NGASub
4025921,H2,NGASub
1002520,H1,NGASub
EMSC-20161026_0000095_CSN_0,V,ESM
7011598,H2,NGASub
4008182,H1,NGASub
7008540,H2,NGASub
2000018,H2,NGASub
7011007,H1,NGASub
7005047,H2,NGASub
4019385,H1,NGASub
3001757,H1,NGASub
4019163,H2,NGASub
4008168,H2,NGASub
5001515,H2,NGASub
4027472,H2,NGASub
EMSC-20160824_0000006_CADA_0,U,ESM
EMSC-20160824_0000006_ASOL_0,U,ESM
GE-1991-0002_STPV_0,U,ESM
2001584,H1,NGASub
2000806,H1,NGASub
5004019,H2,NGASub
4040268,H1,NGASub
7006067,H2,NGASub
4009734,H2,NGASub
2000808,H1,NGASub
4009685,H1,NGASub
EMSC-20160923_0000135_DEV_0,U,ESM
7005364,H2,NGASub
1001769,H2,NGASub
7006689,H2,NGASub
7006425,H1,NGASub
EMSC-20161026_0000095_CERA_0,U,ESM
EMSC-20161030_0000029_AQV_0,V,ESM
IT-1997-0137_ANNI_0,U,ESM
IT-2009-0009_LSS_0,V,ESM
EMSC-20161030_0000029_CSC_0,V,ESM
EMSC-20161026_0000095_CMI_0,V,ESM
IT-2012-0008_PRM_0,V,ESM
IT-2012-0011_BRB_0,V,ESM
EMSC-20161030_0000029_CDM_0,U,ESM
EMSC-20161030_0000029_BAG8_0,V,ESM
EMSC-20161030_0000029_T1244_0,V,ESM
EMSC-20160824_0000006_BLY_0,U,ESM
EMSC-20151117_0000025_PIPA_0,U,ESM
EMSC-20160824_0000006_STAL_0,U,ESM
EMSC-20161026_0000095_SPD_0,V,ESM
TK-1999-0415_MSK_0,U,ESM
EMSC-20140126_0000046_EFSA_0,U,ESM
EMSC-20110519_0000052_FETI_0,U,ESM
EMSC-20140126_0000046_LSK_0,U,ESM
EMSC-20161026_0000095_0MBT_0,U,ESM
EMSC-20161030_0000029_CSN_0,U,ESM
EMSC-20161026_0000095_TOD_0,V,ESM
TK-1999-0415_487_0,V,ESM
IT-1977-0008_SMU_0,U,ESM
IT-2009-0121_MI02_0,U,ESM
IT-2012-0011_MIR06_0,U,ESM
IT-2009-0009_MTR_0,V,ESM
IT-2013-0019_MCN_0,U,ESM
IT-1976-0030_FRC_0,V,ESM
IT-2009-0140_RM02_0,V,ESM
EMSC-20161026_0000095_MCV_0,U,ESM
IT-2013-0019_GSN_0,U,ESM
IT-2009-0140_AQA_0,U,ESM
IT-2009-0140_RM02_0,U,ESM
IT-1997-0091_CLC_0,U,ESM
IT-2009-0102_AQF_0,V,ESM
TK-2007-0024_2701_0,V,ESM
TK-1999-0415_C1062_0,U,ESM
EMSC-20140126_0000046_SERS_0,U,ESM
EMSC-20120610_0000062_ESKT_0,U,ESM
IT-2009-0009_AQG_0,V,ESM
IT-2009-0009_ORC_0,U,ESM
IT-2009-0121_RM11_0,U,ESM
EMSC-20150416_0000081_YKAV_0,U,ESM
IT-2009-0009_AQV_0,U,ESM
TK-1999-0389_5401_0,U,ESM
EMSC-20160824_0000006_NRC_0,V,ESM
IT-2009-0102_RM03_0,U,ESM
EMSC-20161030_0000029_T1213_0,V,ESM
IT-2009-0009_AQK_0,V,ESM
IT-2009-0102_BZZ_0,U,ESM
GR-1986-0006_KAL1_0,U,ESM
EMSC-20140126_0000046_CAR1_0,U,ESM
IT-2008-0004_BELV_0,V,ESM
IT-2012-0010_SENIN_0,U,ESM
IT-2012-0011_SAIG_0,V,ESM
IT-2009-0102_PSC_0,U,ESM
GR-1986-0006_KALA_0,U,ESM
IT-2012-0011_PZS_0,U,ESM
4033503,H2,NGASub
7004868,H1,NGASub
7004923,H2,NGASub
7004994,H2,NGASub
5001763,H2,NGASub
6004532,H1,NGASub
7008217,H1,NGASub
4016749,H2,NGASub
4008565,H1,NGASub
7004729,H1,NGASub
4033663,H2,NGASub
3001398,H1,NGASub
EMSC-20131012_0000044_KTHA_0,V,ESM
4022833,H1,NGASub
6006369,H1,NGASub
6003837,H1,NGASub
3000402,H2,NGASub
3000386,H1,NGASub
7002029,H2,NGASub
7002051,H1,NGASub
EMSC-20161030_0000029_MNF_0,U,ESM
7006085,H1,NGASub
4028406,H1,NGASub
4033673,H2,NGASub
7004921,H2,NGASub
7007968,H1,NGASub
7007991,H1,NGASub
4033850,H1,NGASub
7004686,H1,NGASub
7004702,H1,NGASub
6002214,H1,NGASub
6001745,H2,NGASub
4033865,H1,NGASub
7001823,H1,NGASub
4038119,H2,NGASub
4033920,H2,NGASub
6001291,H2,NGASub
4018077,H2,NGASub
4033663,H1,NGASub
5003374,H1,NGASub
6002707,H2,NGASub
4033838,H1,NGASub
4012459,H1,NGASub
7008065,H1,NGASub
7008140,H2,NGASub
7008085,H2,NGASub
7004771,H2,NGASub
4016745,H1,NGASub
4033868,H1,NGASub
3001999,H1,NGASub
4033732,H2,NGASub
3000389,H2,NGASub
4028564,H2,NGASub
4007126,H1,NGASub
3001439,H2,NGASub
7004956,H2,NGASub
7001746,H1,NGASub
EMSC-20161026_0000095_ACC_0,U,ESM
6001712,H1,NGASub
6001715,H2,NGASub
6002226,H1,NGASub
4040123,H2,NGASub
7008146,H1,NGASub
7004908,H1,NGASub
7004882,H2,NGASub
4023296,H1,NGASub
4028563,H2,NGASub
7008060,H2,NGASub
4030513,H2,NGASub
7007979,H2,NGASub
6004534,H1,NGASub
4028845,H2,NGASub
7001976,H1,NGASub
4033837,H1,NGASub
4033700,H2,NGASub
3000390,H2,NGASub
4026710,H1,NGASub
7004751,H2,NGASub
7001732,H1,NGASub
7001268,H2,NGASub
7004906,H2,NGASub
7004718,H2,NGASub
7001782,H2,NGASub
4009391,H1,NGASub
7008080,H2,NGASub
4007099,H2,NGASub
4038115,H1,NGASub
7011797,H2,NGASub
7008045,H2,NGASub
4040393,H2,NGASub
4023067,H1,NGASub
7004889,H1,NGASub
3001961,H2,NGASub
7004705,H1,NGASub
7001747,H2,NGASub
4033920,H1,NGASub
7001742,H1,NGASub
EMSC-20131012_0000044_MNVA_0,U,ESM
7001841,H2,NGASub
6002907,H1,NGASub
7001967,H2,NGASub
3000367,H1,NGASub
1000705,H2,NGASub
4024720,H2,NGASub
6001373,H1,NGASub
7008236,H1,NGASub
7001741,H1,NGASub
6005167,H1,NGASub
3000390,H1,NGASub
4028832,H1,NGASub
7004778,H2,NGASub
6001221,H2,NGASub
7001739,H1,NGASub
7001843,H2,NGASub
4038463,H2,NGASub
2000004,H2,NGASub
7004863,H2,NGASub
3000362,H2,NGASub
4040498,H1,NGASub
4028577,H1,NGASub
EMSC-20161026_0000077_CSS_0,U,ESM
EMSC-20130807_0000038_YDRA_0,V,ESM
IT-2009-0121_MI01_0,U,ESM
IT-2013-0005_BRB_0,V,ESM
EMSC-20160824_0000006_CSN_0,U,ESM
EMSC-20160824_0000006_CSO1_0,U,ESM
IT-2012-0010_MOGG_0,V,ESM
IT-2008-0004_GNV_0,V,ESM
TK-2003-0182_1007_0,V,ESM
EMSC-20161026_0000077_CMI_0,U,ESM
EMSC-20130108_0000044_YDRA_0,U,ESM
EMSC-20101103_0000003_BLY_0,U,ESM
GE-1991-0003_SONB_0,V,ESM
IT-2009-0121_RM11_0,V,ESM
EMSC-20161026_0000077_CNE_0,V,ESM
IT-2009-0102_RM03_0,V,ESM
EMSC-20160824_0000013_NRC_0,V,ESM
IT-2009-0121_MI02_0,V,ESM
EMSC-20150416_0000081_IMMV_0,U,ESM
IT-2012-0011_SULZ_0,V,ESM
TK-2003-0030_1007_0,V,ESM
IT-2013-0005_MNTP_0,V,ESM
SY-1996-0001_SUAN_0,V,ESM
EMSC-20150416_0000081_ANKY_0,U,ESM
IT-2009-0009_ISR_0,V,ESM
EMSC-20130108_0000044_PRK_0,V,ESM
EMSC-20140126_0000046_SALB_0,V,ESM
EMSC-20161028_0000138_SIRI_0,V,ESM
EMSC-20161030_0000029_SABO_0,V,ESM
IT-2009-0121_BRS_0,V,ESM
IT-2009-0121_RM03_0,U,ESM
EMSC-20161030_0000029_TSC_0,V,ESM
TK-2004-0089_4401_0,V,ESM
EMSC-20161026_0000095_NRN_0,U,ESM
IT-2013-0005_MTRZ_0,V,ESM
EMSC-20161026_0000077_MURB_0,U,ESM
EMSC-20140126_0000085_KTHA_0,V,ESM
IT-2012-0008_SENIN_0,V,ESM
TK-1999-0294_1604_0,V,ESM
EMSC-20111123_0000028_ZKR_0,U,ESM
GR-1999-0001_ATH2_0,U,ESM
EMSC-20160824_0000006_CPS_0,V,ESM
IT-2012-0010_ATLO_0,U,ESM
IT-1997-0004_CSC_0,V,ESM
IT-2013-0005_NCER_0,U,ESM
EMSC-20161026_0000095_DOSS_0,V,ESM
EMSC-20161030_0000029_BSS_0,V,ESM
EMSC-20161026_0000095_MURB_0,V,ESM
IT-1980-0012_MRT_0,V,ESM
3001403,H1,NGASub
7004779,H1,NGASub
6001240,H1,NGASub
7004704,H2,NGASub
7001969,H1,NGASub
7011093,H2,NGASub
7007981,H2,NGASub
4028832,H2,NGASub
3000260,H1,NGASub
3000367,H2,NGASub
7007995,H1,NGASub
EMSC-20160824_0000006_TOD_0,V,ESM
6001407,H1,NGASub
4018479,H1,NGASub
7004734,H1,NGASub
7004694,H1,NGASub
7004745,H2,NGASub
7001735,H2,NGASub
4007084,H1,NGASub
3000257,H2,NGASub
3000366,H1,NGASub
7011792,H2,NGASub
3000391,H2,NGASub
7004700,H1,NGASub
4033836,H2,NGASub
7001784,H2,NGASub
6004613,H2,NGASub
7007984,H2,NGASub
7004697,H2,NGASub
IT-2009-0009_CHT_0,V,ESM
6000994,H1,NGASub
7004736,H1,NGASub
7004726,H2,NGASub
3000391,H1,NGASub
4032552,H1,NGASub
7004708,H1,NGASub
7004701,H2,NGASub
4017991,H1,NGASub
6001240,H2,NGASub
5002720,H1,NGASub
7004707,H2,NGASub
3000415,H1,NGASub
2000902,H2,NGASub
7004704,H1,NGASub
4033836,H1,NGASub
3000254,H2,NGASub
7004691,H1,NGASub
7004686,H2,NGASub
3000254,H1,NGASub
EMSC-20161026_0000095_FOPC_0,V,ESM
EMSC-20161026_0000095_T1214_0,U,ESM
EMSC-20161030_0000029_MPRI_0,V,ESM
EMSC-20161026_0000095_SNO_0,V,ESM
IT-2009-0009_VIE_0,V,ESM
EMSC-20140126_0000046_BERA1_0,U,ESM
IT-2012-0008_SMZW_0,V,ESM
IT-2012-0008_BOURR_0,U,ESM
EMSC-20161028_0000138_SIRI_0,U,ESM
IT-2012-0008_TVR_0,U,ESM
IT-2002-0024_CDI_0,U,ESM
EMSC-20151117_0000025_CAR1_0,V,ESM
IT-2009-0102_AQF_0,U,ESM
EMSC-20160824_0000006_MGAB_0,U,ESM
IT-2012-0011_CTL8_0,V,ESM
IT-1997-0004_AQK_0,V,ESM
IT-2012-0008_LNG_0,U,ESM
EMSC-20161026_0000095_T1214_0,V,ESM
EMSC-20150416_0000081_IACM_0,U,ESM
IT-2012-0011_SFRA_0,U,ESM
IT-2009-0009_MMP_0,U,ESM
IT-2012-0010_CAFI_0,V,ESM
IT-2012-0008_MTRZ_0,U,ESM
EMSC-20161026_0000095_SSO_0,U,ESM
IT-2009-0009_ISR_0,U,ESM
IT-2012-0011_SURF_0,V,ESM
IT-2012-0011_FIR_0,U,ESM
IT-2012-0008_SNZ1_0,U,ESM
EMSC-20161026_0000095_MCV_0,V,ESM
IT-2012-0010_MMUR_0,U,ESM
IT-2002-0024_CDI_0,V,ESM
EMSC-20151117_0000025_CEL_0,U,ESM
EMSC-20160824_0000006_PSC_0,V,ESM
IT-2012-0008_PZS_0,U,ESM
EMSC-20160824_0000006_SPM_0,V,ESM
IT-2012-0010_SFI_0,U,ESM
EMSC-20160824_0000006_ROVR_0,U,ESM
EMSC-20140203_0000008_JOPP_0,U,ESM
IT-2012-0008_GUMA_0,U,ESM
EMSC-20161030_0000029_0MBT_0,V,ESM
EMSC-20161026_0000095_CADA_0,U,ESM
IT-1997-0137_NCR_0,U,ESM
TK-2007-0024_4401_0,V,ESM
IT-2012-0008_MCT_0,U,ESM
6006198,H2,NGASub
3001972,H2,NGASub
4007095,H1,NGASub
4040376,H1,NGASub
3001962,H2,NGASub
6004310,H2,NGASub
6005357,H2,NGASub
7002049,H1,NGASub
7004717,H1,NGASub
7004810,H1,NGASub
4028563,H1,NGASub
7008015,H1,NGASub
6001018,H2,NGASub
4032562,H1,NGASub
6001219,H2,NGASub
4040110,H1,NGASub
7001963,H1,NGASub
4026721,H2,NGASub
7007998,H1,NGASub
4032990,H1,NGASub
2000091,H2,NGASub
3001435,H1,NGASub
1000740,H1,NGASub
4040655,H2,NGASub
7004908,H2,NGASub
7004869,H2,NGASub
7004750,H2,NGASub
6004329,H2,NGASub
4040380,H1,NGASub
4033735,H1,NGASub
3000415,H2,NGASub
4033701,H1,NGASub
EMSC-20131012_0000044_ANKY_0,U,ESM
3001961,H1,NGASub
6002226,H2,NGASub
4038478,H1,NGASub
7007990,H1,NGASub
7007988,H1,NGASub
6004629,H2,NGASub
3000260,H2,NGASub
1002141,H1,NGASub
4018941,H1,NGASub
7007986,H2,NGASub
1000336,H2,NGASub
3000373,H1,NGASub
6001518,H1,NGASub
7004877,H1,NGASub
7007969,H2,NGASub
6001765,H2,NGASub
6001753,H2,NGASub
7008020,H2,NGASub
4028991,H2,NGASub
4008641,H1,NGASub
6000858,H1,NGASub
5001383,H1,NGASub
4030494,H1,NGASub
1000289,H2,NGASub
4031178,H1,NGASub
4033840,H1,NGASub
7004691,H2,NGASub
4003157,H1,NGASub
7004708,H2,NGASub
7004884,H1,NGASub
6001821,H2,NGASub
7004698,H2,NGASub
3000433,H2,NGASub
EMSC-20131012_0000044_IMMV_0,U,ESM
4040716,H2,NGASub
4022836,H1,NGASub
6001403,H2,NGASub
3001438,H1,NGASub
1002147,H1,NGASub
4033839,H1,NGASub
7004770,H2,NGASub
7004749,H2,NGASub
6002704,H2,NGASub
7004739,H1,NGASub
3000374,H1,NGASub
4008631,H1,NGASub
6001795,H1,NGASub
6001221,H1,NGASub
3000370,H2,NGASub
4039224,H2,NGASub
3000433,H1,NGASub
3000377,H1,NGASub
4040110,H2,NGASub
EMSC-20160824_0000006_SNO_0,U,ESM
IT-1980-0012_TDG_0,U,ESM
IT-2012-0011_UMB_0,V,ESM
IT-2009-0009_VIE_0,U,ESM
EMSC-20161030_0000029_ZOVE_0,V,ESM
IT-2012-0008_AUL_0,V,ESM
IT-2012-0008_LNG_0,V,ESM
IT-2013-0019_BSSO_0,V,ESM
IT-2009-0140_RM06_0,V,ESM
EMSC-20160824_0000013_CSC_0,U,ESM
IT-2009-0140_RM09_0,U,ESM
IT-2009-0140_RM05_0,U,ESM
IT-1976-0027_FRC_0,V,ESM
IT-2009-0102_AQP_0,U,ESM
GR-1986-0011_KAL1_0,V,ESM
IT-2012-0008_SDV_0,U,ESM
IT-2013-0005_FIAM_0,U,ESM
EMSC-20130108_0000044_NOAC_0,V,ESM
IT-2012-0011_PRT_0,U,ESM
TK-1996-0032_6002_0,V,ESM
EMSC-20160824_0000006_AQV_0,V,ESM
IT-2008-0004_AUL_0,V,ESM
EMSC-20140126_0000085_ITM_0,U,ESM
EMSC-20161030_0000029_T1214_0,V,ESM
IT-2009-0102_AQM_0,U,ESM
TK-1999-0077_YKP_0,V,ESM
7001149,H1,NGASub
GR-1995-0047_AIGA_0,U,ESM
IT-2012-0008_IMOL_0,V,ESM
IT-2012-0008_MRZ_0,V,ESM
IT-2012-0008_CSP_0,V,ESM
EMSC-20161030_0000029_TOD_0,U,ESM
IT-2009-0009_SPO_0,U,ESM
4033699,H1,NGASub
IT-2012-0008_IMOL_0,U,ESM
IT-1980-0012_TDG_0,V,ESM
7004699,H2,NGASub
7004745,H1,NGASub
EMSC-20140126_0000046_MGNA_0,V,ESM
7004769,H1,NGASub
EMSC-20151117_0000025_SIRI_0,V,ESM
EMSC-20140126_0000046_CUC_0,V,ESM
EMSC-20140126_0000046_PIPA_0,U,ESM
3001966,H2,NGASub
7004899,H2,NGASub
6003695,H1,NGASub
TK-1999-0415_3401_0,U,ESM
EMSC-20151117_0000025_ITM_0,V,ESM
EMSC-20140203_0000008_CAR1_0,U,ESM
IT-2009-0009_AQA_0,U,ESM
EMSC-20140203_0000008_SDA_0,U,ESM
EMSC-20140126_0000046_JOPP_0,V,ESM
7008164,H2,NGASub
7001888,H1,NGASub
3001969,H2,NGASub
EMSC-20151117_0000025_ACER_0,V,ESM
IT-2009-0009_GSA_0,V,ESM
TK-1992-0002_2403_0,U,ESM
TK-1999-0077_ZYT_0,V,ESM
6003748,H1,NGASub
EMSC-20160824_0000006_NRN_0,U,ESM
4031962,H1,NGASub
4036910,H2,NGASub
4022835,H1,NGASub
7001959,H2,NGASub
7001953,H1,NGASub
6001764,H2,NGASub
1000336,H1,NGASub
4022835,H2,NGASub
7001970,H1,NGASub
7004732,H1,NGASub
7004777,H1,NGASub
EMSC-20161026_0000095_GLT_0,U,ESM
7004736,H2,NGASub
6004288,H2,NGASub
7008046,H1,NGASub
3000051,H2,NGASub
7007980,H1,NGASub
3001654,H1,NGASub
7004734,H2,NGASub
6001242,H2,NGASub
7004728,H2,NGASub
7004701,H1,NGASub
7001747,H1,NGASub
6003268,H1,NGASub
7004694,H2,NGASub
6004532,H2,NGASub
IT-1997-0137_ANNI_0,V,ESM
IT-2012-0008_NPOR_0,U,ESM
EMSC-20161030_0000029_MARN_0,U,ESM
IT-2013-0005_ZEN8_0,V,ESM
TK-1999-0077_1604_0,V,ESM
EMSC-20140126_0000046_CUC_0,U,ESM
GR-1997-0019_KYP1_0,U,ESM
EMSC-20140126_0000046_KKS_0,U,ESM
ME-1979-0006_PETO_0,U,ESM
EMSC-20160824_0000006_PAN_0,V,ESM
TK-2002-0012_5401_0,V,ESM
IT-2012-0008_CRM1_0,V,ESM
EMSC-20161030_0000029_MGAB_0,U,ESM
EMSC-20110519_0000052_PSRA_0,V,ESM
IT-1997-0004_ASS_0,V,ESM
EMSC-20160824_0000006_FRE8_0,U,ESM
IT-2012-0011_SMZW_0,V,ESM
IT-2012-0008_CAGN_0,U,ESM
EMSC-20161026_0000095_CLUD_0,U,ESM
IT-2012-0008_DCM_0,U,ESM
EMSC-20150416_0000081_GOMA_0,U,ESM
6001713,H1,NGASub
IT-2013-0005_FIVI_0,V,ESM
IT-2009-0009_RIC_0,V,ESM
EMSC-20161030_0000029_TSC_0,U,ESM
EMSC-20161026_0000095_SSG_0,V,ESM
EMSC-20160824_0000006_PTL_0,U,ESM
EMSC-20160824_0000006_CIMA_0,U,ESM
7006533,H2,NGASub
EMSC-20160824_0000006_TRV_0,U,ESM
IT-2012-0008_PZS_0,V,ESM
TK-2003-0038_2301_0,V,ESM
EMSC-20161026_0000095_FIAM_0,V,ESM
IT-2012-0011_BGR_0,V,ESM
6003796,H1,NGASub
EMSC-20161030_0000029_T1216_0,V,ESM
IT-2012-0011_CMO_0,V,ESM
TK-1999-0415_C1062_0,V,ESM
TK-1997-0003_3102_0,V,ESM
EMSC-20140126_0000046_NOAC_0,U,ESM
IT-2012-0008_TGL_0,U,ESM
EMSC-20161026_0000095_NRC_0,U,ESM
EMSC-20161026_0000095_T1244_0,U,ESM
IT-2009-0121_MI05_0,U,ESM
IT-2009-0102_MI05_0,V,ESM
EMSC-20161026_0000095_NRC_0,V,ESM
IT-1997-0137_CLC_0,V,ESM
EMSC-20140126_0000046_T0721_0,V,ESM
EMSC-20140203_0000008_PLAC_0,V,ESM
IT-2012-0008_SOLZ_0,U,ESM
IT-2009-0009_MNG_0,U,ESM
EMSC-20160824_0000006_PNC_0,U,ESM
EMSC-20161030_0000029_VARN_0,U,ESM
IT-2012-0011_MIRE_0,V,ESM
TK-1992-0002_2402_0,V,ESM
IT-2012-0011_MRN_0,V,ESM
IT-2012-0010_T0819_0,V,ESM
TK-2000-0449_5402_0,V,ESM
IT-2012-0008_MRN_0,V,ESM
EMSC-20140608_0000042_MNVA_0,U,ESM
EMSC-20111110_0000081_MNVA_0,U,ESM
IT-2012-0011_MOG0_0,V,ESM
EMSC-20130809_0000034_ITM_0,U,ESM
IT-2012-0008_SNS_0,U,ESM
IT-1976-0027_BUI_0,U,ESM
EMSC-20160116_0000069_MRC_0,U,ESM
IT-2012-0011_T0818_0,V,ESM
TK-2005-0032_2501_0,V,ESM
EMSC-20150123_0000041_ZCCA_0,V,ESM
IT-2012-0011_CNT_0,V,ESM
TK-2003-0180_1007_0,U,ESM
IT-2012-0010_CRP_0,U,ESM
EMSC-20161026_0000095_SALO_0,U,ESM
IT-2009-0009_PTF_0,V,ESM
EMSC-20161030_0000029_FIR_0,U,ESM
IT-2012-0011_OSSC_0,U,ESM
