metadata,metadata,metadata
event_id,station_code,location_code
IT-1980-0012,BSC,0
IR-2002-0035,DSJ,0
IT-2009-0009,PTF,0
IR-1997-0029,BSV,0
TK-1992-0002,2403,0
ME-1979-0003,ULA,0
GR-1995-0017,ABS1,0
EMSC-20161030_0000029,AQF,0
EMSC-20161026_0000095,PRE,0
ME-1979-0012,PET,0
EMSC-20160824_0000006,SDM,0
IT-1997-0137,NCM,0
EMSC-20160824_0000006,FOSV,0
IR-2003-0041,KJA,0
IR-2004-0043,TEH12,0
EMSC-20161026_0000095,T1201,0
EMSC-20161030_0000029,MMP1,0
EMSC-20160824_0000006,NCR,0
TK-2003-0191,4401,0
IT-2012-0008,SNZ1,0
EMSC-20160824_0000006,FIU1,0
TK-1999-0415,ARC,0
EMSC-20160824_0000006,AQF,0
EMSC-20161026_0000095,ATPC,0
GR-1995-0047,PYR1,0
IR-2002-0035,KSA,0
EMSC-20161030_0000029,TOD,0
TK-1999-0415,BAG,0
IT-2012-0008,BRIS,0
EMSC-20160824_0000006,AQG,0
EMSC-20161026_0000095,NOR,0
IR-2003-0041,SDD,0
EMSC-20160824_0000006,TLN,0
IR-2004-0043,A6276,0
IT-1980-0012,RNR,0
EMSC-20160824_0000006,AQU,0
IT-2012-0008,MTRZ,0
EMSC-20161030_0000029,CTD,0
EMSC-20161030_0000029,TERO,0
IT-2012-0008,CSP,0
IR-1994-0020,ZRT,0
TK-2005-0030,1208,0
EMSC-20160824_0000006,ATLO,0
IT-1980-0012,BRN,0
IT-2009-0009,SPC,0
EMSC-20161030_0000029,ANT,0
TK-1999-0077,YKP,0
EMSC-20120610_0000062,DATC,0
EMSC-20161026_0000095,SSG,0
IR-2003-0041,MAM,0
EMSC-20160824_0000006,FMG,0
IR-2004-0043,A6271,0
EMSC-20160824_0000006,MURB,0
TK-1999-0077,ARC,0
IT-2009-0102,MI01,0
EMSC-20161030_0000029,MSCT,0
EMSC-20161030_0000029,CPS,0
GR-1997-0014,KRN1,0
EMSC-20160824_0000006,ANB,0
EMSC-20160824_0000006,PTL,0
EMSC-20160824_0000006,TOD,0
EMSC-20161030_0000029,AQK,0
TK-1999-0415,RUZ,0
EMSC-20161030_0000029,BZZ,0
IR-2004-0043,A6262,0
EMSC-20161026_0000095,CIMA,0
IT-1980-0012,MRT,0
IR-2005-0044,TRZ,0
IT-2012-0011,MLC,0
IT-2012-0008,BGR,0
IT-2002-0045,CMM,0
IT-1977-0008,SMU,0
EMSC-20161030_0000029,PCB,0
GR-1986-0011,KALA,0
EMSC-20160824_0000013,PTI,0
IT-2012-0011,TGG,0
EMSC-20160824_0000006,MSCT,0
IT-2013-0005,NEVI,0
IT-2012-0061,LRS,0
EMSC-20161026_0000095,MTR,0
IR-1997-0029,LGV,0
EMSC-20160824_0000013,RM33,0
IT-2012-0061,0ORS,0
IR-2004-0043,TEH30,0
EMSC-20161026_0000095,AQV,0
IR-2004-0043,TEH22,0
EMSC-20130108_0000044,FOCM,0
TK-2000-0449,5401,0
EMSC-20160824_0000006,ATN,0
TK-2007-0024,4401,0
EMSC-20161026_0000095,BSS,0
TK-1996-0035,6002,0
TK-1999-0415,MSK,0
EMSC-20160824_0000013,MSCT,0
IR-2003-0041,BLV,0
IR-2005-0044,DKH,0
IT-2012-0061,0LAI,0
IR-2004-0043,EYK,0
GE-1991-0003,SONB,0
EMSC-20161030_0000029,LSS,0
EMSC-20161026_0000095,SNO,0
EMSC-20160824_0000006,PZI1,0
EMSC-20160824_0000006,RM33,0
EMSC-20161030_0000029,PTL,0
IT-1984-0004,ORT,0
EMSC-20161026_0000095,SPD,0
EMSC-20161026_0000095,GUMA,0
IR-2004-0043,DSJ,0
EMSC-20160824_0000006,MNTP,0
EMSC-20160824_0000006,CADA,0
IR-2004-0043,LAV,0
GR-1997-0019,KRN1,0
EMSC-20161026_0000095,AMT,0
EMSC-20130108_0000044,KRBN,0
IT-2009-0102,AQU,0
EMSC-20161030_0000029,T1213,0
IR-1994-0020,A3292,0
IR-2002-0035,GMB,0
IR-1997-0030,MSV,0
IT-2009-0174,RM14,0
IT-2012-0010,CSP,0
IT-2012-0004,REVF,0
IT-1997-0004,CSC,0
EMSC-20161026_0000095,LSS,0
IR-2003-0041,CMZ,0
IT-2009-0121,CHT,0
IT-2009-0095,RM03,0
EMSC-20161030_0000029,GBC,0
EMSC-20160824_0000006,TER,0
EMSC-20160824_0000013,TLN,0
EMSC-20161026_0000095,T1216,0
EMSC-20160824_0000013,AMT,0
IT-1998-0054,SELW,0
IT-2012-0008,ZEN8,0
IT-2012-0011,MDG,0
IR-2004-0043,CHA,0
IT-2009-0121,ANT,0
ME-1979-0012,HRZ,0
IT-2012-0061,SIRI,0
EMSC-20161026_0000095,T1215,0
IT-2013-0005,FIVI,0
EMSC-20161026_0000095,ACC,0
GR-1995-0033,KRR1,0
IT-2008-0004,PZS,0
TK-2004-0080,4802,0
IR-2004-0043,CGG,0
EMSC-20161026_0000095,T1212,0
EMSC-20161030_0000029,BGR,0
EMSC-20161026_0000077,MNF,0
IT-2009-0102,AQK,0
IR-2004-0043,GAR,0
TK-2004-0089,2301,0
IT-1980-0012,BGI,0
EMSC-20161030_0000029,TRE1,0
IT-2009-0102,RM02,0
EMSC-20160824_0000006,ANT,0
EMSC-20161026_0000095,CMI,0
IT-2009-0121,RM07,0
EMSC-20140524_0000026,PLG,0
IT-2009-0174,RM18,0
IT-2012-0008,PIT,0
IT-2012-0010,MIR06,0
IT-2009-0121,MI02,0
IT-2009-0174,AMT,0
IT-2009-0084,AQU,0
IR-2004-0043,MLK,0
IT-1976-0030,CRD,0
IT-2013-0019,MCN,0
EMSC-20161026_0000077,SPM,0
IT-1984-0004,LPD1,0
EMSC-20160824_0000013,PGG,0
TK-2005-0036,2406,0
IT-2013-0019,PDM,0
IT-2012-0004,BRR,0
EMSC-20160824_0000013,MTL1,0
IT-2013-0019,VAGA,0
IT-2009-0140,RM10,0
IT-2013-0019,BSSO,0
GR-1986-0011,KAL2,0
EMSC-20161030_0000029,0CAN,0
IT-2009-0102,AQM,0
EMSC-20160824_0000013,NRC,0
IT-2009-0121,RM11,0
IT-2009-0121,AQG,0
IT-1997-0137,AQK,0
EMSC-20161030_0000029,NRN,0
EMSC-20161026_0000077,AMT,0
EMSC-20161030_0000029,FOPC,0
IR-1990-0004,A6211,0
TK-1999-0077,FAT,0
IT-2009-0121,GSA,0
EMSC-20161026_0000095,MCV,0
TK-1997-0003,3102,0
EMSC-20161030_0000029,ANB,0
EMSC-20160824_0000006,SCF,0
EMSC-20160824_0000006,SNI,0
EMSC-20161026_0000095,MURB,0
EMSC-20160824_0000006,COR1,0
EMSC-20160824_0000006,GAG1,0
EMSC-20131012_0000044,IMMV,0
IR-1997-0025,RAZ,0
EMSC-20161026_0000077,AQU,0
IT-2012-0008,SMP,0
IT-2012-0008,CTL8,0
IT-2004-0109,AUP,0
EMSC-20161026_0000077,LSS,0
EMSC-20161030_0000029,AQG,0
EMSC-20160824_0000013,AQF,0
IT-2009-0095,MI02,0
EMSC-20160824_0000013,MTR,0
EMSC-20161026_0000095,NRC,0
EMSC-20141107_0000035,AC11,0
IR-1999-0032,KVR,0
TK-1999-0294,5401,0
EMSC-20160824_0000006,PIEI,0
EMSC-20161030_0000029,TLN,0
IR-2003-0041,MHN,0
EMSC-20161026_0000077,MSCT,0
IT-2008-0004,AUL,0
EMSC-20161026_0000095,PTI,0
EMSC-20161026_0000095,PCB,0
EMSC-20160824_0000006,FSS,0
IT-2009-0009,CSS,0
TK-2005-0054,1201,0
IT-2012-0008,PZS,0
GR-1995-0017,KAS1,0
EMSC-20160824_0000013,CTD,0
EMSC-20160824_0000013,SDM,0
IR-2002-0035,A3335,0
IT-2012-0061,PRA,0
TK-1999-0294,1604,0
TK-2005-0032,1208,0
SY-1996-0001,SUAN,0
IT-2012-0008,SSU,0
EMSC-20161026_0000095,T1214,0
EMSC-20161030_0000029,AQV,0
TK-1999-0415,5401,0
EMSC-20161030_0000029,0MBT,0
IT-2013-0005,FVZ,0
IR-2004-0043,TEH24,0
IT-2013-0019,PTF,0
EMSC-20161026_0000095,GNU,0
IT-2012-0008,BRR,0
EMSC-20161026_0000077,PTL,0
EMSC-20161026_0000077,T1217,0
IT-2013-0003,RNI2,0
SI-1998-0010,MOG,0
IT-1981-0001,FMC,0
IT-2004-0181,GVD,0
IR-2004-0043,A6291,0
IR-2002-0035,HJB,0
IT-2009-0095,AQP,0
TK-1996-0032,0502,0
IT-2009-0102,FMG,0
IT-2009-0009,ANT,0
IT-2009-0140,RM06,0
IT-2012-0061,0MOR,0
EMSC-20140126_0000046,MGNA,0
ME-1979-0006,HRZ,0
EMSC-20160824_0000006,SPO1,0
IR-2005-0044,DVR,0
IT-2002-0047,SCV,0
IR-2002-0035,GTP,0
EMSC-20160824_0000006,FRT,0
IR-2002-0035,KNS,0
EMSC-20161030_0000029,SDM,0
IT-1997-0137,AQI,0
EMSC-20131012_0000044,KTHA,0
EMSC-20161026_0000095,0MBT,0
IR-1997-0029,A6340,0
EMSC-20161030_0000029,BSS,0
IR-1990-0004,QAZ,0
EMSC-20161026_0000095,MCT,0
EMSC-20160824_0000006,ATCC,0
EMSC-20161026_0000095,T1217,0
EMSC-20161026_0000095,TRE1,0
TK-1996-0032,6002,0
IT-2009-0009,CHT,0
EMSC-20161026_0000077,RQT,0
IT-1997-0006,PTL,0
IT-2002-0045,SCV,0
EMSC-20130108_0000044,PRK,0
EMSC-20161030_0000029,UMB,0
EMSC-20161030_0000029,AM05,0
EMSC-20160824_0000006,VLL,0
TK-2007-0024,2301,0
EMSC-20161026_0000095,CADA,0
EMSC-20161026_0000095,AM05,0
IR-2004-0043,SHY,0
EMSC-20161030_0000029,VAGA,0
EMSC-20161030_0000029,0UM8,0
EMSC-20161026_0000077,SPO1,0
IT-2009-0121,MI01,0
EMSC-20161026_0000077,MMP1,0
EMSC-20161026_0000077,TLN,0
GR-1995-0030,CHR1,0
EMSC-20150417_0000011,KARP,0
TK-1998-0039,1208,0
IT-2009-0121,FMG,0
IT-2009-0140,AQA,0
EMSC-20161026_0000095,TRN1,0
IT-2009-0009,VRP,0
EMSC-20160824_0000006,ASS,0
IT-1997-0128,CESM,0
EMSC-20161026_0000095,CSC,0
EMSC-20130108_0000044,GOMA,0
IT-2012-0061,SDN,0
IT-1981-0001,LNM,0
IR-2002-0035,GAR,0
EMSC-20120610_0000062,ALAN,0
IR-1999-0032,A6398,0
IR-2002-0035,A3327,0
EMSC-20130108_0000044,GOKC,0
IT-1997-0006,CSC,0
IT-2012-0008,CVT,0
IT-2009-0102,RM13,0
EMSC-20160824_0000006,DUR,0
IT-2012-0008,LNG,0
IT-2012-0011,IMOL,0
PT-1969-0001,LIS,0
TK-2005-0032,2406,0
EMSC-20161030_0000029,TER,0
TK-2007-0018,2301,0
GR-1983-0001,ARG1,0
EMSC-20140524_0000026,OSMT,0
IT-2009-0009,MMP,0
IT-2002-0047,CMM,0
SI-1998-0010,CEY,0
IT-2012-0010,GAI,0
IT-2009-0032,AQM,0
IT-2013-0005,BDI,0
IT-2009-0174,AQG,0
EMSC-20161026_0000095,BRS,0
IT-2009-0084,RM02,0
IT-2009-0140,RM08,0
IR-2002-0035,RSM,0
IT-2012-0011,BRH,0
TK-1999-0077,BTS,0
IT-2013-0019,GSN,0
IT-2009-0174,RM10,0
IT-1997-0128,FORC,0
EMSC-20140203_0000008,VLMS,0
IT-2009-0121,PCB,0
EMSC-20160824_0000006,SSO,0
IR-2004-0043,TEH,0
GR-1992-0007,MRNA,0
IR-1999-0032,A6391,0
EMSC-20160824_0000013,LSS,0
IT-2013-0019,DUR,0
EMSC-20110508_0000014,DIDI,0
EMSC-20161026_0000095,RNI2,0
IR-2004-0043,NKI,0
EMSC-20160824_0000006,GLT,0
EMSC-20161030_0000029,MCV,0
EMSC-20161026_0000095,AQU,0
EMSC-20141122_0000066,TLCR,0
IT-2012-0008,MDT,0
IT-2009-0121,AQV,0
TK-1999-0077,YPT,0
IT-2009-0121,AQU,0
TK-2005-0036,1208,0
EMSC-20161026_0000095,GBC,0
SI-1998-0010,GESC,0
EMSC-20161026_0000077,SNO,0
EMSC-20160824_0000006,MMUR,0
EMSC-20161030_0000029,GRN,0
GR-1991-0002,SIT1,0
EMSC-20160824_0000006,SNM,0
ME-1979-0003,DUB,0
TK-1999-0415,FAT,0
IR-2004-0043,AQB,0
IR-2004-0043,GMD,0
IT-2009-0009,RIC,0
IT-2002-0024,TOR,0
IR-2004-0043,DRA,0
EMSC-20161026_0000095,ASS,0
IR-2002-0035,MAB,0
EMSC-20161030_0000029,FRT,0
EMSC-20161030_0000029,PGG,0
ME-1979-0006,PETO,0
EMSC-20161026_0000095,PZI1,0
EMSC-20161026_0000095,PCRO,0
GR-1999-0001,THVC,0
IT-2012-0008,ZCCA,0
EMSC-20161026_0000095,CTD,0
EMSC-20130108_0000044,GPNR,0
EMSC-20151117_0000025,ROD3,0
GE-1991-0002,STPV,0
EMSC-20161026_0000095,T1243,0
IT-2009-0009,GUMA,0
IT-2012-0008,IMOL,0
EMSC-20161026_0000095,T1244,0
IT-2009-0102,PSC,0
EMSC-20161030_0000029,CRO,0
IR-2002-0038,MSN,0
EMSC-20161026_0000077,MMO,0
TK-2003-0179,5902,0
EMSC-20161026_0000095,CIT,0
IR-2002-0035,AJN,0
EMSC-20161026_0000095,TSC,0
TK-1999-0415,3401,0
IT-2009-0121,AQM,0
EMSC-20161026_0000095,GSA,0
EMSC-20141122_0000066,BISRR,0
IT-2009-0009,CMR,0
IR-2002-0035,TAK,0
IR-2004-0043,TEH03,0
IR-1997-0030,MUD,0
EMSC-20161026_0000095,SIG,0
IT-1997-0137,NRC,0
SI-1998-0010,GEPF,0
EMSC-20161026_0000077,AQK,0
EMSC-20161026_0000077,T1244,0
TK-1999-0077,1001,0
IT-2009-0121,RM08,0
