record_identifier,component,database
EMSC-20161030_0000029_PZI1_0,U,ESM
ME-1979-0012_BUD_0,V,ESM
GR-1995-0047_AIGA_0,V,ESM
EMSC-20161030_0000029_T1212_0,V,ESM
EMSC-20161030_0000029_CRO_0,U,ESM
IT-2009-0009_CNM_0,V,ESM
TK-2007-0024_1201_0,V,ESM
TK-2007-0024_4401_0,V,ESM
7004903,H2,NGASub
7005003,H2,NGASub
7005011,H2,NGASub
7007973,H2,NGASub
3000405,H1,NGASub
4022768,H1,NGASub
EMSC-20161030_0000029_SSC_0,V,ESM
TK-1999-0389_5401_0,V,ESM
EMSC-20161026_0000095_GUMA_0,V,ESM
IT-2009-0102_RM14_0,V,ESM
IT-1976-0030_SRC0_0,V,ESM
IT-2012-0008_RVR_0,V,ESM
TK-2005-0030_2406_0,U,ESM
IT-2012-0008_FGV_0,V,ESM
EMSC-20161026_0000095_MDAR_0,U,ESM
EMSC-20160824_0000006_GLT_0,V,ESM
EMSC-20161030_0000029_CIT_0,U,ESM
IT-2012-0011_RNC_0,U,ESM
EMSC-20160824_0000006_SNM_0,U,ESM
EMSC-20161030_0000029_AQA_0,U,ESM
6002699,H1,NGASub
1000335,H1,NGASub
3000381,H2,NGASub
7004985,H2,NGASub
EMSC-20161030_0000029_AMT_0,U,ESM
EMSC-20160824_0000006_CVM_0,V,ESM
EMSC-20161030_0000029_0REN_0,V,ESM
EMSC-20160824_0000006_AQK_0,V,ESM
IT-2009-0009_CNM_0,U,ESM
EMSC-20161026_0000095_SNO_0,V,ESM
IT-2012-0008_STS_0,V,ESM
6001240,H2,NGASub
4033854,H2,NGASub
IT-1980-0012_BNV_0,U,ESM
TK-1999-0077_YPT_0,V,ESM
EMSC-20161030_0000029_ANT_0,U,ESM
IT-2002-0047_SCV_0,V,ESM
EMSC-20161030_0000029_T1201_0,U,ESM
IT-2002-0047_CMM_0,V,ESM
EMSC-20160824_0000006_SPD_0,V,ESM
IT-1976-0002_TLM1_0,U,ESM
EMSC-20160824_0000006_CSC_0,V,ESM
EMSC-20160824_0000006_BZZ_0,V,ESM
IT-1980-0012_BSC_0,U,ESM
IT-2009-0102_CLN_0,U,ESM
ME-1979-0012_BUD_0,U,ESM
IT-2009-0102_AQM_0,U,ESM
TK-1999-0294_5401_0,V,ESM
IT-2009-0009_ORC_0,V,ESM
EMSC-20161026_0000095_SLO_0,U,ESM
EMSC-20161030_0000029_AMT_0,V,ESM
EMSC-20161026_0000095_MNTP_0,U,ESM
EMSC-20160824_0000006_RM33_0,U,ESM
EMSC-20161030_0000029_T1212_0,U,ESM
EMSC-20160824_0000006_SNO_0,U,ESM
TK-1999-0415_C1061_0,V,ESM
IT-2009-0102_MI01_0,U,ESM
EMSC-20161026_0000095_PRE_0,V,ESM
EMSC-20161026_0000095_MNF_0,U,ESM
EMSC-20160824_0000006_ANT_0,U,ESM
IT-1980-0012_CLT_0,U,ESM
TK-1999-0415_C1062_0,V,ESM
TK-1999-0077_4101_0,V,ESM
TK-1999-0415_8101_0,U,ESM
IT-2012-0011_T0812_0,V,ESM
TK-1999-0077_8101_0,U,ESM
IT-2012-0011_T0823_0,V,ESM
IT-2012-0011_VDL_0,U,ESM
IT-2012-0011_MIR02_0,V,ESM
IT-2012-0008_SULZ_0,U,ESM
IT-2012-0008_MRN_0,V,ESM
IT-2012-0008_GRIMS_0,V,ESM
TK-2005-0032_2501_0,V,ESM
EMSC-20161030_0000029_CCT_0,V,ESM
TK-1992-0002_2402_0,U,ESM
EMSC-20161030_0000029_ACC_0,V,ESM
EMSC-20161026_0000095_PRE_0,U,ESM
IT-2012-0011_MIRE_0,U,ESM
EMSC-20161026_0000095_ASS_0,V,ESM
EMSC-20160824_0000006_NRC_0,V,ESM
IT-2009-0009_SUL_0,V,ESM
IT-2012-0011_CNT_0,V,ESM
EMSC-20161030_0000029_T1244_0,V,ESM
IT-2012-0008_CSC_0,U,ESM
EMSC-20161030_0000029_PCB_0,V,ESM
TK-1999-0415_C0362_0,V,ESM
IT-2009-0009_AVZ_0,U,ESM
IT-2012-0008_MURB_0,V,ESM
TK-1999-0415_BAG_0,U,ESM
TK-1999-0415_1401_0,V,ESM
IT-2012-0011_SAN0_0,U,ESM
TK-2005-0090_3502_0,U,ESM
TK-1999-0077_1404_0,V,ESM
EMSC-20120610_0000062_AKIN_0,V,ESM
IT-2012-0011_MIRH_0,V,ESM
IT-2012-0011_T0812_0,U,ESM
TK-1992-0002_2402_0,V,ESM
EMSC-20110519_0000052_ENZZ_0,U,ESM
EMSC-20160824_0000006_NOR_0,U,ESM
IT-2012-0008_GUMA_0,U,ESM
EMSC-20160824_0000006_STAL_0,V,ESM
IT-2012-0008_FUSIO_0,V,ESM
TK-1999-0077_0301_0,U,ESM
EMSC-20160824_0000006_MNTP_0,U,ESM
TK-1999-0415_C1058_0,V,ESM
TK-1999-0294_4107_0,U,ESM
IT-2012-0008_PIO1_0,U,ESM
EMSC-20161030_0000029_PCB_0,U,ESM
EMSC-20160824_0000006_TERO_0,V,ESM
IT-1976-0030_SRC0_0,U,ESM
EMSC-20161030_0000029_T1299_0,V,ESM
TK-2004-0080_4802_0,V,ESM
TK-2004-0020_2406_0,U,ESM
EMSC-20161030_0000029_MSC_0,U,ESM
IT-2013-0005_NEVI_0,V,ESM
EMSC-20161026_0000095_MCT_0,U,ESM
TK-2003-0038_1201_0,V,ESM
TK-2003-0191_4401_0,V,ESM
IT-2009-0121_AQP_0,U,ESM
EMSC-20160824_0000006_TRE1_0,V,ESM
TK-1999-0415_C1060_0,U,ESM
IT-2012-0010_MIR06_0,V,ESM
IT-2009-0121_RM07_0,V,ESM
IT-2009-0121_AQM_0,V,ESM
IT-1980-0012_BGI_0,V,ESM
EMSC-20161030_0000029_AQK_0,U,ESM
IT-2012-0061_VNN_0,U,ESM
GR-1986-0011_KALA_0,U,ESM
IT-2012-0010_ZCCA_0,V,ESM
EMSC-20160824_0000006_MNF_0,U,ESM
IT-2012-0008_SSU_0,U,ESM
EMSC-20160824_0000013_CSC_0,U,ESM
IT-2012-0061_LTR_0,V,ESM
IT-2009-0140_MTR_0,U,ESM
EMSC-20161026_0000077_NRC_0,U,ESM
EMSC-20161030_0000029_CSC_0,U,ESM
IT-1980-0012_BGI_0,U,ESM
IT-2009-0121_RM09_0,U,ESM
IT-2009-0121_GSA_0,V,ESM
IT-1997-0062_NCR2_0,V,ESM
EMSC-20160824_0000006_LSS_0,V,ESM
EMSC-20161026_0000077_CSC_0,V,ESM
IT-2012-0010_T0819_0,V,ESM
IT-2012-0008_AUL_0,U,ESM
IT-2012-0008_TNS_0,U,ESM
IT-2012-0011_MIRE_0,V,ESM
IT-2012-0008_OGAG_0,U,ESM
IT-2012-0011_SMS0_0,U,ESM
EMSC-20161030_0000029_CSO1_0,U,ESM
IT-2012-0011_T0823_0,U,ESM
EMSC-20161030_0000029_CSC_0,V,ESM
IT-2009-0009_ORC_0,U,ESM
EMSC-20161026_0000077_SNO_0,V,ESM
IT-2009-0009_SUL_0,U,ESM
IT-2009-0102_MI01_0,V,ESM
IT-2012-0008_TLN_0,U,ESM
IT-2013-0005_AQU_0,U,ESM
EMSC-20151117_0000025_ACER_0,V,ESM
EMSC-20160824_0000013_FIAM_0,V,ESM
IT-2012-0010_CRP_0,V,ESM
IT-2012-0008_MRN_0,U,ESM
EMSC-20161026_0000077_LSS_0,U,ESM
TK-2005-0054_1201_0,U,ESM
IT-2009-0121_MTR_0,V,ESM
EMSC-20161026_0000077_NOR_0,U,ESM
IT-2009-0102_AQK_0,U,ESM
EMSC-20161026_0000077_ACC_0,U,ESM
IT-2012-0011_LIENZ_0,U,ESM
TK-2005-0032_2501_0,U,ESM
EMSC-20160824_0000013_SGPA_0,U,ESM
TK-2002-0008_1006_0,V,ESM
TK-2005-0090_1609_0,V,ESM
EMSC-20161030_0000029_ACC_0,U,ESM
GR-1995-0047_AIGA_0,U,ESM
EMSC-20160824_0000006_SPD_0,U,ESM
EMSC-20160824_0000006_AMT_0,U,ESM
EMSC-20140524_0000026_MGNA_0,U,ESM
EMSC-20161030_0000029_CAFE_0,V,ESM
EMSC-20161030_0000029_BIOG_0,V,ESM
EMSC-20140203_0000008_TNSA_0,V,ESM
TK-1999-0415_5401_0,U,ESM
TK-1999-0415_6401_0,V,ESM
IT-2012-0008_RNI2_0,V,ESM
EMSC-20161030_0000029_SBC_0,U,ESM
EMSC-20140524_0000026_KKS_0,U,ESM
EMSC-20160824_0000006_BNE_0,V,ESM
TK-2002-0008_1006_0,U,ESM
TK-1999-0415_487_0,V,ESM
IT-2009-0009_SNM_0,V,ESM
EMSC-20160824_0000006_ZCCA_0,U,ESM
TK-1999-0077_ARC_0,U,ESM
TK-1999-0077_MSK_0,U,ESM
EMSC-20160824_0000006_IMOL_0,U,ESM
TK-2002-0008_1502_0,U,ESM
IT-2009-0009_AVL_0,U,ESM
IT-2012-0008_BRIS_0,U,ESM
TK-2007-0024_2701_0,V,ESM
EMSC-20160824_0000006_CIMA_0,U,ESM
IT-2012-0008_OSSC_0,V,ESM
IT-2012-0008_TLM2_0,U,ESM
IT-2009-0009_BNE_0,V,ESM
EMSC-20160824_0000006_SMPL_0,V,ESM
EMSC-20160824_0000006_CRP_0,U,ESM
EMSC-20161030_0000029_PZUN_0,V,ESM
TK-1999-0415_6401_0,U,ESM
EMSC-20161030_0000029_SIRI_0,V,ESM
EMSC-20160824_0000006_MODE_0,V,ESM
EMSC-20160125_0000009_CART_0,U,ESM
IT-2009-0009_STL_0,V,ESM
IT-2009-0009_BNE_0,U,ESM
EMSC-20161026_0000095_ZCCA_0,V,ESM
EMSC-20140524_0000026_SMTH_0,V,ESM
TK-1999-0077_MCD_0,U,ESM
EMSC-20161026_0000095_OSSC_0,U,ESM
EMSC-20140126_0000046_MGNA_0,V,ESM
TK-1999-0415_5401_0,V,ESM
TK-2002-0008_6401_0,V,ESM
TK-1999-0077_1701_0,V,ESM
IT-2009-0009_FOR_0,V,ESM
,U,ESM
,V,ESM
TK-1999-0077_4106_0,U,ESM
EMSC-20160824_0000006_MNF_0,V,ESM
IT-2009-0102_RM10_0,U,ESM
EMSC-20161026_0000095_AM05_0,U,ESM
TK-1999-0077_4101_0,U,ESM
TK-2004-0089_2301_0,U,ESM
IT-2009-0009_CSO1_0,U,ESM
IT-1980-0012_BSC_0,V,ESM
EMSC-20161026_0000095_T1216_0,V,ESM
TK-1999-0077_YPT_0,U,ESM
IT-2009-0009_FMG_0,U,ESM
EMSC-20161026_0000095_MCS_0,U,ESM
IT-2012-0011_MRN_0,V,ESM
TK-1999-0415_0301_0,U,ESM
TK-1998-0063_0105_0,V,ESM
EMSC-20160824_0000006_GRN_0,U,ESM
TK-1999-0077_1404_0,U,ESM
TK-1999-0415_C1061_0,U,ESM
EMSC-20160824_0000006_SANR_0,U,ESM
IT-2012-0011_GRIMS_0,V,ESM
EMSC-20160824_0000006_ACOM_0,V,ESM
IT-2012-0011_MIR02_0,U,ESM
EMSC-20161030_0000029_ORC_0,U,ESM
EMSC-20140203_0000008_DLFA_0,U,ESM
TK-1999-0415_3401_0,U,ESM
TK-1999-0077_ATS_0,V,ESM
EMSC-20120610_0000062_CESE_0,U,ESM
EMSC-20160824_0000006_MNTP_0,V,ESM
EMSC-20140126_0000046_LSK_0,U,ESM
EMSC-20161030_0000029_SNS1_0,U,ESM
TK-1999-0415_DHM_0,U,ESM
TK-1999-0077_5903_0,V,ESM
EMSC-20161026_0000095_SSO_0,U,ESM
EMSC-20161026_0000095_GBB_0,V,ESM
IT-2012-0008_PTV_0,U,ESM
EMSC-20161026_0000077_CLO_0,U,ESM
EMSC-20160824_0000013_AMT_0,V,ESM
IT-2009-0121_FMG_0,V,ESM
EMSC-20160824_0000013_MSCT_0,V,ESM
EMSC-20161026_0000077_GLT_0,U,ESM
IT-2012-0010_CPGN_0,V,ESM
IT-2012-0011_GUMA_0,V,ESM
IT-2012-0011_MIRH_0,U,ESM
EMSC-20140203_0000008_LSK_0,U,ESM
TK-1999-0415_C1058_0,U,ESM
EMSC-20160824_0000013_FOC_0,U,ESM
IT-2009-0009_SBC_0,U,ESM
IT-2013-0005_MDN_0,V,ESM
EMSC-20140524_0000026_ALNA_0,V,ESM
EMSC-20140203_0000008_CAR1_0,U,ESM
IT-2012-0011_T0817_0,V,ESM
IT-2012-0011_SCHS_0,V,ESM
EMSC-20160824_0000006_MCT_0,V,ESM
IT-2009-0009_SBC_0,V,ESM
EMSC-20140126_0000085_NOAC_0,U,ESM
EMSC-20161030_0000029_SSO_0,U,ESM
IT-2009-0009_AVZ_0,V,ESM
EMSC-20151117_0000025_DLFA_0,V,ESM
EMSC-20160824_0000006_SNO_0,V,ESM
IT-2012-0011_SENIN_0,U,ESM
TK-1999-0077_8101_0,V,ESM
EMSC-20160824_0000006_CLUD_0,V,ESM
TK-1999-0415_HIL_0,V,ESM
IT-2012-0011_MIR01_0,V,ESM
EMSC-20130108_0000044_DLFA_0,U,ESM
IT-2012-0008_SOLZ_0,U,ESM
IT-2012-0008_NRCA_0,U,ESM
TK-1999-0077_1604_0,V,ESM
IT-2012-0011_IMOL_0,U,ESM
EMSC-20160824_0000006_ATLO_0,U,ESM
EMSC-20161030_0000029_TOD_0,U,ESM
IT-2012-0011_PRT_0,V,ESM
EMSC-20161026_0000095_TRE1_0,V,ESM
IT-2012-0008_LNG_0,U,ESM
IT-2012-0008_STF_0,V,ESM
4003157,H2,NGASub
EMSC-20161030_0000029_AM05_0,U,ESM
EMSC-20161026_0000095_FIR_0,U,ESM
EMSC-20110519_0000052_YKAV_0,U,ESM
IT-2012-0008_LLS_0,U,ESM
EMSC-20140126_0000046_KTHA_0,U,ESM
EMSC-20160824_0000006_MDAR_0,V,ESM
EMSC-20160824_0000006_FMG_0,U,ESM
EMSC-20160824_0000006_FRT_0,U,ESM
TK-1999-0415_C1062_0,U,ESM
EMSC-20140203_0000008_TIP_0,U,ESM
EMSC-20150416_0000081_DION_0,V,ESM
EMSC-20140524_0000026_TNSA_0,U,ESM
EMSC-20161030_0000029_T1215_0,U,ESM
IT-2012-0011_MIR07_0,V,ESM
EMSC-20161028_0000138_FIAM_0,U,ESM
EMSC-20160824_0000006_ATFO_0,U,ESM
EMSC-20161026_0000095_MMO_0,V,ESM
TK-1999-0415_C1059_0,V,ESM
TK-2005-0090_4802_0,U,ESM
GR-1995-0047_PAT1_0,U,ESM
IT-2012-0011_T0805_0,U,ESM
IT-2012-0011_RAV0_0,V,ESM
EMSC-20161030_0000029_FRE8_0,U,ESM
IT-2009-0009_STN_0,U,ESM
EMSC-20150416_0000081_ANKY_0,U,ESM
IT-2012-0011_BBN_0,U,ESM
EMSC-20151117_0000025_CELI_0,V,ESM
EMSC-20160824_0000006_GRN_0,V,ESM
EMSC-20160824_0000006_TRV_0,U,ESM
EMSC-20161030_0000029_PSC_0,U,ESM
EMSC-20160824_0000006_NDIM_0,V,ESM
EMSC-20160824_0000006_SBC_0,U,ESM
EMSC-20161026_0000095_ZEN8_0,V,ESM
SI-1998-0010_LJU_0,V,ESM
IT-2012-0008_OGIM_0,U,ESM
IT-2012-0011_CAS0_0,V,ESM
EMSC-20140822_0000013_SRN_0,U,ESM
EMSC-20161030_0000029_CGRP_0,V,ESM
TK-1999-0415_GLCK_0,U,ESM
IT-2009-0140_RM09_0,U,ESM
EMSC-20160824_0000006_TER_0,V,ESM
EMSC-20161030_0000029_LSS_0,U,ESM
EMSC-20160824_0000013_FMG_0,U,ESM
TK-2005-0032_2406_0,U,ESM
EMSC-20160824_0000006_AQU_0,U,ESM
GR-1986-0011_KALA_0,V,ESM
IT-1980-0012_BNV_0,V,ESM
EMSC-20161026_0000095_SPD_0,U,ESM
IT-2012-0010_MRZ_0,U,ESM
IT-2013-0005_FVZ_0,U,ESM
IT-2009-0121_BZZ_0,V,ESM
IT-2012-0061_PRA_0,U,ESM
EMSC-20161030_0000029_T1213_0,V,ESM
EMSC-20160824_0000006_ANT_0,V,ESM
EMSC-20160824_0000006_MTR_0,U,ESM
IT-1980-0012_RNR_0,V,ESM
IT-2012-0010_PVF_0,V,ESM
IT-2012-0011_VLM_0,V,ESM
EMSC-20161030_0000029_TOD_0,V,ESM
IT-2009-0121_MI05_0,V,ESM
IT-2012-0008_SSU_0,V,ESM
IT-2012-0061_LTR_0,U,ESM
IT-2009-0121_AQG_0,U,ESM
IT-2009-0121_RM14_0,U,ESM
IT-2009-0102_RM04_0,U,ESM
EMSC-20160824_0000006_PCB_0,V,ESM
EMSC-20161026_0000095_MCT_0,V,ESM
EMSC-20161026_0000095_BOO_0,U,ESM
EMSC-20140126_0000085_TIP_0,U,ESM
EMSC-20150416_0000081_IMMV_0,U,ESM
EMSC-20161026_0000077_GRN_0,V,ESM
IT-2013-0005_PCRO_0,U,ESM
EMSC-20161030_0000029_SPD_0,U,ESM
EMSC-20160824_0000006_PNC_0,U,ESM
EMSC-20160824_0000006_ZOU2_0,V,ESM
EMSC-20140126_0000085_YDRA_0,V,ESM
EMSC-20161030_0000029_AVZ_0,V,ESM
TK-2007-0150_2608_0,U,ESM
EMSC-20160824_0000006_CIMA_0,V,ESM
TK-1992-0003_2402_0,U,ESM
IT-2009-0009_TLS_0,V,ESM
TK-1999-0415_RUZ_0,U,ESM
EMSC-20161030_0000029_T1299_0,U,ESM
EMSC-20161026_0000077_MCV_0,U,ESM
IT-2009-0009_CSO1_0,V,ESM
IT-2009-0102_RM04_0,V,ESM
IT-1980-0012_CLT_0,V,ESM
EMSC-20161026_0000095_MMO_0,U,ESM
IT-2012-0011_ISD_0,U,ESM
IT-2012-0008_SBUB_0,U,ESM
EMSC-20140203_0000008_JOPP_0,V,ESM
EMSC-20161026_0000095_MSC_0,V,ESM
EMSC-20161026_0000095_T1201_0,V,ESM
IT-2012-0011_SLUB_0,V,ESM
TK-2001-0123_3502_0,U,ESM
IT-2012-0011_SKAF_0,U,ESM
TK-1999-0415_5902_0,V,ESM
EMSC-20160824_0000006_TSC_0,V,ESM
EMSC-20160824_0000006_FUSE_0,V,ESM
EMSC-20161026_0000095_SSG_0,U,ESM
EMSC-20130108_0000044_SHAP_0,U,ESM
EMSC-20161030_0000029_SDM_0,U,ESM
IT-2009-0009_CSS_0,U,ESM
IT-2009-0102_AQV_0,U,ESM
EMSC-20160824_0000006_FLT_0,U,ESM
IT-2012-0008_PVF_0,V,ESM
TK-1999-0077_MSK_0,V,ESM
EMSC-20161026_0000095_ATCC_0,U,ESM
IT-2009-0121_RM03_0,U,ESM
IT-2012-0008_ZCCA_0,V,ESM
EMSC-20161030_0000029_T1211_0,U,ESM
IT-2012-0011_BRM_0,U,ESM
IT-2012-0010_PRT_0,V,ESM
EMSC-20161026_0000077_ACC_0,V,ESM
IT-1997-0137_AQM_0,V,ESM
EMSC-20161026_0000077_CIMA_0,V,ESM
IT-2012-0011_VLM_0,U,ESM
IT-2009-0121_RM11_0,U,ESM
IT-2012-0010_LNG_0,U,ESM
IT-2012-0008_LNG_0,V,ESM
IT-2012-0010_VLM_0,U,ESM
EMSC-20160824_0000006_CPS_0,V,ESM
EMSC-20161026_0000095_TLN_0,U,ESM
EMSC-20161030_0000029_TERO_0,U,ESM
TK-1999-0415_BUR_0,V,ESM
EMSC-20161026_0000095_MGR_0,U,ESM
IT-2012-0011_GRIMS_0,U,ESM
EMSC-20161026_0000095_SNG_0,U,ESM
IT-2012-0008_CES_0,U,ESM
TK-1999-0415_1604_0,V,ESM
IT-2012-0008_OGAG_0,V,ESM
EMSC-20140203_0000008_T0721_0,U,ESM
EMSC-20161030_0000029_BRS_0,V,ESM
EMSC-20140203_0000008_SIRI_0,V,ESM
EMSC-20161026_0000095_CSN_0,V,ESM
EMSC-20161026_0000095_FOS_0,U,ESM
EMSC-20140126_0000046_KTHA_0,V,ESM
IT-2012-0011_T0818_0,V,ESM
IT-2012-0008_VINO_0,U,ESM
IT-2002-0047_SCV_0,U,ESM
EMSC-20161026_0000095_ASS_0,U,ESM
4032013,H2,NGASub
4027411,H2,NGASub
4034548,H2,NGASub
2001400,H2,NGASub
4008221,H2,NGASub
4008143,H2,NGASub
4032012,H1,NGASub
7004896,H2,NGASub
3000424,H1,NGASub
4040050,H1,NGASub
4023317,H2,NGASub
EMSC-20161030_0000029_NRC_0,V,ESM
4028050,H2,NGASub
4027499,H1,NGASub
4033564,H2,NGASub
6001862,H1,NGASub
4022941,H2,NGASub
3000405,H2,NGASub
4001986,H2,NGASub
4033719,H2,NGASub
EMSC-20161030_0000029_FLT_0,V,ESM
TK-1999-0415_3401_0,V,ESM
4019446,H1,NGASub
7006414,H1,NGASub
6000042,H1,NGASub
IT-2012-0008_TVR_0,V,ESM
TK-1999-0077_1604_0,U,ESM
IT-2012-0011_BBN_0,V,ESM
7006692,H1,NGASub
2000762,H1,NGASub
4032016,H2,NGASub
6001712,H1,NGASub
2001226,H1,NGASub
7006261,H2,NGASub
EMSC-20160824_0000006_NCR_0,U,ESM
IT-2012-0008_CALF_0,V,ESM
6003796,H1,NGASub
7006704,H1,NGASub
4032677,H2,NGASub
1002899,H2,NGASub
EMSC-20161030_0000029_FRT_0,U,ESM
EMSC-20161030_0000029_GRN_0,U,ESM
TK-2007-0024_1201_0,U,ESM
EMSC-20161030_0000029_POFI_0,V,ESM
EMSC-20141122_0000066_ODBI_0,U,ESM
IT-2009-0009_BBN_0,U,ESM
EMSC-20160824_0000006_FIE_0,V,ESM
IT-2012-0011_MGAB_0,U,ESM
IT-2012-0010_LEC_0,U,ESM
EMSC-20161030_0000029_FLT_0,U,ESM
EMSC-20161030_0000029_GATE_0,V,ESM
EMSC-20161030_0000029_VITU_0,U,ESM
IT-2009-0121_ANT_0,U,ESM
EMSC-20161026_0000077_CMB_0,U,ESM
EMSC-20161030_0000029_CMB_0,U,ESM
EMSC-20161030_0000029_CVM_0,U,ESM
EMSC-20161026_0000095_CRMI_0,V,ESM
EMSC-20151117_0000025_KBN_0,U,ESM
TK-2003-0003_1201_0,V,ESM
EMSC-20161030_0000029_PAOL_0,V,ESM
EMSC-20130108_0000044_GOKC_0,V,ESM
EMSC-20161026_0000095_CLO_0,V,ESM
EMSC-20140524_0000026_PRK_0,U,ESM
EMSC-20130108_0000044_EFSA_0,U,ESM
EMSC-20160824_0000006_STF_0,U,ESM
EMSC-20161026_0000095_CIT_0,U,ESM
IT-2012-0008_FIE_0,V,ESM
IT-2012-0011_ZOVE_0,V,ESM
EMSC-20160824_0000006_ASS_0,U,ESM
EMSC-20161030_0000029_AQK_0,V,ESM
EMSC-20161030_0000029_ASP_0,V,ESM
TK-1999-0415_1604_0,U,ESM
EMSC-20160824_0000006_SNM_0,V,ESM
EMSC-20161026_0000095_CMB_0,V,ESM
EMSC-20161026_0000095_PRG_0,V,ESM
EMSC-20161026_0000095_SNM_0,U,ESM
IT-2012-0008_SNM_0,V,ESM
EMSC-20161026_0000077_ASS_0,U,ESM
EMSC-20160824_0000006_AQG_0,V,ESM
EMSC-20161030_0000029_CTD_0,U,ESM
TK-1999-0077_3401_0,V,ESM
EMSC-20161026_0000095_RONC_0,V,ESM
EMSC-20161030_0000029_CLUD_0,U,ESM
IT-2012-0008_LEOD_0,U,ESM
EMSC-20161026_0000095_DOSS_0,V,ESM
IT-2012-0008_OGSI_0,U,ESM
EMSC-20160824_0000006_FOC_0,V,ESM
EMSC-20161026_0000095_CMI_0,U,ESM
EMSC-20160824_0000006_CSC_0,U,ESM
SI-1998-0010_CEY_0,U,ESM
EMSC-20160824_0000013_AQG_0,V,ESM
IT-2012-0008_MTRZ_0,V,ESM
IT-2012-0061_SIRI_0,V,ESM
IT-2009-0102_CLN_0,V,ESM
EMSC-20160824_0000006_AQG_0,U,ESM
IT-2012-0061_SMR_0,U,ESM
SI-1998-0010_ILBA_0,U,ESM
EMSC-20160824_0000006_TLN_0,V,ESM
EMSC-20161026_0000095_T1215_0,U,ESM
IT-2012-0011_MTRZ_0,U,ESM
TK-2005-0054_1208_0,U,ESM
EMSC-20160824_0000013_ANT_0,U,ESM
EMSC-20160824_0000006_MARN_0,U,ESM
IT-2013-0005_OGAG_0,U,ESM
TK-1998-0063_0105_0,U,ESM
TK-1999-0415_C0362_0,U,ESM
EMSC-20140203_0000008_ALNA_0,U,ESM
7006310,H2,NGASub
4022446,H1,NGASub
7006737,H1,NGASub
6001242,H1,NGASub
7006490,H1,NGASub
1000368,H1,NGASub
4040803,H1,NGASub
4016730,H1,NGASub
7008148,H1,NGASub
6004599,H1,NGASub
3000257,H1,NGASub
7004845,H2,NGASub
7004851,H2,NGASub
4029156,H2,NGASub
3001954,H1,NGASub
7004702,H1,NGASub
4040096,H1,NGASub
4028406,H1,NGASub
7011505,H2,NGASub
7008147,H2,NGASub
3000381,H1,NGASub
4028535,H2,NGASub
4033837,H1,NGASub
4028832,H2,NGASub
1002140,H1,NGASub
6001407,H2,NGASub
