record_identifier,component
IT-2012-0061_TGN_0,U
EMSC-20130108_0000044_EFSA_0,U
IT-2009-0102_AQV_0,V
IT-2013-0005_TOD_0,U
EMSC-20160824_0000006_GRN_0,V
ME-1979-0012_TIVA_0,U
IT-1997-0006_AQI_0,V
EMSC-20160824_0000006_MNF_0,U
GR-1997-0019_KAL1_0,U
TK-2004-0020_2406_0,U
TK-2003-0003_1201_0,U
EMSC-20120610_0000062_KSL_0,V
IT-1997-0137_CSC_0,V
EMSC-20160824_0000013_AQU_0,U
EMSC-20161030_0000029_CSO1_0,U
EMSC-20161026_0000095_T1201_0,V
EMSC-20160824_0000013_MSCT_0,V
IT-2009-0009_GSA_0,U
EMSC-20161026_0000095_MTL_0,V
IT-2009-0140_RM10_0,U
TK-2004-0089_4401_0,U
EMSC-20161026_0000095_CLN_0,V
IT-1976-0002_TLM1_0,U
EMSC-20161030_0000029_AMT_0,U
EMSC-20160824_0000006_TLN_0,U
EMSC-20160824_0000006_SDM_0,V
EMSC-20161030_0000029_AQF_0,V
EMSC-20161030_0000029_ANT_0,V
EMSC-20161026_0000077_NRC_0,V
EMSC-20161030_0000029_T1213_0,U
EMSC-20160824_0000013_ANT_0,V
IT-2012-0061_0LAI_0,U
IT-2009-0102_RM02_0,U
EMSC-20160824_0000006_ANT_0,U
IT-2012-0011_BBN_0,U
EMSC-20160824_0000006_MTR_0,V
EMSC-20161030_0000029_SDM_0,V
TK-1998-0063_3102_0,V
IT-2009-0121_MI01_0,V
EMSC-20161030_0000029_SSC_0,U
EMSC-20160824_0000006_RNI2_0,V
ME-1979-0012_BUD_0,U
EMSC-20160824_0000013_AMT_0,V
EMSC-20161030_0000029_BZZ_0,U
EMSC-20160824_0000006_MMUR_0,V
IT-2012-0011_PZS_0,V
IT-2012-0008_PVF_0,V
IT-1997-0004_AQK_0,U
IT-2012-0008_RNC_0,V
IT-2012-0011_IMOL_0,U
EMSC-20161026_0000095_TSC_0,U
TK-1999-0294_1604_0,U
IT-2012-0008_RVR_0,V
EMSC-20161026_0000077_AMT_0,V
IT-2009-0009_CLN_0,U
EMSC-20160824_0000006_AQU_0,V
EMSC-20161026_0000095_MCT_0,V
EMSC-20161026_0000095_TLN_0,V
IT-2009-0102_RM14_0,V
TK-1999-0077_4101_0,V
IT-2009-0009_MTR_0,U
TK-1999-0077_ARC_0,U
EMSC-20161030_0000029_PCB_0,U
IT-2009-0102_RM04_0,U
GE-1991-0003_SONB_0,U
IT-2012-0061_SDN_0,U
IT-2009-0121_RM05_0,U
EMSC-20161026_0000077_ACC_0,V
ME-1979-0002_ULA_0,V
IT-1984-0002_GBB_0,V
EMSC-20160824_0000006_PZI1_0,V
EMSC-20161030_0000029_TRE1_0,V
IT-2009-0121_BZZ_0,V
IT-2013-0019_BOI_0,V
IT-1997-0091_CLC_0,V
IT-2012-0061_SALB_0,U
IT-2009-0102_MI02_0,V
IT-2009-0102_RM05_0,V
IT-2009-0102_RM13_0,V
EMSC-20161030_0000029_SNO_0,U
IT-2013-0019_VAGA_0,U
IT-2009-0095_AQP_0,V
EMSC-20160824_0000006_AQA_0,U
IT-2013-0019_GSN_0,V
EMSC-20161026_0000077_T1201_0,U
EMSC-20161026_0000095_GUMA_0,V
IT-2013-0019_CMB_0,V
IT-1997-0128_CESM_0,U
IT-2009-0102_CLN_0,V
EMSC-20161026_0000095_LSS_0,V
IT-2013-0019_BSSO_0,U
IT-2009-0121_RM02_0,V
EMSC-20161026_0000077_NOR_0,V
IT-1978-0004_PTT1_0,V
EMSC-20161026_0000077_CNE_0,U
IT-1977-0008_TLM1_0,V
IT-2013-0019_PDM_0,U
EMSC-20151006_0000093_DEMR_0,U
IT-2009-0140_MTR_0,U
IT-2009-0102_MI01_0,V
IT-2009-0140_MTR_0,V
EMSC-20161030_0000029_T1216_0,U
ME-1979-0003_PETO_0,V
IT-1984-0004_ORT_0,V
EMSC-20130616_0000095_ZKR_0,V
EMSC-20160824_0000006_BZZ_0,U
EMSC-20160824_0000006_GAG1_0,U
GR-1997-0014_KRN1_0,U
EMSC-20161026_0000077_T1216_0,U
IT-2008-0004_PNM_0,V
IT-2002-0045_ORC_0,V
IT-2012-0010_MIR06_0,U
IT-2009-0121_RM14_0,V
EMSC-20160824_0000006_MCT_0,V
EMSC-20161026_0000077_T1217_0,U
EMSC-20161026_0000077_T1218_0,U
SI-1998-0010_ILBA_0,U
RO-1990-0003_VRI_0,V
AM-1990-0013_SBGD_0,U
GR-1995-0017_VER1_0,V
EMSC-20161026_0000077_T1216_0,V
IT-2009-0121_RM07_0,U
IT-2009-0009_MNG_0,V
TK-2004-0142_4802_0,V
IT-2009-0102_RM05_0,U
IT-2009-0009_CMR_0,U
EMSC-20161030_0000029_FRT_0,U
EMSC-20160824_0000013_PSC_0,V
TK-2005-0030_2406_0,U
EMSC-20160824_0000006_FRT_0,U
IT-2008-0004_PZS_0,V
TK-2007-0024_1201_0,V
EMSC-20160824_0000013_SPD_0,V
TK-1999-0077_1604_0,U
TK-2004-0080_4802_0,V
TK-1999-0415_C1061_0,V
EMSC-20161026_0000095_NOR_0,U
IT-2009-0009_ANT_0,V
EMSC-20161026_0000095_MNF_0,U
EMSC-20161026_0000095_ACC_0,V
EMSC-20161030_0000029_T1212_0,V
EMSC-20160824_0000006_NCR_0,U
TK-2007-0024_4401_0,U
TK-1997-0126_5902_0,U
TK-1999-0415_5902_0,V
EMSC-20161026_0000095_CNE_0,V
IT-1997-0006_CSC_0,V
IT-1976-0002_CST_0,U
TK-2005-0054_1208_0,U
