im,site,region,stripe_iml,stripe_return_period,n_required,n_required_ngasub,n_required_esm,n_available,n_missing,n_missing_ngasub,n_missing_esm,stripe_complete,site_im_complete
AvgSA_03,10,2,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,10,2,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,10,2,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,10,2,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,10,2,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,10,2,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.6049,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,11,2,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,12,2,0.6049,,30,9,21,29,1,1,0,False,False
AvgSA_03,12,2,0.5,,30,7,23,30,0,0,0,True,False
AvgSA_03,12,2,0.45,,30,8,22,30,0,0,0,True,False
AvgSA_03,12,2,0.4,,30,9,21,30,0,0,0,True,False
AvgSA_03,12,2,0.36,,30,7,23,30,0,0,0,True,False
AvgSA_03,12,2,0.33,,30,7,23,30,0,0,0,True,False
AvgSA_03,12,2,0.285,,30,10,20,30,0,0,0,True,False
AvgSA_03,12,2,0.27,,30,10,20,30,0,0,0,True,False
AvgSA_03,12,2,0.2109,,30,12,18,29,1,1,0,False,False
AvgSA_03,12,2,0.1645,,30,10,20,28,2,2,0,False,False
AvgSA_03,13,2,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,13,2,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,13,2,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,13,2,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,13,2,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,13,2,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,13,2,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,13,2,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,14,2,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,14,2,0.4898,,30,0,30,30,0,0,0,True,True
AvgSA_03,14,2,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,14,2,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,14,2,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,14,2,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,14,2,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,14,2,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,15,3,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,15,3,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,15,3,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,15,3,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,15,3,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,15,3,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,15,3,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,15,3,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.6049,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,16,3,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,17,3,0.65,,30,16,14,30,0,0,0,True,False
AvgSA_03,17,3,0.55,,30,16,14,30,0,0,0,True,False
AvgSA_03,17,3,0.5,,30,12,18,30,0,0,0,True,False
AvgSA_03,17,3,0.45,,30,18,12,30,0,0,0,True,False
AvgSA_03,17,3,0.4,,30,17,13,30,0,0,0,True,False
AvgSA_03,17,3,0.36,,30,17,13,30,0,0,0,True,False
AvgSA_03,17,3,0.33,,30,17,13,30,0,0,0,True,False
AvgSA_03,17,3,0.31,,30,17,13,30,0,0,0,True,False
AvgSA_03,17,3,0.285,,30,18,12,24,6,6,0,False,False
AvgSA_03,17,3,0.2109,,30,18,12,26,4,4,0,False,False
AvgSA_03,18,3,0.65,,30,10,20,30,0,0,0,True,False
AvgSA_03,18,3,0.55,,30,11,19,30,0,0,0,True,False
AvgSA_03,18,3,0.5,,30,10,20,30,0,0,0,True,False
AvgSA_03,18,3,0.45,,30,10,20,30,0,0,0,True,False
AvgSA_03,18,3,0.4,,30,11,19,30,0,0,0,True,False
AvgSA_03,18,3,0.36,,30,15,15,30,0,0,0,True,False
AvgSA_03,18,3,0.33,,30,16,14,30,0,0,0,True,False
AvgSA_03,18,3,0.31,,30,15,15,30,0,0,0,True,False
AvgSA_03,18,3,0.2109,,30,17,13,25,5,5,0,False,False
AvgSA_03,19,3,0.4898,,30,3,27,30,0,0,0,True,True
AvgSA_03,19,3,0.45,,30,4,26,30,0,0,0,True,True
AvgSA_03,19,3,0.4,,30,4,26,30,0,0,0,True,True
AvgSA_03,19,3,0.36,,30,2,28,30,0,0,0,True,True
AvgSA_03,19,3,0.33,,30,5,25,30,0,0,0,True,True
AvgSA_03,19,3,0.31,,30,5,25,30,0,0,0,True,True
AvgSA_03,19,3,0.285,,30,5,25,30,0,0,0,True,True
AvgSA_03,19,3,0.27,,30,5,25,30,0,0,0,True,True
AvgSA_03,20,4,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,20,4,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,20,4,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,20,4,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,20,4,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,20,4,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,20,4,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,21,4,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,21,4,0.6049,,30,0,30,30,0,0,0,True,True
